url,status,stars,forks,watchers,pushed,archived,moved_to,checked
https://github.com/0101shift/Project_OAK,live,29,1,2,2026-06-21,0,,2026-09-22
https://github.com/0605akj0605/SCAL-LAB-PCB-DESIGNS,live,0,0,1,2025-07-29,0,,2026-09-22
https://github.com/0815eddi/OpenMower,live,1,4,0,2024-02-17,0,,2026-09-22
https://github.com/0969469963/l-ti-n-i,live,0,0,1,2024-12-01,0,,2026-09-22
https://github.com/0blivion314/AutomatizaciON-WiFi,live,0,0,1,2025-06-03,0,,2026-09-22
https://github.com/0cjs/hwdev,live,2,0,1,2026-01-14,0,,2026-09-22
https://github.com/0ddjob/Alice_MC10,live,4,0,1,2026-04-12,0,https://github.com/BrettHallen/Alice_MC10,2026-09-22
https://github.com/0ddjob/Atari,live,1,1,1,2026-07-28,0,https://github.com/BrettHallen/Atari,2026-09-22
https://github.com/0ddjob/Commodore_VIC20,live,4,3,1,2026-06-17,0,https://github.com/BrettHallen/Commodore_VIC20,2026-09-22
https://github.com/0ddjob/CPC_PICOROM_PLUS,live,1,0,1,2024-12-12,0,https://github.com/BrettHallen/CPC_PICOROM_PLUS,2026-09-22
https://github.com/0ddjob/Grundy_NewBrain,live,1,1,2,2025-03-01,0,https://github.com/BrettHallen/Grundy_NewBrain,2026-09-22
https://github.com/0ddjob/Sinclair,live,5,0,2,2026-08-30,0,https://github.com/BrettHallen/Sinclair,2026-09-22
https://github.com/0ddjob/UMPK-R_Computer,live,1,0,1,2025-05-02,0,https://github.com/BrettHallen/UMPK-R_Computer,2026-09-22
https://github.com/0m-ax/kicad,live,0,0,1,2019-11-21,0,,2026-09-22
https://github.com/0uma0tieno/KiCAD-projects2,live,0,0,1,2024-11-23,0,,2026-09-22
https://github.com/0x007E/ebs,live,0,1,1,2025-04-18,0,,2026-09-22
https://github.com/0x007E/kicad,live,0,2,1,2026-06-21,0,,2026-09-22
https://github.com/0x007E/oft,live,1,1,0,2026-07-03,0,,2026-09-22
https://github.com/0x23/MicroManipulatorStepper,live,1841,268,94,2026-09-18,0,,2026-09-22
https://github.com/0x32165432/ukmarsbot,gone,,,,,,,2026-09-22
https://github.com/0xahu/mywork,live,0,0,1,2024-03-12,0,,2026-09-22
https://github.com/0xCB-dev/0xCB-1337,live,60,10,1,2023-06-28,0,,2026-09-22
https://github.com/0xCB-dev/0xCB-Helios,live,119,4,1,2024-09-09,0,,2026-09-22
https://github.com/0xCB-dev/0xCB-Jupiter,live,7,0,2,2022-06-20,0,,2026-09-22
https://github.com/0xCB-dev/0xCB-micro,live,5,1,1,2022-01-18,0,,2026-09-22
https://github.com/0xCB-dev/0xCB-Static,live,66,12,2,2022-07-02,0,,2026-09-22
https://github.com/0xDBFB7/psychic-probe,live,0,0,1,2019-01-21,0,,2026-09-22
https://github.com/0xdibm/sharpikeebo,gone,,,,,,,2026-09-22
https://github.com/0xJeremy/Daedalus,live,2,0,1,2021-06-15,0,,2026-09-22
https://github.com/0xjmux/iot_leddriver_hw,live,9,3,3,2025-02-24,0,,2026-09-22
https://github.com/0xjmux/iot_pwm_leddriver,live,0,0,1,2024-02-06,0,,2026-09-22
https://github.com/0xjmux/jmux-kicad-things,live,1,0,1,2024-07-20,0,,2026-09-22
https://github.com/1-max-1/rgb-matrix,live,1,0,1,2025-01-04,0,,2026-09-22
https://github.com/1000eyed/pur,live,17,0,1,2023-10-12,0,,2026-09-22
https://github.com/1000eyed/shiva,live,9,0,1,2024-11-22,0,,2026-09-22
https://github.com/10bn/open_echo,gone,,,,,,,2026-09-22
https://github.com/14chanwa/MiAM_robotics_ESP32,live,0,0,2,2026-05-17,0,,2026-09-22
https://github.com/16n-faderbank/16nx,live,75,11,2,2024-09-11,0,,2026-09-22
https://github.com/17jwk3/ECG_Li,live,13,3,1,2023-04-18,0,,2026-09-22
https://github.com/19dufbri/BRISC8-PCB,live,0,0,0,2025-06-27,0,,2026-09-22
https://github.com/1Bitsy/1bitsy-1up,live,24,9,4,2018-05-24,0,,2026-09-22
https://github.com/1M-Ventilators/OpenVent-B1,live,1,0,2,2020-05-24,0,,2026-09-22
https://github.com/2024-Robocup-Soccer/Andys-Geese-2024,gone,,,,,,,2026-09-22
https://github.com/21941211/WiLo,live,0,1,1,2026-06-23,0,,2026-09-22
https://github.com/21km43/ESP32-C3-DevBoard,live,20,0,1,2026-05-13,0,,2026-09-22
https://github.com/21km43/WCH-LinkE-Mini,live,3,1,0,2026-05-13,0,,2026-09-22
https://github.com/2324-2bhif-pose-iot/GoalFinder,live,2,1,0,2026-07-08,0,https://github.com/htl-leo-club-embedded-iot/GoalFinder,2026-09-22
https://github.com/23wal/light,live,0,0,1,2026-04-11,0,,2026-09-22
https://github.com/256byteram/6530-Replacement,live,6,0,1,2026-07-23,0,,2026-09-22
https://github.com/29SUjith/SIH2024,live,0,0,1,2024-11-23,0,,2026-09-22
https://github.com/2bitsin/MasterShield,live,0,0,2,2024-11-13,0,,2026-09-22
