key,url,part,status,bytes,sha256,fetch_at,n_defs,index_at,index_v,skip_reason
https://www.diyaudio.com/community/search/3202554/?q=subckt+6AT6&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,6AT6,listed,,,,,,,listed
https://www.diyaudio.com/community/search/3202559/?q=subckt+12AV6&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,12AV6,listed,,,,,,,listed
https://www.diyaudio.com/community/search/3202560/?q=subckt+EM84&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,EM84,listed,,,,,,,listed
https://www.diyaudio.com/community/search/3202561/?q=subckt+6AB4&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,6AB4,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/3202577/?q=subckt+6L7&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,6L7,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/3202584/?q=subckt+12AU6&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,12AU6,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/3202586/?q=subckt+12SN7&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,12SN7,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/3202590/?q=subckt+6BZ7&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,6BZ7,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/3202592/?q=subckt+6BH6&t=post&c[child_nodes]=1&c[nodes][0]=5&o=date,,6BH6,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/?q=subckt+50L6&t=post&c[nodes][0]=5,,50L6,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/?q=subckt+6BA6&t=post&c[nodes][0]=5,,6BA6,not_published,,,,,,,not_published
https://www.diyaudio.com/community/search/?q=subckt+6SK7&t=post&c[nodes][0]=5,,6SK7,not_published,,,,,,,not_published
https://www.diyaudio.com/community/threads/6v6-types-in-triode-operating-points.???/,,6Y6G,listed,,,,,,,listed
https://www.diyaudio.com/community/threads/mixed-results-with-srpp-otl-for-headphones.332564/post-5665594,,,downloaded,3568,f9172258890e67e26423dab50e67bca539c0669cfea8f4f0b00c26e37bd5ea87,2026-09-21,,,,
https://www.diyaudio.com/community/threads/vacuum-tube-spice-models.243950/post-3924684,,,downloaded,1859,46848a098afac30b11fdbb08f49acaf681d6f028f6cdfc32c280980c49cd2608,2026-09-21,,,,
https://www.diyaudio.com/community/threads/vacuum-tube-spice-models.243950/post-5194609,,,downloaded,1336,18fdc63b082d952edabe70acacb8d7bb7f0ca5bb55d8dfd9f66072b46eb35066,2026-09-21,,,,
https://www.diyaudio.com/community/threads/vacuum-tube-spice-models.243950/post-5418832,,,downloaded,669,424f34a54b6bb833ee6122f34db2a0e25dc9fd4665aa8ef057add9c7773f4d50,2026-09-21,,,,
https://www.diyaudio.com/community/threads/vacuum-tube-spice-models.243950/post-6097928,,,downloaded,7167,3be0db92bff745872b99909142575963cf55c19a1834fe52592fb109f1e9ccfa,2026-09-21,,,,
part:35Z5,,35Z5,not_published,,,,,,,not_published
