key,url,part,status,bytes,sha256,fetch_at,n_defs,index_at,index_v,skip_reason
part:LESD5D5.0CT1G,,LESD5D5.0CT1G,not_published,,,,,,,not_published
part:PDS760-13,,PDS760-13,not_published,,,,,,,not_published
part:PGB1010603,,PGB1010603,not_published,,,,,,,not_published
part:SM24CANB-02,,SM24CANB-02,not_published,,,,,,,not_published
part:SMF05C,,SMF05C,not_published,,,,,,,not_published
part:SMF05CT1G,,SMF05CT1G,not_published,,,,,,,not_published
part:SMF12A,,SMF12A,not_published,,,,,,,not_published
part:SMF24A,,SMF24A,not_published,,,,,,,not_published
part:SMF5.0A,,SMF5.0A,not_published,,,,,,,not_published
part:SMF5.0CA,,SMF5.0CA,not_published,,,,,,,not_published
part:SMF6.0A,,SMF6.0A,not_published,,,,,,,not_published
part:SMF6.0CA,,SMF6.0CA,not_published,,,,,,,not_published
part:SMF9.0CA,,SMF9.0CA,not_published,,,,,,,not_published
part:SP0503BA,,SP0503BA,not_published,,,,,,,not_published
part:SP3003-02,,SP3003-02,not_published,,,,,,,not_published
part:SP3010-04UTG,,SP3010-04UTG,not_published,,,,,,,not_published
part:V2164,,V2164,not_published,,,,,,,not_published
