key,url,part,status,bytes,sha256,fetch_at,n_defs,index_at,index_v,skip_reason
part:XC6206,https://product.torexsemi.com/en/search?keyword=XC6206,XC6206,not_tried,,,,,,,
part:XC6206-2.8,https://product.torexsemi.com/en/search?keyword=XC6206,XC6206-2.8,not_tried,,,,,,,
part:XC6206P182,https://product.torexsemi.com/en/search?keyword=XC6206P182,XC6206P182,not_tried,,,,,,,
part:XC6206P202,https://product.torexsemi.com/en/search?keyword=XC6206P202,XC6206P202,not_tried,,,,,,,
part:XC6206P252MR,https://product.torexsemi.com/en/search?keyword=XC6206P252MR,XC6206P252MR,not_tried,,,,,,,
part:XC6206P33,https://product.torexsemi.com/en/search?keyword=XC6206P33,XC6206P33,not_tried,,,,,,,
part:XC6206P332,https://product.torexsemi.com/en/search?keyword=XC6206P332,XC6206P332,not_tried,,,,,,,
part:XC6206P332MR,https://product.torexsemi.com/en/search?keyword=XC6206P332MR,XC6206P332MR,not_tried,,,,,,,
part:XC6210B332,https://product.torexsemi.com/en/search?keyword=XC6210B332,XC6210B332,not_tried,,,,,,,
part:XC6210B332MR,https://product.torexsemi.com/en/search?keyword=XC6210B332MR,XC6210B332MR,not_tried,,,,,,,
part:XC6215,https://product.torexsemi.com/en/search?keyword=XC6215,XC6215,not_tried,,,,,,,
part:XC6220,https://product.torexsemi.com/en/search?keyword=XC6220,XC6220,not_tried,,,,,,,
part:XC6220A331,https://product.torexsemi.com/en/search?keyword=XC6220A331,XC6220A331,not_tried,,,,,,,
part:XC6220B331,https://product.torexsemi.com/en/search?keyword=XC6220B331,XC6220B331,not_tried,,,,,,,
part:XC6220B331MR,https://product.torexsemi.com/en/search?keyword=XC6220B331MR,XC6220B331MR,not_tried,,,,,,,
