name,part,kind,from
0B2,0B2,zener,audio docs
0D3,0D3,tube,audio docs
12AH7,12AH7,tube,audio docs
12AK7,12AK7,tube,audio docs
12AL7,12AL7,tube,audio docs
12AN7,12AN7,tube,audio docs
12AT7,12AT7,tube,library
12AU6,12AU6,tube,audio docs
12AU7,12AU7,tube,library
12AV6,12AV6,tube,audio docs
12AV7,12AV7,tube,audio docs
12AX7,12AX7,tube,library
12AY7,12AY7,tube,library
12AZ7,12AZ7,tube,audio docs
12B4,12B4,tube,audio docs
12B4A,12B4A,tube,audio docs
12BH7,12BH7,tube,library
12BZ7,12BZ7,tube,audio docs
12CW7,12CW7,tube,audio docs
12DW7,12DW7,tube,library
12FQ7,12FQ7,tube,audio docs
12SJ7,12SJ7,tube,audio docs
12SN7,12SN7,tube,audio docs
1590BB,1590BB,other,audio docs
1N2613,1N2613,diode,library
1N270,1N270,diode-ge,library
1N3070,1N3070,diode,audio docs
1N34,1N34,diode,audio docs
1N34A,1N34A,diode-ge,library
1N4001,1N4001,diode,library
1N4002,1N4002,diode,library
1N4003,1N4003,diode,library
1N4004,1N4004,diode,library
1N4005,1N4005,diode,audio docs
1N4007,1N4007,diode,library
1N400X,1N400X,diode,audio docs
1N4148,1N4148,diode,library
1N4148W,1N4148W,diode,library
1N4151,1N4151,diode,audio docs
1N4448,1N4448,diode,library
1N449A,1N449A,diode,audio docs
1N4728,1N4728,diode,audio docs
1N4728A,1N4728A,zener,library
1N4733,1N4733,diode,audio docs
1N4733A,1N4733A,zener,library
1N4734A,1N4734A,zener,audio docs
1N4735,1N4735,zener,audio docs
1N4737,1N4737,diode,audio docs
1N4739A,1N4739A,zener,library
1N4740A,1N4740A,zener,library
1N4742A,1N4742A,zener,library
1N4743A,1N4743A,zener,audio docs
1N4744A,1N4744A,zener,library
1N4745A,1N4745A,zener,audio docs
1N4746A,1N4746A,zener,library
1N4747A,1N4747A,diode,audio docs
1N4749A,1N4749A,zener,library
1N4751A,1N4751A,zener,audio docs
1N4754A,1N4754A,zener,audio docs
1N4756A,1N4756A,zener,audio docs
1N4758A,1N4758A,zener,audio docs
1N4760A,1N4760A,zener,audio docs
1N4764A,1N4764A,zener,library
1N5223B,1N5223B,zener,audio docs
1N5225,1N5225,zener,library
1N5225B,1N5225,zener,library alias
1N5226B,1N5226B,zener,audio docs
1N5228B,1N5228B,zener,library
1N5231B,1N5231B,zener,library
1N5234B,1N5234B,zener,audio docs
1N5235,1N5235,zener,audio docs
1N5236,1N5236,zener,audio docs
1N5239,1N5239,zener,audio docs
1N5239B,1N5239B,zener,audio docs
1N5240B,1N5240B,zener,audio docs
1N5242B,1N5242B,zener,library
1N5243,1N5243,zener,audio docs
1N5244B,1N5244B,zener,audio docs
1N5245A,1N5245A,zener,audio docs
1N5245B,1N5245B,zener,audio docs
1N5257B,1N5257B,zener,audio docs
1N5261,1N5261,zener,audio docs
1N5262B,1N5262B,diode,audio docs
1N5347A,1N5347A,zener,audio docs
1N5349,1N5349,diode,audio docs
1N5352,1N5352,zener,audio docs
1N5353,1N5353,zener,audio docs
1N5353B,1N5353B,zener,library
1N5356B,1N5356B,zener,audio docs
1N5366,1N5366,zener,audio docs
1N5368B,1N5368B,zener,audio docs
1N537,1N537,diode,library
1N5370,1N5370,zener,audio docs
