part,kind,source,category,note,priority,aliases
0B2,zener,audio documents,3 documents (groupdiy_threads),,3,
1N456A,diode,musikding.de,Dioden / Silizium Dioden,,2,
1N457A,diode,musikding.de,Dioden / Silizium Dioden,,2,
1N4734A,zener,audio documents,2 documents (el34world),,3,
1N4743A,zener,audio documents,15 documents (el34world),,2,
1N4745A,zener,audio documents,15 documents (el34world),,2,
1N4751A,zener,audio documents,"4 documents (el34world, schematicheaven)",,3,
1N4754A,zener,audio documents,3 documents (el34world),,3,
1N4756A,zener,audio documents,3 documents (el34world),,3,
1N4758A,zener,audio documents,2 documents (groupdiy_threads),,3,
1N4760A,zener,audio documents,"2 documents (el34world, schematicheaven)",,3,
1N5223B,zener,audio documents,"10 documents (el34world, schematicheaven)",,2,
1N5226B,zener,audio documents,3 documents (el34world),,3,
1N5234B,zener,audio documents,"4 documents (el34world, schematicheaven)",,3,
1N5235,zener,audio documents,3 documents (el34world),,3,
1N5236,zener,audio documents,5 documents (el34world),,3,
1N5239,zener,audio documents,2 documents (el34world),,3,
1N5239B,zener,audio documents,"2 documents (el34world, schematicheaven)",made by Various,3,
1N5240B,zener,audio documents,"24 documents (el34world, groupdiy_threads, schematicheaven)",,2,
1N5243,zener,audio documents,"2 documents (el34world, groupdiy_threads)",made by Vishay/On Semiconductor/others,3,
1N5244B,zener,audio documents,"17 documents (el34world, schematicheaven)",,2,
1N5245A,zener,audio documents,"2 documents (el34world, schematicheaven)",,3,
1N5245B,zener,audio documents,"18 documents (el34world, groupdiy_threads, schematicheaven)",,2,
1N5257B,zener,audio documents,2 documents (el34world),,3,
1N5261,zener,audio documents,2 documents (el34world),,3,
1N5347A,zener,audio documents,"4 documents (el34world, schematicheaven)",,3,
1N5352,zener,audio documents,"7 documents (el34world, schematicheaven)",,3,
1N5353,zener,audio documents,2 documents (el34world),,3,
1N5356B,zener,audio documents,"3 documents (el34world, schematicheaven)",,3,
1N5366,zener,audio documents,6 documents (el34world),,3,
1N5368B,zener,audio documents,"4 documents (el34world, schematicheaven)",,3,
1N5370,zener,audio documents,"4 documents (el34world, schematicheaven)",made by Various,3,
1N5378,zener,audio documents,"2 documents (el34world, schematicheaven)",,3,
1N5388,zener,audio documents,"2 documents (el34world, schematicheaven)",,3,
1N746,zener,audio documents,"37 documents (el34world, schematicheaven)",,2,
1N747,zener,audio documents,2 documents (el34world),,3,
1N754A,zener,audio documents,"27 documents (el34world, schematicheaven)",,2,
1N755,zener,audio documents,2 documents (esp),,3,
1N757A,zener,audio documents,4 documents (el34world),,3,
1N758,zener,audio documents,2 documents (el34world),,3,
1N759A,zener,audio documents,2 documents (el34world),made by Motorola/National (historical),3,
1N916,diode,musikding.de,Dioden / Silizium Dioden,,2,
