id,key,title,url,parent,role,year,month,pages,sha
0,https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf,Electronics World 1959-06,https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf,,issue,1959,06,140,8a8d54d8cbb75ace
1,https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf,Electronics World 1959-08,https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf,,issue,1959,08,140,111cc5f2e8c6c15d
10,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-02.pdf,Electronics World 1965-02,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-02.pdf,,issue,1965,02,102,47c7dab5c37fb78a
11,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-06.pdf,Electronics World 1965-06,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-06.pdf,,issue,1965,06,100,f6f108c9ba3324bd
12,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-07.pdf,Electronics World 1965-07,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-07.pdf,,issue,1965,07,102,0b3601425b676149
13,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-08.pdf,Electronics World 1965-08,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-08.pdf,,issue,1965,08,82,204d730a87350656
14,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-12.pdf,Electronics World 1965-12,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1965/Electronics-World-1965-12.pdf,,issue,1965,12,94,aadea4e283d68a1e
15,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1966/Electronics-World-1966-01.pdf,Electronics World 1966-01,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1966/Electronics-World-1966-01.pdf,,issue,1966,01,100,daa7cabc9ac452bd
16,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1966/Electronics-World-1966-02.pdf,Electronics World 1966-02,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1966/Electronics-World-1966-02.pdf,,issue,1966,02,94,6aeca32e4a98e775
17,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1966/Electronics-World-1966-06.pdf,Electronics World 1966-06,https://www.worldradiohistory.com/Archive-Electronics-World/60s/1966/Electronics-World-1966-06.pdf,,issue,1966,06,94,8dc20c12a4d54128
