id,key,title,url,parent,role,year,month,pages
0,https://electrosmash.mas-effects.com/big-muff-pi-analysis,Big Muff Pi Analysis,https://electrosmash.mas-effects.com/big-muff-pi-analysis,,project_page,,,1
1,https://electrosmash.mas-effects.com/images/back-talk-analysis/back-talk-audio-codec.png,Back Talk Reverse Delay Analysis,https://electrosmash.mas-effects.com/images/back-talk-analysis/back-talk-audio-codec.png,,figure,,,1
10,https://electrosmash.mas-effects.com/mxr-dyna-comp-analysis,MXR Dyna Comp Analysis,https://electrosmash.mas-effects.com/mxr-dyna-comp-analysis,,project_page,,,1
11,https://electrosmash.mas-effects.com/mxr-microamp,MXR MicroAmp Analysis,https://electrosmash.mas-effects.com/mxr-microamp,,project_page,,,1
12,https://electrosmash.mas-effects.com/mxr-phase90,MXR Phase 90 Analysis,https://electrosmash.mas-effects.com/mxr-phase90,,project_page,,,1
13,https://electrosmash.mas-effects.com/proco-rat,Pro Co RAT Analysis,https://electrosmash.mas-effects.com/proco-rat,,project_page,,,1
14,https://electrosmash.mas-effects.com/sitar-swami-analysis,Sitar Swami Analysis,https://electrosmash.mas-effects.com/sitar-swami-analysis,,project_page,,,1
15,https://electrosmash.mas-effects.com/tube-screamer-analysis,Tube Screamer Circuit Analysis,https://electrosmash.mas-effects.com/tube-screamer-analysis,,project_page,,,1
16,https://electrosmash.mas-effects.com/vox-v847-analysis,Vox V847 Wah-Wah Analysis,https://electrosmash.mas-effects.com/vox-v847-analysis,,project_page,,,1
17,https://electrosmash.mas-effects.com/germanium-fuzz,You Can Build the Perfect Germanium Fuzz,https://electrosmash.mas-effects.com/germanium-fuzz,,project_page,,,1
18,https://electrosmash.mas-effects.com/mn3007-bucket-brigade-devices,Bucket Brigade Devices: MN3007,https://electrosmash.mas-effects.com/mn3007-bucket-brigade-devices,,project_page,,,1
19,https://electrosmash.mas-effects.com/jrc4558-analysis,JRC4558 Analysis,https://electrosmash.mas-effects.com/jrc4558-analysis,,project_page,,,1
1a,https://electrosmash.mas-effects.com/lm386-analysis,LM386 Audio Amplifier Analysis,https://electrosmash.mas-effects.com/lm386-analysis,,project_page,,,1
1b,https://electrosmash.mas-effects.com/pt2399-analysis,PT2399 Analysis,https://electrosmash.mas-effects.com/pt2399-analysis,,project_page,,,1
1c,https://electrosmash.mas-effects.com/1wamp,1Wamp Electric Guitar Amplifier — Open Hardware,https://electrosmash.mas-effects.com/1wamp,,project_page,,,1
1d,https://electrosmash.mas-effects.com/little-gem-analysis,Little Gem Analysis,https://electrosmash.mas-effects.com/little-gem-analysis,,project_page,,,1
1e,https://electrosmash.mas-effects.com/marshall-mg10,Marshall MG10 Amplifier Analysis,https://electrosmash.mas-effects.com/marshall-mg10,,project_page,,,1
1f,https://electrosmash.mas-effects.com/noisy-cricket-analysis,Noisy Cricket Analysis,https://electrosmash.mas-effects.com/noisy-cricket-analysis,,project_page,,,1
1g,https://electrosmash.mas-effects.com/ruby-amp-analysis,Ruby Amp Analysis,https://electrosmash.mas-effects.com/ruby-amp-analysis,,project_page,,,1
1h,https://electrosmash.mas-effects.com/smokey-amp-analysis,Smokey Amp Analysis,https://electrosmash.mas-effects.com/smokey-amp-analysis,,project_page,,,1
1i,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-original-schematic-parts.png,Fuzz Face Analysis,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-original-schematic-parts.png,w,figure,,,1
1j,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-bias.jpg,Fuzz Face Analysis,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-bias.jpg,w,figure,,,1
1k,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-input-stage.png,Fuzz Face Analysis,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-input-stage.png,w,figure,,,1
1l,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-output-stage.png,Fuzz Face Analysis,https://electrosmash.mas-effects.com/images/fuzz-face/fuzz-face-output-stage.png,w,figure,,,1
1m,https://electrosmash.mas-effects.com/assets/fuzz-face/fuzz%20face%20overton_william_e_200605_mast.pdf.pdf,Fuzz Face Analysis,https://electrosmash.mas-effects.com/assets/fuzz-face/fuzz%20face%20overton_william_e_200605_mast.pdf.pdf,w,figure,,,74
1n,https://electrosmash.mas-effects.com/assets/fuzz-face/ac128_datasheet1.pdf,Fuzz Face Analysis,https://electrosmash.mas-effects.com/assets/fuzz-face/ac128_datasheet1.pdf,w,figure,,,7
1o,https://electrosmash.mas-effects.com/assets/fuzz-face/ac128_datasheet2.pdf,Fuzz Face Analysis,https://electrosmash.mas-effects.com/assets/fuzz-face/ac128_datasheet2.pdf,w,figure,,,4
1p,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/Klon-Centaur-Schematic-Parts.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/Klon-Centaur-Schematic-Parts.png,x,figure,,,1
1q,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-power-supply.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-power-supply.png,x,figure,,,1
1r,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/max1044-configurations.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/max1044-configurations.png,x,figure,,,1
1s,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-input_buffer.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-input_buffer.png,x,figure,,,1
1t,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-op-amp-gain-stage-circuit.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-op-amp-gain-stage-circuit.png,x,figure,,,1
1u,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-clipping-diodes.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-clipping-diodes.png,x,figure,,,1
1v,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-networks.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-networks.png,x,figure,,,1
1w,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-summing-op-amp.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-summing-op-amp.png,x,figure,,,1
1x,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-tone-control-circuit.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-tone-control-circuit.png,x,figure,,,1
1y,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-bypass-mode.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/klon-centaur-bypass-mode.png,x,figure,,,1
1z,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/Klon-Centaur-Schematic-Big.png,Klon Centaur Analysis,https://electrosmash.mas-effects.com/images/klon-centaur-analysis/Klon-Centaur-Schematic-Big.png,x,figure,,,1
2,https://electrosmash.mas-effects.com/images/back-talk-analysis/back-talk-memory.png,Back Talk Reverse Delay Analysis,https://electrosmash.mas-effects.com/images/back-talk-analysis/back-talk-memory.png,,figure,,,1
20,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/marshall-guvnor-schematic-parts.png,Marshall The Guvnor Analysis,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/marshall-guvnor-schematic-parts.png,y,figure,,,1
21,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/Marshall-Guvnor-sticker-made-in-UKKorea.jpg,Marshall The Guvnor Analysis,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/Marshall-Guvnor-sticker-made-in-UKKorea.jpg,y,figure,,,1
22,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/marshall-guvnor-input-stage-circuit.png,Marshall The Guvnor Analysis,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/marshall-guvnor-input-stage-circuit.png,y,figure,,,1
23,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/marshall-guvnor-clipping-stage.png,Marshall The Guvnor Analysis,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/marshall-guvnor-clipping-stage.png,y,figure,,,1
24,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/Klon-Centaur-Schematic-Parts.png,Marshall The Guvnor Analysis,https://electrosmash.mas-effects.com/images/marshall-guvnor-analysis/Klon-Centaur-Schematic-Parts.png,y,figure,,,1
25,https://electrosmash.mas-effects.com/images/mxr-distortion-plus-analysis/mxr_distortion_schematic_parts.png,MXR Distortion + Analysis,https://electrosmash.mas-effects.com/images/mxr-distortion-plus-analysis/mxr_distortion_schematic_parts.png,z,figure,,,1
26,https://electrosmash.mas-effects.com/images/mxr-distortion-plus-analysis/MXR_Distortion_PCB.jpg,MXR Distortion + Analysis,https://electrosmash.mas-effects.com/images/mxr-distortion-plus-analysis/MXR_Distortion_PCB.jpg,z,figure,,,1
27,https://electrosmash.mas-effects.com/images/mxr-distortion-plus-analysis/lm741.jpg,MXR Distortion + Analysis,https://electrosmash.mas-effects.com/images/mxr-distortion-plus-analysis/lm741.jpg,z,figure,,,1
