id,key,title,url,parent,role,year,month,pages,sha
0,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02,Elektor 1975-02,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02,,issue,1975,02,55,
1,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08,Elektor 1975-07,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08,,issue,1975,07,51,
10,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-02,Elektor 1979-02,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-02,,issue,1979,02,49,
11,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-03,Elektor 1979-03,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-03,,issue,1979,03,50,
12,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-04,Elektor 1979-04,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-04,,issue,1979,04,42,
13,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-05,Elektor 1979-05,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-05,,issue,1979,05,56,
14,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-06,Elektor 1979-06,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-06,,issue,1979,06,49,
15,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-07_08,Elektor 1979-07,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-07_08,,issue,1979,07,123,
16,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-09,Elektor 1979-09,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-09,,issue,1979,09,57,
17,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-10,Elektor 1979-10,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-10,,issue,1979,10,48,
18,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-11,Elektor 1979-11,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-11,,issue,1979,11,46,
19,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-12,Elektor 1979-12,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-12,,issue,1979,12,50,
1a,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-01,Elektor 1980-01,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-01,,issue,1980,01,49,
1b,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-02,Elektor 1980-02,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-02,,issue,1980,02,55,
1c,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-03,Elektor 1980-03,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-03,,issue,1980,03,50,
1d,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-04,Elektor 1980-04,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-04,,issue,1980,04,53,
1e,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-05,Elektor 1980-05,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-05,,issue,1980,05,54,
1f,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-06,Elektor 1980-06,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-06,,issue,1980,06,45,
1g,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-07_08,Elektor 1980-07,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-07_08,,issue,1980,07,93,
1h,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-09,Elektor 1980-09,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-09,,issue,1980,09,52,
1i,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-10,Elektor 1980-10,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-10,,issue,1980,10,44,
1j,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-11,Elektor 1980-11,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-11,,issue,1980,11,57,
1k,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-12,Elektor 1980-12,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201980-12,,issue,1980,12,56,
1l,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-01,Elektor 1981-01,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-01,,issue,1981,01,50,
1m,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-02,Elektor 1981-02,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-02,,issue,1981,02,50,
1n,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-03,Elektor 1981-03,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-03,,issue,1981,03,48,
1o,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-04,Elektor 1981-04,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-04,,issue,1981,04,66,
1p,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-05,Elektor 1981-05,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-05,,issue,1981,05,55,
1q,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-06,Elektor 1981-06,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-06,,issue,1981,06,55,
1r,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-07_08,Elektor 1981-07,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-07_08,,issue,1981,07,113,
1s,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-09,Elektor 1981-09,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-09,,issue,1981,09,62,
1t,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-11,Elektor 1981-11,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-11,,issue,1981,11,57,
1u,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-12,Elektor 1981-12,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201981-12,,issue,1981,12,57,
1v,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-01,Elektor 1982-01,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-01,,issue,1982,01,61,
1w,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-02,Elektor 1982-02,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-02,,issue,1982,02,54,
1x,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-03,Elektor 1982-03,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-03,,issue,1982,03,52,
1y,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-04,Elektor 1982-04,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-04,,issue,1982,04,50,
1z,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-05,Elektor 1982-05,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-05,,issue,1982,05,54,
2,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-09,Elektor 1975-09,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-09,,issue,1975,09,49,
20,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-06,Elektor 1982-06,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201982-06,,issue,1982,06,62,
