id,key,title,url,parent,role,year,month,pages
0,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-08-81.pdf,Electronics Today International — ETI-08-81.pdf,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-08-81.pdf,,issue,,,47
1,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-11-77.pdf,Electronics Today International — ETI-11-77.pdf,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-11-77.pdf,,issue,,,48
10,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-05-79.pdf,Electronics Today International 1979-05,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-05-79.pdf,,issue,1979,05,114
11,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-06-79.pdf,Electronics Today International 1979-06,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-06-79.pdf,,issue,1979,06,124
12,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-08-79.pdf,Electronics Today International 1979-08,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-08-79.pdf,,issue,1979,08,116
13,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-09-79.pdf,Electronics Today International 1979-09,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-09-79.pdf,,issue,1979,09,104
14,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-10-79.pdf,Electronics Today International 1979-10,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-10-79.pdf,,issue,1979,10,106
15,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-11-79.pdf,Electronics Today International 1979-11,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-11-79.pdf,,issue,1979,11,124
16,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-12-79.pdf,Electronics Today International 1979-12,https://www.worldradiohistory.com/UK/Electronics-Today-UK/70s/ETI-1979-12-79.pdf,,issue,1979,12,124
17,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-1980-01-80.pdf,Electronics Today International 1980-01,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-1980-01-80.pdf,,issue,1980,01,124
18,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-1980-02-80.pdf,Electronics Today International 1980-02,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-1980-02-80.pdf,,issue,1980,02,108
19,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-1980-03-80.pdf,Electronics Today International 1980-03,https://www.worldradiohistory.com/UK/Electronics-Today-UK/80s/ETI-1980-03-80.pdf,,issue,1980,03,108
