id,key,title,url,parent,role,year,month,pages
0,https://experimentalistsanonymous.com/diy/Schematics/Vibrato%20and%20Pitch%20Shift/BOSS%20OC-2.pdf,BOSS OC-2,https://experimentalistsanonymous.com/diy/Schematics/Vibrato%20and%20Pitch%20Shift/BOSS%20OC-2.pdf,,schematic,,,1
1,https://experimentalistsanonymous.com/diy/Schematics/Vibrato%20and%20Pitch%20Shift/Blacet%20Frequency%20Divider.gif,Blacet Frequency Divider,https://experimentalistsanonymous.com/diy/Schematics/Vibrato%20and%20Pitch%20Shift/Blacet%20Frequency%20Divider.gif,,schematic,,,1
10,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Ibanez%20PQL%20Parametric%20EQ.pdf,Ibanez PQL Parametric EQ,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Ibanez%20PQL%20Parametric%20EQ.pdf,,schematic,,,1
11,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Korg%20Parametric%20EQ.gif,Korg Parametric EQ,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Korg%20Parametric%20EQ.gif,,schematic,,,1
12,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Korg%20Tone%20Booster.gif,Korg Tone Booster,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Korg%20Tone%20Booster.gif,,schematic,,,1
13,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Mixers%20and%20EQs.gif,Mixers and EQs,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Mixers%20and%20EQs.gif,,schematic,,,1
14,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Modified%20VOX%20Treble%20Booster.jpg,Modified VOX Treble Booster,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Modified%20VOX%20Treble%20Booster.jpg,,schematic,,,1
15,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Stereo%20Frequency%20Splitting%20Effect.gif,Stereo Frequency Splitting Effect,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Stereo%20Frequency%20Splitting%20Effect.gif,,schematic,,,1
16,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tone%20Booster.pdf,Tone Booster,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tone%20Booster.pdf,,schematic,,,1
17,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tone%20Control%20Circuits.pdf,Tone Control Circuits,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tone%20Control%20Circuits.pdf,,schematic,,,1
18,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tube%2050hz%20crossover.jpg,Tube 50hz crossover,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tube%2050hz%20crossover.jpg,,schematic,,,1
