id,key,title,url,parent,role,year,month,pages,sha
0,https://www.firstwatt.com/wp-content/uploads/2024/06/First-Watt-F8-Stereo-Power-Amplifier-The-Absolute-Sound.pdf,First Watt F8 – The Absolute Sound – Dick Olsher,https://www.firstwatt.com/wp-content/uploads/2024/06/First-Watt-F8-Stereo-Power-Amplifier-The-Absolute-Sound.pdf,,schematic,,,5,a273829c803e8132
1,https://www.firstwatt.com/wp-content/uploads/2023/12/TA_034.pdf,First Watt J2 – Tone Audio – Steve Guttenberg,https://www.firstwatt.com/wp-content/uploads/2023/12/TA_034.pdf,,schematic,,,107,b8e0a939a7e87949
10,https://www.firstwatt.com/wp-content/uploads/2023/12/art_mos_test.pdf,First Watt Mosfet Testing,https://www.firstwatt.com/wp-content/uploads/2023/12/art_mos_test.pdf,,schematic,,,11,74d31d35685b7827
11,https://www.firstwatt.com/wp-content/uploads/2023/12/art_elpipeo.pdf,First Watt El Pipe-O (with Kent English),https://www.firstwatt.com/wp-content/uploads/2023/12/art_elpipeo.pdf,,schematic,,,13,89d30338ef45254e
12,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zv4.pdf,First Watt Zen Variations 4,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zv4.pdf,,schematic,,,8,af8cc05594aad6b2
13,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zv3.pdf,First Watt Zen Variations 3,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zv3.pdf,,schematic,,,5,278f26e718a180e0
14,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zv1.pdf,First Watt Zen Variations 1,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zv1.pdf,,schematic,,,8,90e6c7eb5cceb8b2
15,https://www.firstwatt.com/wp-content/uploads/2023/12/art_a40_redux.pdf,First Watt A40 Parts Subs,https://www.firstwatt.com/wp-content/uploads/2023/12/art_a40_redux.pdf,,schematic,,,1,dff0be86ad354ff0
16,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_opamp-1.pdf,First Watt DIY Op Amps,https://www.firstwatt.com/wp-content/uploads/2023/12/art_diy_opamp-1.pdf,,schematic,,,11,1d9d4f4ce50b666f
17,https://www.firstwatt.com/wp-content/uploads/2023/12/art_susy.pdf,First Watt Super-Symmetric Amplification,https://www.firstwatt.com/wp-content/uploads/2023/12/art_susy.pdf,,schematic,,,3,0439424d891cbfc0
18,https://www.firstwatt.com/wp-content/uploads/2023/12/art_bosoz.pdf,First Watt Balanced Zen Line Stage,https://www.firstwatt.com/wp-content/uploads/2023/12/art_bosoz.pdf,,schematic,,,9,31a7008a2ef7b23a
19,https://www.firstwatt.com/wp-content/uploads/2023/12/art_soz.pdf,First Watt Son of Zen,https://www.firstwatt.com/wp-content/uploads/2023/12/art_soz.pdf,,schematic,,,5,010b30b2a40205f9
1a,https://www.firstwatt.com/wp-content/uploads/2023/12/art_boz.pdf,First Watt Bride of Zen,https://www.firstwatt.com/wp-content/uploads/2023/12/art_boz.pdf,,schematic,,,10,4c4924a97d7b37f8
1b,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zen_redux.pdf,First Watt Zen Amp redux,https://www.firstwatt.com/wp-content/uploads/2023/12/art_zen_redux.pdf,,schematic,,,3,757c17edc879108d
