id,key,title,url,parent,role,year,month,pages,sha
0,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf,Hobbyist specials 1970,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf,,issue,1970,,104,19fad3166e0d18d2
1,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1971.pdf,Hobbyist specials 1971,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1971.pdf,,issue,1971,,116,89a33154d1c4cca8
10,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1976-Summer.pdf,Hobbyist specials 1976,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1976-Summer.pdf,,issue,1976,,100,1e145247ea72adb2
11,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1977-Summer.pdf,Hobbyist specials 1977,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1977-Summer.pdf,,issue,1977,,100,158e41331e440a5b
12,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1978-Sp-Su.pdf,Hobbyist specials 1978,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1978-Sp-Su.pdf,,issue,1978,,118,4e440e4a80786e2f
13,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1979-Fall-Winter.pdf,Hobbyist specials 1979,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1979-Fall-Winter.pdf,,issue,1979,,116,9e87fe138fc8f148
14,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1980.pdf,Hobbyist specials 1980,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1980.pdf,,issue,1980,,100,703e3a0832c3b263
15,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1984-Summer.pdf,Hobbyist specials 1984,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1984-Summer.pdf,,issue,1984,,100,df9f5685088fc7fc
16,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1985-Fall.pdf,Hobbyist specials 1985,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Hobbyist-1985-Fall.pdf,,issue,1985,,100,5162163de495d7fc
17,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Installation-Servicing-Handbook-1969.pdf,Hobbyist specials 1969,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Installation-Servicing-Handbook-1969.pdf,,issue,1969,,124,d3096aea6ec2ba21
18,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Installation-Servicing-Handbook-1970.pdf,Hobbyist specials 1970,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Installation-Servicing-Handbook-1970.pdf,,issue,1970,,118,ce49805f8c2d1671
19,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Installation-and_Servicing-%201967.pdf,Hobbyist specials 1967,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Installation-and_Servicing-%201967.pdf,,issue,1967,,132,077dfaf1d5ab7bf7
1a,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Projects-You-Can-Make-1958.pdf,Hobbyist specials 1958,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Projects-You-Can-Make-1958.pdf,,issue,1958,,148,a674b6e462339d8e
1b,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Theory-Hanbook-1973.pdf,Hobbyist specials 1973,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Electronics-Theory-Hanbook-1973.pdf,,issue,1973,,116,bec9704045a9895f
1c,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Elelectronics-Handbook-Fawcett-319-1956.pdf,Hobbyist specials 1956,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Elelectronics-Handbook-Fawcett-319-1956.pdf,,issue,1956,,148,f420f513720fc05d
1d,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Electronic-Projects-You-Can-Make-1966.pdf,Hobbyist specials 1966,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Electronic-Projects-You-Can-Make-1966.pdf,,issue,1966,,116,aee8935bd066f83a
1e,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Hi-FI-Tape-Recording-1958.pdf,Hobbyist specials 1958,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Hi-FI-Tape-Recording-1958.pdf,,issue,1958,,148,f3359b09ad57e301
1f,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Hi-Fi-Low-Cost-Hi-Fi-1957.pdf,Hobbyist specials 1957,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Hi-Fi-Low-Cost-Hi-Fi-1957.pdf,,issue,1957,,150,840bae907796b89b
1g,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Hi-Fi-Manual-1955.pdf,Hobbyist specials 1955,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Fawcett-Hi-Fi-Manual-1955.pdf,,issue,1955,,148,b36d90e05d7c9edc
1h,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Hi-Fi-Guide-Fawcett-389-1958.pdf,Hobbyist specials 1958,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Hi-Fi-Guide-Fawcett-389-1958.pdf,,issue,1958,,148,523899661acd749f
1i,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Hi-Fi-Handbook-No-1.pdf,Hobbyist specials — Hi-Fi-Handbook-No-1.pdf,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Hi-Fi-Handbook-No-1.pdf,,issue,,,148,686310a7026fe2af
1j,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Maco-Hi-Fi-Handbook-1956.pdf,Hobbyist specials 1956,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Maco-Hi-Fi-Handbook-1956.pdf,,issue,1956,,148,2a36216306a97be8
1k,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Make-Your-Own-TV-Repairs-Fawcett-1966.pdf,Hobbyist specials 1966,https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/Make-Your-Own-TV-Repairs-Fawcett-1966.pdf,,issue,1966,,110,939f4a330eda4308
