id,key,title,url,parent,role,year,month,pages
0,https://keith-snook.info/wireless-world-articles/Wireless-World-1997/Error%20feedback%20in%20audio%20power.pdf,Error feedback in audio power (Wireless World Jun 1997),https://keith-snook.info/wireless-world-articles/Wireless-World-1997/Error%20feedback%20in%20audio%20power.pdf,,schematic,,,3
1,https://keith-snook.info/wireless-world-articles/Wireless-World-1997/300V%20us%20power.pdf,300V us power (Wireless World Apr 1997),https://keith-snook.info/wireless-world-articles/Wireless-World-1997/300V%20us%20power.pdf,,schematic,,,5
10,https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Frequency%20Shifter%20For%20Howl%20Suppression.pdf,Frequency Shifter For Howl Suppression (Wireless World Jul 1973),https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Frequency%20Shifter%20For%20Howl%20Suppression.pdf,,schematic,,,6
11,https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Audio%20Power%20amplifier.pdf,Audio Power amplifier (Wireless World Jun 1973),https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Audio%20Power%20amplifier.pdf,,schematic,,,2
12,https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Distortion%20Reducer.pdf,Distortion Reducer (Wireless World Feb 1973),https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Distortion%20Reducer.pdf,,schematic,,,4
13,https://keith-snook.info/wireless-world-articles/Wireless-World-1973/The%20Semiconductor%20Story.pdf,The Semiconductor Story (Wireless World Jan 1973),https://keith-snook.info/wireless-world-articles/Wireless-World-1973/The%20Semiconductor%20Story.pdf,,schematic,,,18
14,https://keith-snook.info/wireless-world-articles/Wireless-World-1972/The%20Wireless%20World%20Desk%20Calculator.pdf,The Wireless World Desk Calculator (Wireless World Sep 1972),https://keith-snook.info/wireless-world-articles/Wireless-World-1972/The%20Wireless%20World%20Desk%20Calculator.pdf,,schematic,,,13
15,https://keith-snook.info/wireless-world-articles/Wireless-World-1972/Low-noise%20Audio%20Amplifiers%20-%20H%20P%20Walker.pdf,Low-noise Audio Amplifiers - H P Walker (Wireless World May 1972),https://keith-snook.info/wireless-world-articles/Wireless-World-1972/Low-noise%20Audio%20Amplifiers%20-%20H%20P%20Walker.pdf,,schematic,,,5
16,https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Electrostatic%20Headphone%20Design.pdf,Electrostatic Headphone Design (Wireless World Nov 1971),https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Electrostatic%20Headphone%20Design.pdf,,schematic,,,5
17,https://keith-snook.info/wireless-world-articles/Wireless-World-1971/The%20Liniac%20by%20John%20L%20Linsley%20Hood.pdf,The Liniac by John L Linsley Hood (Wireless World Sep 1971),https://keith-snook.info/wireless-world-articles/Wireless-World-1971/The%20Liniac%20by%20John%20L%20Linsley%20Hood.pdf,,schematic,,,5
18,https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Ceramic%20Pickup%20Equalisation.pdf,Ceramic Pickup Equalisation (Wireless World Jul 1971),https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Ceramic%20Pickup%20Equalisation.pdf,,schematic,,,8
19,https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf,Stereo Mixer by H P Walker (Wireless World May 1971),https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf,,schematic,,,11
1a,https://keith-snook.info/wireless-world-articles/Wireless-World-1971/FM%20Stereo%20Tuner%20by%20L%20Nelson-Jones.pdf,FM Stereo Tuner by L Nelson-Jones (Wireless World Apr 1971),https://keith-snook.info/wireless-world-articles/Wireless-World-1971/FM%20Stereo%20Tuner%20by%20L%20Nelson-Jones.pdf,,schematic,,,11
1b,https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Low%20Distortion%20Tone-control%20Circuit%20by%20P%20M%20Quilter.pdf,Low Distortion Tone-control Circuit by P M Quilter (Wireless World Apr 1971),https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Low%20Distortion%20Tone-control%20Circuit%20by%20P%20M%20Quilter.pdf,,schematic,,,2
