id,key,title,url,parent,role,year,month,pages
0,https://www.ludens.cl/Electron/Ps20/Ps20.html,Ps20.html,https://www.ludens.cl/Electron/Ps20/Ps20.html,,project_page,,,1
1,https://www.ludens.cl/Electron/latsup/latsup.html,latsup.html,https://www.ludens.cl/Electron/latsup/latsup.html,,project_page,,,1
10,https://www.ludens.cl/Electron/Ps20/ps20.gif,13.8V 20A linear power supply,https://www.ludens.cl/Electron/Ps20/ps20.gif,0,figure,,,1
11,https://www.ludens.cl/Electron/PS40/Figure1.gif,Switching power supply,https://www.ludens.cl/Electron/PS40/Figure1.gif,,figure,,,1
12,https://www.ludens.cl/Electron/latsup/latsup.png,160V 3A DC motor power supply,https://www.ludens.cl/Electron/latsup/latsup.png,1,figure,,,1
13,https://www.ludens.cl/Electron/dcdc/dcdc120.gif,DC to DC converters,https://www.ludens.cl/Electron/dcdc/dcdc120.gif,2,figure,,,1
14,https://www.ludens.cl/Electron/dcdc/dcdc121v.gif,DC to DC converters,https://www.ludens.cl/Electron/dcdc/dcdc121v.gif,2,figure,,,1
15,https://www.ludens.cl/Electron/12Vcharger/12VTO12V.gif,"12V powered, 12 V battery charger",https://www.ludens.cl/Electron/12Vcharger/12VTO12V.gif,,figure,,,1
16,https://www.ludens.cl/Electron/12Vcharger/12VTO12Vsmall.gif,"12V powered, 12 V battery charger",https://www.ludens.cl/Electron/12Vcharger/12VTO12Vsmall.gif,,figure,,,1
17,https://www.ludens.cl/Electron/Fluolamp/fluo20.gif,12 Volt fluorescent lamp drivers,https://www.ludens.cl/Electron/Fluolamp/fluo20.gif,,figure,,,1
18,https://www.ludens.cl/Electron/Fluolamp/Fluo2.gif,12 Volt fluorescent lamp drivers,https://www.ludens.cl/Electron/Fluolamp/Fluo2.gif,,figure,,,1
19,https://www.ludens.cl/Electron/Fluolamp/fluo8.gif,12 Volt fluorescent lamp drivers,https://www.ludens.cl/Electron/Fluolamp/fluo8.gif,,figure,,,1
