id,key,title,url,parent,role,year,month,pages
0,https://docs.pedalpcb.com/project/FV1-Dev.pdf,FV-1 Development PCB,https://docs.pedalpcb.com/project/FV1-Dev.pdf,,schematic,,,8
1,https://docs.pedalpcb.com/project/Raincoat.pdf,BuGGFX Raincoat / BuGGFX Raincoat,https://docs.pedalpcb.com/project/Raincoat.pdf,,schematic,,,5
10,https://docs.pedalpcb.com/project/Kliche-PedalPCB.pdf,Kliché Overdrive / Klon Centaur,https://docs.pedalpcb.com/project/Kliche-PedalPCB.pdf,,schematic,,,6
11,https://docs.pedalpcb.com/project/BlueBreaker-PedalPCB.pdf,Blue Breaker / Marshall Bluesbreaker,https://docs.pedalpcb.com/project/BlueBreaker-PedalPCB.pdf,,schematic,,,5
12,https://docs.pedalpcb.com/project/DuoPhase.pdf,Duo-Phase / Mu-Tron Bi-Phase,https://docs.pedalpcb.com/project/DuoPhase.pdf,,schematic,,,7
13,https://docs.pedalpcb.com/project/Cepheid-PedalPCB.pdf,Cepheid Chorus / Boss CE-2 Chorus,https://docs.pedalpcb.com/project/Cepheid-PedalPCB.pdf,,schematic,,,7
14,https://docs.pedalpcb.com/project/MuffinFuzz-PedalPCB.pdf,Muffin Fuzz / EHX Big Muff Pi,https://docs.pedalpcb.com/project/MuffinFuzz-PedalPCB.pdf,,schematic,,,8
15,https://docs.pedalpcb.com/project/SherwoodV2-PedalPCB.pdf,Sherwood Drive / EQD Westwood,https://docs.pedalpcb.com/project/SherwoodV2-PedalPCB.pdf,,schematic,,,5
16,https://docs.pedalpcb.com/project/DuoCast.pdf,Duocast / Hudson Broadcast (Dual Footswitch),https://docs.pedalpcb.com/project/DuoCast.pdf,,schematic,,,8
17,https://docs.pedalpcb.com/project/Decadence-PedalPCB.pdf,Decadence Preamp / Peavey Decade Preamp,https://docs.pedalpcb.com/project/Decadence-PedalPCB.pdf,,schematic,,,6
18,https://docs.pedalpcb.com/project/SixStringStinger-PedalPCB.pdf,Six String Stinger / Vertex Steel String Clean Drive,https://docs.pedalpcb.com/project/SixStringStinger-PedalPCB.pdf,,schematic,,,5
19,https://docs.pedalpcb.com/project/Woodpecker.pdf,Woodpecker Tremolo / EQD Hummingbird,https://docs.pedalpcb.com/project/Woodpecker.pdf,,schematic,,,5
1a,https://docs.pedalpcb.com/project/Akronym-PedalPCB.pdf,Akronym Bass Overdrive / EQD Blumes™,https://docs.pedalpcb.com/project/Akronym-PedalPCB.pdf,,schematic,,,5
1b,https://docs.pedalpcb.com/project/Mahayana.pdf,Mahayana Drive / Hermida Audio Zendrive,https://docs.pedalpcb.com/project/Mahayana.pdf,,schematic,,,5
1c,https://docs.pedalpcb.com/project/TremblingLoon.pdf,Trembling Loon Tremolo / 4ms Tremulus Lune,https://docs.pedalpcb.com/project/TremblingLoon.pdf,,schematic,,,5
1d,https://docs.pedalpcb.com/project/PedalPCB-Pendulum.pdf,Pendulum Harmonic Tremolo,https://docs.pedalpcb.com/project/PedalPCB-Pendulum.pdf,,schematic,,,5
1e,https://docs.pedalpcb.com/project/Ottava-PedalPCB.pdf,Ottava Octave Fuzz / Lastgasp Octavella,https://docs.pedalpcb.com/project/Ottava-PedalPCB.pdf,,schematic,,,5
1f,https://docs.pedalpcb.com/project/CapsizePreamp-PedalPCB.pdf,Capsize Preamp / Broughton Audio Fliptop,https://docs.pedalpcb.com/project/CapsizePreamp-PedalPCB.pdf,,schematic,,,5
1g,https://docs.pedalpcb.com/project/6BandEQ.pdf,6-Band EQ,https://docs.pedalpcb.com/project/6BandEQ.pdf,,schematic,,,6
1h,https://docs.pedalpcb.com/project/OxideDistortion.pdf,Oxide Distortion / Ibanez MT10 Mostortion,https://docs.pedalpcb.com/project/OxideDistortion.pdf,,schematic,,,6
1i,https://docs.pedalpcb.com/project/BlueYonder-PedalPCB.pdf,Blue Yonder Overdrive / Greer Amps Mizuki Blue,https://docs.pedalpcb.com/project/BlueYonder-PedalPCB.pdf,,schematic,,,5
1j,https://docs.pedalpcb.com/datasheet/bat42.pdf,BAT42 Small Signal Schottky Diode,https://docs.pedalpcb.com/datasheet/bat42.pdf,,schematic,,,4
1k,https://docs.pedalpcb.com/project/Fumble-PedalPCB.pdf,Fumble Boost / DUMBLE® BBC-1 / JHS FUMBLE Boost,https://docs.pedalpcb.com/project/Fumble-PedalPCB.pdf,,schematic,,,5
1l,https://docs.pedalpcb.com/project/PandorasBox.pdf,Pandora's Box / Bixonic Expandora,https://docs.pedalpcb.com/project/PandorasBox.pdf,,schematic,,,5
1m,https://docs.pedalpcb.com/project/NoctisFuzz-PedalPCB.pdf,Noctis Fuzz / Keeley Moon Op Amp Fuzz,https://docs.pedalpcb.com/project/NoctisFuzz-PedalPCB.pdf,,schematic,,,5
1n,https://docs.pedalpcb.com/datasheet/pt2399.pdf,PT2399,https://docs.pedalpcb.com/datasheet/pt2399.pdf,,schematic,,,11
1o,https://docs.pedalpcb.com/project/VibroBot-PedalPCB.pdf,VibroBot Tremolo / Frantone Electronics Vibutron,https://docs.pedalpcb.com/project/VibroBot-PedalPCB.pdf,,schematic,,,5
1p,https://docs.pedalpcb.com/project/SpiritBox.pdf,Spirit Box / EQD Ghost Echo,https://docs.pedalpcb.com/project/SpiritBox.pdf,,schematic,,,5
1q,https://docs.pedalpcb.com/project/Wrectifier-PedalPCB.pdf,Wrectifier Distortion / Wampler Triple Wreck,https://docs.pedalpcb.com/project/Wrectifier-PedalPCB.pdf,,schematic,,,6
1r,https://docs.pedalpcb.com/project/Tuner-PedalPCB.pdf,PedalPCB Tuner,https://docs.pedalpcb.com/project/Tuner-PedalPCB.pdf,,schematic,,,7
1s,https://docs.pedalpcb.com/project/GloryHole.pdf,Glory Hole Overdrive / JHS Morning Glory,https://docs.pedalpcb.com/project/GloryHole.pdf,,schematic,,,5
1t,https://docs.pedalpcb.com/project/CastIronOD-PedalPCB.pdf,Cast Iron Overdrive / Lollar Overdrive,https://docs.pedalpcb.com/project/CastIronOD-PedalPCB.pdf,,schematic,,,5
1u,https://docs.pedalpcb.com/project/Dist250-PedalPCB.pdf,Distortion 250 / MXR Distortion+ / DOD Overdrive 250 Preamp,https://docs.pedalpcb.com/project/Dist250-PedalPCB.pdf,,schematic,,,5
1v,https://docs.pedalpcb.com/project/Sunflower-PedalPCB.pdf,Sunflower Fuzz / Analogman Sunface,https://docs.pedalpcb.com/project/Sunflower-PedalPCB.pdf,,schematic,,,5
1w,https://docs.pedalpcb.com/project/Basstortr-PedalPCB.pdf,Basstortr Bass Distortion / ZVEX Basstortion Distortion,https://docs.pedalpcb.com/project/Basstortr-PedalPCB.pdf,,schematic,,,5
1x,https://docs.pedalpcb.com/project/Stumble-PedalPCB.pdf,Stumble Boost / JHS Box It Later / DUMBLE® A Box Later,https://docs.pedalpcb.com/project/Stumble-PedalPCB.pdf,,schematic,,,5
1y,https://docs.pedalpcb.com/project/SOBPreamp-PedalPCB.pdf,Son of Ben Preamp / Benson Preamp,https://docs.pedalpcb.com/project/SOBPreamp-PedalPCB.pdf,,schematic,,,6
1z,https://docs.pedalpcb.com/project/TweedSound-PedalPCB.pdf,Tweed Sound / ZVEX '59 Sound,https://docs.pedalpcb.com/project/TweedSound-PedalPCB.pdf,,schematic,,,5
2,https://docs.pedalpcb.com/project/TantricOD.pdf,Tantric Overdrive / Blackout Effectors Mantra,https://docs.pedalpcb.com/project/TantricOD.pdf,,schematic,,,5
20,https://docs.pedalpcb.com/project/TweedMan.pdf,Tweed Man Overdrive / Catalinbread Formula 5F6,https://docs.pedalpcb.com/project/TweedMan.pdf,,schematic,,,5
21,https://docs.pedalpcb.com/project/TwillDeluxe.pdf,Twill Deluxe / Love Pedal Les Lius,https://docs.pedalpcb.com/project/TwillDeluxe.pdf,,schematic,,,5
22,https://docs.pedalpcb.com/datasheet/HGSEMI-LM13700N.pdf,LM13700N,https://docs.pedalpcb.com/datasheet/HGSEMI-LM13700N.pdf,,schematic,,,15
23,https://docs.pedalpcb.com/project/UniCab-PedalPCB.pdf,UniCab / DSM OmniCabSim,https://docs.pedalpcb.com/project/UniCab-PedalPCB.pdf,,schematic,,,5
24,https://docs.pedalpcb.com/project/Ungula.pdf,Ungula / EQD Hoof,https://docs.pedalpcb.com/project/Ungula.pdf,,schematic,,,4
25,https://docs.pedalpcb.com/project/SpecialPorpoise-PedalPCB.pdf,Special Porpoise Fuzz / Catalinbread Antichthon Fuzz Tremolo,https://docs.pedalpcb.com/project/SpecialPorpoise-PedalPCB.pdf,,schematic,,,5
26,https://docs.pedalpcb.com/datasheet/tl07x.pdf,TL072CP,https://docs.pedalpcb.com/datasheet/tl07x.pdf,,schematic,,,89
27,https://docs.pedalpcb.com/project/PhaseII.pdf,Phase II / Mu-Tron Phasor II,https://docs.pedalpcb.com/project/PhaseII.pdf,,schematic,,,4
28,https://docs.pedalpcb.com/project/Argentum-PedalPCB.pdf,Argentum 1212 Preamp / Jackson Audio 1484 Twin Twelve,https://docs.pedalpcb.com/project/Argentum-PedalPCB.pdf,,schematic,,,5
29,https://docs.pedalpcb.com/project/BubbleBurster-PedalPCB.pdf,Bubble Burster Overdrive / Octaking Burstphonic PAF,https://docs.pedalpcb.com/project/BubbleBurster-PedalPCB.pdf,,schematic,,,5
2a,https://docs.pedalpcb.com/project/Delegate-Boneyard.pdf,Delegate Compressor (Boneyard Edition) / EQD The Warden,https://docs.pedalpcb.com/project/Delegate-Boneyard.pdf,,schematic,,,5
2b,https://docs.pedalpcb.com/project/Median-PedalPCB.pdf,Median Compressor / Wampler Ego 76,https://docs.pedalpcb.com/project/Median-PedalPCB.pdf,,schematic,,,6
2c,https://docs.pedalpcb.com/project/LGSM.pdf,Little Green Scream Machine / Ibanez TS808 Tube Screamer,https://docs.pedalpcb.com/project/LGSM.pdf,,schematic,,,4
2d,https://docs.pedalpcb.com/project/PlaidPreamp-PedalPCB.pdf,Plaid Preamp / Funny Little Boxes 1991,https://docs.pedalpcb.com/project/PlaidPreamp-PedalPCB.pdf,,schematic,,,5
2e,https://docs.pedalpcb.com/project/Nobleman.pdf,Nobleman Overdrive / Nobels ODR-1,https://docs.pedalpcb.com/project/Nobleman.pdf,,schematic,,,5
2f,https://docs.pedalpcb.com/project/Crankshaft-PedalPCB.pdf,Crankshaft Distortion / EQD Speaker Cranker,https://docs.pedalpcb.com/project/Crankshaft-PedalPCB.pdf,,schematic,,,5
2g,https://docs.pedalpcb.com/project/Muroidea-PedalPCB.pdf,Muroidea Distortion / ProCo Rat,https://docs.pedalpcb.com/project/Muroidea-PedalPCB.pdf,,schematic,,,5
2h,https://docs.pedalpcb.com/project/Sugarbag-PedalPCB.pdf,Sugarbag Overdrive / Beetronics Fat Bee,https://docs.pedalpcb.com/project/Sugarbag-PedalPCB.pdf,,schematic,,,6
