id,key,title,url,parent,role,year,month,pages,sha
0,https://phonoclone.com/diy.html,diy.html,https://phonoclone.com/diy.html,,project_page,,,1,020d4d79950019ea
1,https://phonoclone.com/diy-pho5.html,diy-pho5.html,https://phonoclone.com/diy-pho5.html,,project_page,,,1,79aa4e5b9acefec1
10,https://phonoclone.com/images/head_cir.png,RJM Audio - MOSFET Headphone Buffer,https://phonoclone.com/images/head_cir.png,b,figure,,,1,c62b7e6c729b2d91
11,https://phonoclone.com/images/pcb-jmo2-12a-sch.png,RJM Audio - J-Mo Mk. II headphone amplifier,https://phonoclone.com/images/pcb-jmo2-12a-sch.png,c,figure,,,1,54564b7203c6c582
12,https://phonoclone.com/images/jmo2-amp.png,RJM Audio - J-Mo Mk. II headphone amplifier,https://phonoclone.com/images/jmo2-amp.png,c,figure,,,1,b0037cecab265e92
13,https://phonoclone.com/images/jmo2-match.png,RJM Audio - J-Mo Mk. II headphone amplifier,https://phonoclone.com/images/jmo2-match.png,c,figure,,,1,8e32fcebced23305
14,https://phonoclone.com/images/jmo2-reg.png,RJM Audio - J-Mo Mk. II headphone amplifier,https://phonoclone.com/images/jmo2-reg.png,c,figure,,,1,339f5073cde87e16
2,https://phonoclone.com/diy-pho4.html,diy-pho4.html,https://phonoclone.com/diy-pho4.html,,project_page,,,1,729f7c0d8ef51cf2
3,https://phonoclone.com/diy-pho3.html,diy-pho3.html,https://phonoclone.com/diy-pho3.html,,project_page,,,1,9e4429e61e4ea4d0
4,https://phonoclone.com/diy-pho6.html,diy-pho6.html,https://phonoclone.com/diy-pho6.html,,project_page,,,1,d84fff087c26fa06
5,https://phonoclone.com/diy-bb.html,diy-bb.html,https://phonoclone.com/diy-bb.html,,project_page,,,1,82efba8d2bd9e947
6,https://phonoclone.com/diy-gc.html,diy-gc.html,https://phonoclone.com/diy-gc.html,,project_page,,,1,e4e428ef629c1287
7,https://phonoclone.com/diy-6v6.html,diy-6v6.html,https://phonoclone.com/diy-6v6.html,,project_page,,,1,0c545d6a92f1898f
8,https://phonoclone.com/diy-sapp.html,diy-sapp.html,https://phonoclone.com/diy-sapp.html,,project_page,,,1,55ff36902171e768
9,https://phonoclone.com/diy-twi.html,diy-twi.html,https://phonoclone.com/diy-twi.html,,project_page,,,1,3a5d01a907a87ced
a,https://phonoclone.com/diy-sze.html,diy-sze.html,https://phonoclone.com/diy-sze.html,,project_page,,,1,c6e5011088e29100
b,https://phonoclone.com/diy-head.html,diy-head.html,https://phonoclone.com/diy-head.html,,project_page,,,1,21f36b7aff14c15f
c,https://phonoclone.com/diy-jmo2.html,diy-jmo2.html,https://phonoclone.com/diy-jmo2.html,,project_page,,,1,e3b04c1519687c1f
d,https://phonoclone.com/diy-pho2.html,diy-pho2.html,https://phonoclone.com/diy-pho2.html,,project_page,,,1,32cf76d3d9f1a15f
e,https://phonoclone.com/diy-xreg.html,diy-xreg.html,https://phonoclone.com/diy-xreg.html,,project_page,,,1,877c63118e41647a
f,https://phonoclone.com/images/vsps60b.jpg,RJM Audio,https://phonoclone.com/images/vsps60b.jpg,,figure,,,1,27c995ddd743a295
g,https://phonoclone.com/images/pcb-vsps-52b.png,RJM Audio,https://phonoclone.com/images/pcb-vsps-52b.png,,figure,,,1,7f2747075ef12126
h,https://phonoclone.com/images/sap4-schematic.png,RJM Audio - The Sapphire Headphone Amplifier,https://phonoclone.com/images/sap4-schematic.png,,figure,,,1,621d5b43a87fa68e
i,https://phonoclone.com/images/p6dj8_cir.png,RJM Audio - Tube passive phono preamplifier,https://phonoclone.com/images/p6dj8_cir.png,3,figure,,,1,d3c3027c3ec7bcf4
j,https://phonoclone.com/images/p6dj8_ps1.png,RJM Audio - Tube passive phono preamplifier,https://phonoclone.com/images/p6dj8_ps1.png,3,figure,,,1,bf4240ef3bbf7c6b
k,https://phonoclone.com/images/p6dj8_ps2.png,RJM Audio - Tube passive phono preamplifier,https://phonoclone.com/images/p6dj8_ps2.png,3,figure,,,1,355109492ab02892
