id,key,title,url,parent,role,year,month,pages,sha
0,http://www.pmillett.com/,www.pmillett.com,http://www.pmillett.com/,,project_page,,,1,e7c1c63bdfe13d5c
1,http://www.pmillett.com/DC_filament_supply.htm,DC_filament_supply.htm,http://www.pmillett.com/DC_filament_supply.htm,,project_page,,,1,9a885efcf00367ba
10,http://www.pmillett.com/images/meamp2_inside_s.jpg,EL84 Engineer's Amp,http://www.pmillett.com/images/meamp2_inside_s.jpg,2,figure,,,1,99bac1ed80414a01
11,http://www.pmillett.com/images/520b_hvps_sch.jpg,520B Amplifier,http://www.pmillett.com/images/520b_hvps_sch.jpg,3,figure,,,1,5a2396e35ddcba69
12,http://www.pmillett.com/images/520b_hvps_pcb.jpg,520B Amplifier,http://www.pmillett.com/images/520b_hvps_pcb.jpg,3,figure,,,1,dcb7ecd24f6bf5cf
13,http://www.pmillett.com/images/3B7_inside_big.jpg,4D32 SE UL amp,http://www.pmillett.com/images/3B7_inside_big.jpg,5,figure,,,1,07ad3b06c1ecd3e3
14,http://www.pmillett.com/images/Nuclassd_sch_big.jpg,NuClassD 50W Nutube hybrid amp,http://www.pmillett.com/images/Nuclassd_sch_big.jpg,,figure,,,1,29d5b834aa3ffaf7
15,http://www.pmillett.com/images/classdps_sch_big.jpg,NuClassD 50W Nutube hybrid amp,http://www.pmillett.com/images/classdps_sch_big.jpg,,figure,,,1,9c604aefbe6ac913
16,http://www.pmillett.com/images/classdps_sch.jpg,NuClassD 50W Nutube hybrid amp,http://www.pmillett.com/images/classdps_sch.jpg,,figure,,,1,7f50b98ec73044cf
17,http://www.pmillett.com/images/img9.gif,3B7 SE A2 Hybrid Amp,http://www.pmillett.com/images/img9.gif,6,figure,,,1,6406c022fbaca8ca
18,http://www.pmillett.com/images/dcpp_mb_pcb_dims.jpg,Engineer's amp 50W monoblock,http://www.pmillett.com/images/dcpp_mb_pcb_dims.jpg,,figure,,,1,267a9b50b7091164
19,http://www.pmillett.com/images/PL177_bench.jpg,PL177 Amplifer,http://www.pmillett.com/images/PL177_bench.jpg,7,figure,,,1,44c9a5b58233e33c
1a,http://www.pmillett.com/images/imgF.jpg,PL177 Amplifer,http://www.pmillett.com/images/imgF.jpg,7,figure,,,1,c4a87ba589500432
1b,http://www.pmillett.com/images/PL177_power.jpg,PL177 Amplifer,http://www.pmillett.com/images/PL177_power.jpg,7,figure,,,1,27a877876edf38db
1c,http://www.pmillett.com/images/PL177_fr.jpg,PL177 Amplifer,http://www.pmillett.com/images/PL177_fr.jpg,7,figure,,,1,6c82289091578011
1d,http://www.pmillett.com/images/PL177_FFT.jpg,PL177 Amplifer,http://www.pmillett.com/images/PL177_FFT.jpg,7,figure,,,1,a63841f7fd4c3ca3
1e,http://www.pmillett.com/images/PL177_THD_freq.jpg,PL177 Amplifer,http://www.pmillett.com/images/PL177_THD_freq.jpg,7,figure,,,1,9d42da96b77a4c8d
