id,key,title,url,parent,role,year,month,pages,sha
0,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/PW-1939-02-18.pdf,Practical Wireless 1939-02,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/PW-1939-02-18.pdf,,issue,1939,02,28,5eb781b6739566fa
1,https://www.worldradiohistory.com/UK/Practical-Wireless/40s/PW-1942-04.pdf,Practical Wireless 1942-04,https://www.worldradiohistory.com/UK/Practical-Wireless/40s/PW-1942-04.pdf,,issue,1942,04,52,2b04f6dce5e77b05
10,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf,Practical Wireless 1962-11,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf,,issue,1962,11,120,b97a5408f31ba219
11,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1963-05.pdf,Practical Wireless 1963-05,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1963-05.pdf,,issue,1963,05,100,182a357895ccc958
12,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1964-05.pdf,Practical Wireless 1964-05,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1964-05.pdf,,issue,1964,05,112,97b005c665d21595
13,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1964-11.pdf,Practical Wireless 1964-11,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1964-11.pdf,,issue,1964,11,120,8ad66164844aae1b
14,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1965-05.pdf,Practical Wireless 1965-05,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1965-05.pdf,,issue,1965,05,104,cca4ea0b798997da
15,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1965-11.pdf,Practical Wireless 1965-11,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1965-11.pdf,,issue,1965,11,100,8982d1ebea17c38b
16,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1966-04.pdf,Practical Wireless 1966-04,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1966-04.pdf,,issue,1966,04,100,41281f6a34651bc0
17,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1966-10.pdf,Practical Wireless 1966-10,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1966-10.pdf,,issue,1966,10,84,c958d34c083a2c43
18,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1967-04.pdf,Practical Wireless 1967-04,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1967-04.pdf,,issue,1967,04,92,10dae53053ad25c6
19,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1967-10.pdf,Practical Wireless 1967-10,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1967-10.pdf,,issue,1967,10,84,a74adf77186e4ac4
1a,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1968-04.pdf,Practical Wireless 1968-04,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1968-04.pdf,,issue,1968,04,84,8731df55187b43a3
1b,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1968-10.pdf,Practical Wireless 1968-10,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1968-10.pdf,,issue,1968,10,92,22f873401537acf0
1c,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1969-04.pdf,Practical Wireless 1969-04,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1969-04.pdf,,issue,1969,04,84,014e3d023563a471
1d,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1969-10.pdf,Practical Wireless 1969-10,https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1969-10.pdf,,issue,1969,10,92,d078f46afe325ee1
1e,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1970-04.pdf,Practical Wireless 1970-04,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1970-04.pdf,,issue,1970,04,92,401067ee42e23dcc
1f,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1970-10.pdf,Practical Wireless 1970-10,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1970-10.pdf,,issue,1970,10,92,93c5d9d61da521b6
1g,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1971-04.pdf,Practical Wireless 1971-04,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1971-04.pdf,,issue,1971,04,112,02a16ead6efbee47
1h,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1972-04.pdf,Practical Wireless 1972-04,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1972-04.pdf,,issue,1972,04,100,718f193d268b046d
1i,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1973-03.pdf,Practical Wireless 1973-03,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1973-03.pdf,,issue,1973,03,100,c6ea61b77349b5b2
1j,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1973-09.pdf,Practical Wireless 1973-09,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1973-09.pdf,,issue,1973,09,101,da531a2692e88c3b
1k,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1974-03.pdf,Practical Wireless 1974-03,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1974-03.pdf,,issue,1974,03,101,077b7982bad78024
1l,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1974-09.pdf,Practical Wireless 1974-09,https://www.worldradiohistory.com/UK/Practical-Wireless/70s/PW-1974-09.pdf,,issue,1974,09,100,865e9f5d1406e0d0
1m,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1933-12-S-OCR.pdf,Practical Wireless 1933-12,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1933-12-S-OCR.pdf,,issue,1933,12,244,b5ec075da34a2530
1n,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1934-01-S-OCR.pdf,Practical Wireless 1934-01,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1934-01-S-OCR.pdf,,issue,1934,01,208,91bfbadcc0333678
1o,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1934-04-S-OCR.pdf,Practical Wireless 1934-04,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1934-04-S-OCR.pdf,,issue,1934,04,148,10e336280cb9a2e7
1p,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1935-06-S-OCR.pdf,Practical Wireless 1935-06,https://www.worldradiohistory.com/UK/Practical-Wireless/30s/Practical-Wireless-1935-06-S-OCR.pdf,,issue,1935,06,144,528dd9f59a91105d
