id,key,title,url,parent,role,year,month,pages
0,https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf,The Radio Constructor — 20_Suggested_Circuits.pdf,https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf,,issue,,,47
1,https://www.worldradiohistory.com/UK/Radio-Constructor/40s/RC-1947-10.pdf,The Radio Constructor 1947-10,https://www.worldradiohistory.com/UK/Radio-Constructor/40s/RC-1947-10.pdf,,issue,1947,10,28
10,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-07.pdf,The Radio Constructor 1953-07,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-07.pdf,,issue,1953,07,30
11,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-09.pdf,The Radio Constructor 1953-09,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-09.pdf,,issue,1953,09,64
12,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-10.pdf,The Radio Constructor 1953-10,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-10.pdf,,issue,1953,10,32
13,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-11.pdf,The Radio Constructor 1953-11,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-11.pdf,,issue,1953,11,33
14,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-03.pdf,The Radio Constructor 1954-03,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-03.pdf,,issue,1954,03,34
15,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-04.pdf,The Radio Constructor 1954-04,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-04.pdf,,issue,1954,04,34
16,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-05.pdf,The Radio Constructor 1954-05,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-05.pdf,,issue,1954,05,34
17,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-09.pdf,The Radio Constructor 1954-09,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-09.pdf,,issue,1954,09,34
18,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-10.pdf,The Radio Constructor 1954-10,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-10.pdf,,issue,1954,10,34
19,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-11.pdf,The Radio Constructor 1954-11,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1954-11.pdf,,issue,1954,11,33
1a,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1955-03.pdf,The Radio Constructor 1955-03,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1955-03.pdf,,issue,1955,03,33
1b,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1955-04.pdf,The Radio Constructor 1955-04,https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1955-04.pdf,,issue,1955,04,34
