id,key,title,url,parent,role,year,month,pages
0,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1993/EN-1993-01.pdf,Radio-Electronics 1993-01,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1993/EN-1993-01.pdf,,issue,1993,01,92
1,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1993/EN-1993-02.pdf,Radio-Electronics 1993-02,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1993/EN-1993-02.pdf,,issue,1993,02,92
10,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-07.pdf,Radio-Electronics 1997-07,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-07.pdf,,issue,1997,07,116
11,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-08.pdf,Radio-Electronics 1997-08,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-08.pdf,,issue,1997,08,112
12,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-10.pdf,Radio-Electronics 1997-10,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-10.pdf,,issue,1997,10,112
13,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-12.pdf,Radio-Electronics 1997-12,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1997/EN-1997-12.pdf,,issue,1997,12,108
14,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-01.pdf,Radio-Electronics 1998-01,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-01.pdf,,issue,1998,01,116
15,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-02.pdf,Radio-Electronics 1998-02,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-02.pdf,,issue,1998,02,100
16,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-04.pdf,Radio-Electronics 1998-04,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-04.pdf,,issue,1998,04,100
17,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-06.pdf,Radio-Electronics 1998-06,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-06.pdf,,issue,1998,06,112
18,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-07.pdf,Radio-Electronics 1998-07,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-07.pdf,,issue,1998,07,100
19,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-08.pdf,Radio-Electronics 1998-08,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-08.pdf,,issue,1998,08,100
1a,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-10.pdf,Radio-Electronics 1998-10,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-10.pdf,,issue,1998,10,100
1b,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-12.pdf,Radio-Electronics 1998-12,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1998/EN-1998-12.pdf,,issue,1998,12,100
1c,https://www.worldradiohistory.com/Archive-Radio-Electronics/Hands-On-Electronics-1984-Summer.pdf,Radio-Electronics 1984,https://www.worldradiohistory.com/Archive-Radio-Electronics/Hands-On-Electronics-1984-Summer.pdf,,issue,1984,,100
1d,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-01.pdf,Radio-Electronics 1999-01,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-01.pdf,,issue,1999,01,100
1e,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-02.pdf,Radio-Electronics 1999-02,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-02.pdf,,issue,1999,02,92
1f,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-04.pdf,Radio-Electronics 1999-04,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-04.pdf,,issue,1999,04,92
1g,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-06.pdf,Radio-Electronics 1999-06,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-06.pdf,,issue,1999,06,92
1h,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-07.pdf,Radio-Electronics 1999-07,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-07.pdf,,issue,1999,07,100
1i,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-08.pdf,Radio-Electronics 1999-08,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-08.pdf,,issue,1999,08,108
1j,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-10.pdf,Radio-Electronics 1999-10,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-10.pdf,,issue,1999,10,92
1k,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-12.pdf,Radio-Electronics 1999-12,https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1999/RE-1999-12.pdf,,issue,1999,12,100
1l,https://www.worldradiohistory.com/Archive-Radio-Electronics/Specials/Radio-Electroincs-Experimenters-Handbook-1989.pdf,Radio-Electronics 1989,https://www.worldradiohistory.com/Archive-Radio-Electronics/Specials/Radio-Electroincs-Experimenters-Handbook-1989.pdf,,issue,1989,,168
1m,https://www.worldradiohistory.com/Archive-Radio-Electronics/Radio-Electronics-101-Circuits-1949.pdf,Radio-Electronics 1949,https://www.worldradiohistory.com/Archive-Radio-Electronics/Radio-Electronics-101-Circuits-1949.pdf,,issue,1949,,52
1n,https://www.worldradiohistory.com/Archive-Radio-Electronics/40s/Radio-Electronics-1948-10.pdf,Radio-Electronics 1948-10,https://www.worldradiohistory.com/Archive-Radio-Electronics/40s/Radio-Electronics-1948-10.pdf,,issue,1948,10,100
1o,https://www.worldradiohistory.com/Archive-Radio-Electronics/40s/Radio-Electronics-1948-11.pdf,Radio-Electronics 1948-11,https://www.worldradiohistory.com/Archive-Radio-Electronics/40s/Radio-Electronics-1948-11.pdf,,issue,1948,11,100
