id,key,title,url,parent,role,year,month,pages,sha
0,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf,Radio-TV Experimenter 1950,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf,,issue,1950,,164,bb17503598d172a6
1,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1952-Vol-2.pdf,Radio-TV Experimenter 1952,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1952-Vol-2.pdf,,issue,1952,,198,fbf7db6eab05b515
10,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1969-08-09.pdf,Radio-TV Experimenter 1969-08,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1969-08-09.pdf,,issue,1969,08,100,fefbe24a3cb4a9bd
11,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1969-10-11.pdf,Radio-TV Experimenter 1969-10,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1969-10-11.pdf,,issue,1969,10,108,4419aba396afb0e9
12,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1969-12-01.pdf,Radio-TV Experimenter 1969-12,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1969-12-01.pdf,,issue,1969,12,114,ff3c73c166809c35
13,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-03-04.pdf,Radio-TV Experimenter 1970-03,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-03-04.pdf,,issue,1970,03,106,9cc145513b1637be
14,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-06-07.pdf,Radio-TV Experimenter 1970-06,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-06-07.pdf,,issue,1970,06,100,3f7502a7daab7285
15,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-08-09.pdf,Radio-TV Experimenter 1970-08,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-08-09.pdf,,issue,1970,08,100,0f6a921b4a291e12
16,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-10-11.pdf,Radio-TV Experimenter 1970-10,https://www.worldradiohistory.com/Archive-All-Logs-Lists-Directories/Archive-Radio-Logbooks/Science-and-Electronics/Science-and-Electronics-1970-10-11.pdf,,issue,1970,10,98,7a9e8c8213e1d409
17,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/TV-Repair-1967-Spring-Summer-Radio-TV-Experimenter.pdf,Radio-TV Experimenter 1967,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/TV-Repair-1967-Spring-Summer-Radio-TV-Experimenter.pdf,,issue,1967,,102,9fa3e8fd6a5e4558
2,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1955-Vol-3.pdf,Radio-TV Experimenter 1955,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1955-Vol-3.pdf,,issue,1955,,198,12775873fab1dc84
3,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1958-551.pdf,Radio-TV Experimenter 1958,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1958-551.pdf,,issue,1958,,196,7d7f76f1da184f48
4,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1959-5-562.pdf,Radio-TV Experimenter 1959,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1959-5-562.pdf,,issue,1959,,327,43956f0ed578dfe7
5,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1959-7-559.pdf,Radio-TV Experimenter 1959,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1959-7-559.pdf,,issue,1959,,196,fb9170df7856a6a0
6,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1960-Fall.pdf,Radio-TV Experimenter 1960,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1960-Fall.pdf,,issue,1960,,188,c048ac066cb42784
7,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1961-Spring.pdf,Radio-TV Experimenter 1961,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1961-Spring.pdf,,issue,1961,,190,650f8e0cc14a952f
8,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1962-Fall.pdf,Radio-TV Experimenter 1962,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1962-Fall.pdf,,issue,1962,,196,ab90e73aa57b6d54
9,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1962-Spring.pdf,Radio-TV Experimenter 1962,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1962-Spring.pdf,,issue,1962,,190,b0e6f0d6e967d215
a,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1963-64-Winter.pdf,Radio-TV Experimenter 1963,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1963-64-Winter.pdf,,issue,1963,,164,a1e3a3a2e996a08f
b,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1963-Spring.pdf,Radio-TV Experimenter 1963,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1963-Spring.pdf,,issue,1963,,196,6b9d148132289181
c,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-02-03.pdf,Radio-TV Experimenter 1964-02,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-02-03.pdf,,issue,1964,02,150,4e0a57c1ecae46e9
d,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-04-05.pdf,Radio-TV Experimenter 1964-04,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-04-05.pdf,,issue,1964,04,148,c557fa6668541558
e,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-06-07.pdf,Radio-TV Experimenter 1964-06,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-06-07.pdf,,issue,1964,06,132,1114f4710f44f636
f,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-10-11.pdf,Radio-TV Experimenter 1964-10,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1964-10-11.pdf,,issue,1964,10,154,dbd8f85e146bc423
g,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-02-03.pdf,Radio-TV Experimenter 1965-02,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-02-03.pdf,,issue,1965,02,132,1dab81569433b6ec
h,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-04-05.pdf,Radio-TV Experimenter 1965-04,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-04-05.pdf,,issue,1965,04,124,011b31f3b4b192f9
i,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-06-07.pdf,Radio-TV Experimenter 1965-06,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-06-07.pdf,,issue,1965,06,124,ba45cadb446a183d
j,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-10-11.pdf,Radio-TV Experimenter 1965-10,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1965-10-11.pdf,,issue,1965,10,124,4346ec5c43319818
k,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1966-02-03.pdf,Radio-TV Experimenter 1966-02,https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-TV-Experimenter-1966-02-03.pdf,,issue,1966,02,116,7baa284022f42ca6
