id,key,title,url,parent,role,year,month,pages
0,https://www.schmitzbits.de/ota3080.html,ota3080.html,https://www.schmitzbits.de/ota3080.html,,project_page,,,1
1,https://www.schmitzbits.de/rbe.html,rbe.html,https://www.schmitzbits.de/rbe.html,,project_page,,,1
10,https://www.schmitzbits.de/vtvca.png,Synth Schematics --:: Vacuum Tube VCA ::,https://www.schmitzbits.de/vtvca.png,8,figure,,,1
11,https://www.schmitzbits.de/vtvca-small.png,Synth Schematics --:: Vacuum Tube VCA ::,https://www.schmitzbits.de/vtvca-small.png,8,figure,,,1
12,https://www.schmitzbits.de/vco4.png,Synth Schematics --::VCO 4::,https://www.schmitzbits.de/vco4.png,9,figure,,,1
13,https://www.schmitzbits.de/vtvcf_s.png,Synth Schematics --::Vacuumtube Filter::,https://www.schmitzbits.de/vtvcf_s.png,a,figure,,,1
14,https://www.schmitzbits.de/vco_566.png,Synth Schematics --::VCO 566::,https://www.schmitzbits.de/vco_566.png,b,figure,,,1
15,https://www.schmitzbits.de/thyratronvco.png,Synth Schematics --::Thyratron VCO::,https://www.schmitzbits.de/thyratronvco.png,c,figure,,,1
16,https://www.schmitzbits.de/vco6.png,Synth Schematics --::VCO 3::,https://www.schmitzbits.de/vco6.png,d,figure,,,1
17,https://www.schmitzbits.de/vtvco.png,Synth schematics--::--Vacuum Tube VCO,https://www.schmitzbits.de/vtvco.png,,figure,,,1
18,https://www.schmitzbits.de/4069vco1.png,Synth Schematics --::VCO 4069::,https://www.schmitzbits.de/4069vco1.png,e,figure,,,1
19,https://www.schmitzbits.de/4069layo.png,Synth Schematics --::VCO 4069::,https://www.schmitzbits.de/4069layo.png,e,figure,,,1
1a,https://www.schmitzbits.de/triphase.png,Synth Schematics --::Three phase LFO::,https://www.schmitzbits.de/triphase.png,,figure,,,1
1b,https://www.schmitzbits.de/adsr.png,Synth Schematics --::-- Envelope Generator ADSR,https://www.schmitzbits.de/adsr.png,h,figure,,,1
1c,https://www.schmitzbits.de/adsr2.png,Synth Schematics --::-- Envelope Generator ADSR,https://www.schmitzbits.de/adsr2.png,h,figure,,,1
1d,https://www.schmitzbits.de/adsr3.png,Synth Schematics --::-- Envelope Generator ADSR,https://www.schmitzbits.de/adsr3.png,h,figure,,,1
