id,key,title,url,parent,role,year,month,pages,sha
0,https://techlib.com/newprojects.htm,newprojects.htm,https://techlib.com/newprojects.htm,,project_page,,,1,c5c11a04fe9b1a4a
1,https://techlib.com/area_50/10MHzto60Hz.htm,10MHzto60Hz.htm,https://techlib.com/area_50/10MHzto60Hz.htm,,project_page,,,1,02a76125ee46e866
10,https://techlib.com/area_50/Readers/Craig/mercurybattery.htm,mercurybattery.htm,https://techlib.com/area_50/Readers/Craig/mercurybattery.htm,,project_page,,,1,206accff6af84bd3
11,https://techlib.com/area_50/Readers/Craig/craigs_isolated_9_volt_supply.htm,craigs_isolated_9_volt_supply.htm,https://techlib.com/area_50/Readers/Craig/craigs_isolated_9_volt_supply.htm,,project_page,,,1,46ec281af0cac8c2
12,https://techlib.com/area_50/Readers/Karen/micro.htm,micro.htm,https://techlib.com/area_50/Readers/Karen/micro.htm,,project_page,,,1,cda6f7c0dbd53fa4
13,https://techlib.com/area_50/Readers/Karen/radio.htm,radio.htm,https://techlib.com/area_50/Readers/Karen/radio.htm,,project_page,,,1,0e5b9fd93407a744
14,https://techlib.com/electronics/images/imgC.gif,Technical Library,https://techlib.com/electronics/images/imgC.gif,,figure,,,1,628d2407b714398c
15,https://techlib.com/images/fttester.gif,Works In Progress,https://techlib.com/images/fttester.gif,0,figure,,,1,23eb013bd34b15cd
16,https://techlib.com/img19.gif,Works In Progress,https://techlib.com/img19.gif,0,figure,,,1,dee4f6a361559ed4
17,https://techlib.com/images/5886amp.gif,Works In Progress,https://techlib.com/images/5886amp.gif,0,figure,,,1,902e0924d27fb06b
18,https://techlib.com/area_50/Images/10MHzto60Hz.gif,10MHzto60Hz.gif,https://techlib.com/area_50/Images/10MHzto60Hz.gif,1,figure,,,1,65b4f751dc8f1f05
19,https://techlib.com/area_50/MC1466.gif,MC1466.gif,https://techlib.com/area_50/MC1466.gif,2,figure,,,1,fd62152d9009e011
1a,https://techlib.com/electronics/graphics/Reg1.gif,Regulators and Power Supplies,https://techlib.com/electronics/graphics/Reg1.gif,3,figure,,,1,8b87285693dabb5e
1b,https://techlib.com/electronics/graphics/Reg3.gif,Regulators and Power Supplies,https://techlib.com/electronics/graphics/Reg3.gif,3,figure,,,1,9b82290763816126
1c,https://techlib.com/electronics/graphics/Reg4.gif,Regulators and Power Supplies,https://techlib.com/electronics/graphics/Reg4.gif,3,figure,,,1,ae4b6042f20f26fe
1d,https://techlib.com/electronics/graphics/Reg5.gif,Regulators and Power Supplies,https://techlib.com/electronics/graphics/Reg5.gif,3,figure,,,1,e80a987880cf5f40
1e,https://techlib.com/electronics/graphics/switchsch.gif,Regulators and Power Supplies,https://techlib.com/electronics/graphics/switchsch.gif,3,figure,,,1,8cb2ae42fd6c9026
1f,https://techlib.com/electronics/graphics/LM386amp.gif,Audio Amplifiers,https://techlib.com/electronics/graphics/LM386amp.gif,4,figure,,,1,4e1a7223ed09d67d
1g,https://techlib.com/electronics/graphics/curiouslylow2.gif,Audio Amplifiers,https://techlib.com/electronics/graphics/curiouslylow2.gif,4,figure,,,1,fef45fd0d3d5f920
1h,https://techlib.com/images/imgA1.gif,Audio Amplifiers,https://techlib.com/images/imgA1.gif,4,figure,,,1,dd07cffda45caff0
1i,https://techlib.com/images/img18.jpg,Audio Amplifiers,https://techlib.com/images/img18.jpg,4,figure,,,1,a58c23352fd92bef
