id,key,title,url,parent,role,year,month,pages,sha
0,https://www.thetubestore.com/lib/thetubestore/schematics/Peavey/Peavey-Classic50-Schematic.pdf,peavey classic 50 schematic,https://www.thetubestore.com/lib/thetubestore/schematics/Peavey/Peavey-Classic50-Schematic.pdf,,service_manual,,,2,8b105a087076e4e0
1,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Super-Champ-XD-Schematic.pdf,fender super champ xd schematic,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Super-Champ-XD-Schematic.pdf,,service_manual,,,2,2cf8e95491a399d2
10,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5A3-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5A3-Schematic.pdf,g,figure,,,1,f3c046c24f0bfb73
11,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5B3-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5B3-Schematic.pdf,g,figure,,,2,e1e8574911bfa3a1
12,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5C3-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5C3-Schematic.pdf,g,figure,,,2,0437c3e04b8af2d2
13,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5D3-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5D3-Schematic.pdf,g,figure,,,2,cab065472daccc4d
14,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5E3-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5E3-Schematic.pdf,g,figure,,,2,18e5e653c3b65306
15,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Harvard-5F10-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Harvard-5F10-Schematic.pdf,g,figure,,,2,9311951571639852
16,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Princeton-5D2-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Princeton-5D2-Schematic.pdf,g,figure,,,2,58a9ece8ec972812
17,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Princeton-5E2-Schematic.pdf,early fender guitar amp schematics,https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Princeton-5E2-Schematic.pdf,g,figure,,,2,b5effbdc1b77e9a9
