id,key,title,url,parent,role,year,month,pages,sha
0,https://www.worldradiohistory.com/UK/Wireless-World/Wireless-World-Publications/Circard-Collection-1975.pdf,Wireless World 1975,https://www.worldradiohistory.com/UK/Wireless-World/Wireless-World-Publications/Circard-Collection-1975.pdf,,issue,1975,,168,4fd0337c05062d16
1,https://www.worldradiohistory.com/UK/Wireless-World/Wireless-World-Publications/Circard-Collection-1976.pdf,Wireless World 1976,https://www.worldradiohistory.com/UK/Wireless-World/Wireless-World-Publications/Circard-Collection-1976.pdf,,issue,1976,,179,b5dac79739c81c43
10,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1998-11.pdf,Wireless World 1998-11,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1998-11.pdf,,issue,1998,11,96,d024c2148a4e339e
11,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1998-12.pdf,Wireless World 1998-12,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1998-12.pdf,,issue,1998,12,94,da47df17d6bbff24
12,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-01-S-OCR.pdf,Wireless World 1999-01,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-01-S-OCR.pdf,,issue,1999,01,88,76fdf12b5682338a
13,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-02-S-OCR.pdf,Wireless World 1999-02,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-02-S-OCR.pdf,,issue,1999,02,92,b19353c75e5c95c7
14,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-03-S-OCR.pdf,Wireless World 1999-03,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-03-S-OCR.pdf,,issue,1999,03,92,a6cb7fee80dc806e
15,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-04-S-OCR.pdf,Wireless World 1999-04,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-04-S-OCR.pdf,,issue,1999,04,92,9a0b01500bf426b0
16,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-05-S-OCR.pdf,Wireless World 1999-05,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-05-S-OCR.pdf,,issue,1999,05,92,3633008d2ac66006
17,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-06-S-OCR.pdf,Wireless World 1999-06,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-06-S-OCR.pdf,,issue,1999,06,92,5f38dd7f6958c9e1
18,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-07-S-OCR.pdf,Wireless World 1999-07,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-07-S-OCR.pdf,,issue,1999,07,92,fffd7fd64206e021
19,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-08-S-OCR.pdf,Wireless World 1999-08,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-08-S-OCR.pdf,,issue,1999,08,92,6fe0a71fb7776fed
1a,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-09-S-OCR.pdf,Wireless World 1999-09,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-09-S-OCR.pdf,,issue,1999,09,92,e2f9ef2e31c94f4d
1b,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-10-S-OCR.pdf,Wireless World 1999-10,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-10-S-OCR.pdf,,issue,1999,10,92,d1f32b412e30a5e6
1c,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-11-S-OCR.pdf,Wireless World 1999-11,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-11-S-OCR.pdf,,issue,1999,11,92,8f380fb34bf8ba66
1d,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-12-S-OCR.pdf,Wireless World 1999-12,https://www.worldradiohistory.com/UK/Wireless-World/90s/Electronics-World-1999-12-S-OCR.pdf,,issue,1999,12,92,52c366eaf6454940
1e,https://www.worldradiohistory.com/UK/Wireless-World/00s/Electronics-World-2000-01.pdf,Wireless World 2000-01,https://www.worldradiohistory.com/UK/Wireless-World/00s/Electronics-World-2000-01.pdf,,issue,2000,01,48,2074901731a79582
1f,https://www.worldradiohistory.com/UK/Wireless-World/00s/Electronics-World-2000-02.pdf,Wireless World 2000-02,https://www.worldradiohistory.com/UK/Wireless-World/00s/Electronics-World-2000-02.pdf,,issue,2000,02,48,556a7382d4bcb769
