doc,page,url,schematic,parts
0,2,"https://aionfx.com/app/files/docs/18v_voltage_doubler_bypass_documentation.pdf#page=2&zoom=200,244,71&h=792",0,4
0,3,"https://aionfx.com/app/files/docs/18v_voltage_doubler_bypass_documentation.pdf#page=3&zoom=200,303,196&h=612",1,4
1,6,"https://aionfx.com/app/files/docs/360_preamp_documentation.pdf#page=6&zoom=200,64,608&h=792",1,8
1,10,"https://aionfx.com/app/files/docs/360_preamp_documentation.pdf#page=10&zoom=200,0,157&h=792",0,6
1,12,"https://aionfx.com/app/files/docs/360_preamp_documentation.pdf#page=12&zoom=200,284,70&h=612",1,8
10,1,"https://aionfx.com/app/files/docs/aurora_legacy_documentation.pdf#page=1&zoom=200,18,456&h=792",0,1
10,2,"https://aionfx.com/app/files/docs/aurora_legacy_documentation.pdf#page=2&zoom=200,460,62&h=792",1,4
10,3,"https://aionfx.com/app/files/docs/aurora_legacy_documentation.pdf#page=3&zoom=200,0,24&h=792",0,1
10,4,"https://aionfx.com/app/files/docs/aurora_legacy_documentation.pdf#page=4&zoom=200,110,569&h=792",1,4
11,2,"https://aionfx.com/app/files/docs/aurum_documentation.pdf#page=2&zoom=200,0,445&h=792",0,3
11,4,"https://aionfx.com/app/files/docs/aurum_documentation.pdf#page=4&zoom=200,42,605&h=792",1,4
11,5,"https://aionfx.com/app/files/docs/aurum_documentation.pdf#page=5&zoom=200,51,34&h=792",1,8
11,6,"https://aionfx.com/app/files/docs/aurum_documentation.pdf#page=6&zoom=200,0,45&h=792",0,3
11,8,"https://aionfx.com/app/files/docs/aurum_documentation.pdf#page=8&zoom=200,328,97&h=612",1,6
11,12,"https://aionfx.com/app/files/docs/aurum_documentation.pdf#page=12&zoom=200,0,303&h=792",0,2
12,3,"https://aionfx.com/app/files/docs/axion_documentation.pdf#page=3&zoom=200,42,573&h=792",1,3
12,4,"https://aionfx.com/app/files/docs/axion_documentation.pdf#page=4&zoom=200,42,90&h=792",0,3
12,5,"https://aionfx.com/app/files/docs/axion_documentation.pdf#page=5&zoom=200,0,196&h=792",0,2
12,6,"https://aionfx.com/app/files/docs/axion_documentation.pdf#page=6&zoom=200,203,107&h=612",1,5
13,4,"https://aionfx.com/app/files/docs/azimuth_kit_documentation.pdf#page=4&zoom=200,2,448&h=792",0,4
