doc,page,url,schematic,parts
0,1,https://www.bartola.co.uk/valves/,0,4
1,1,https://www.bartola.co.uk/valves/about-me/,0,5
10,1,https://www.bartola.co.uk/valves/dht-pre-amplifier/26-dht-pre-amplifier-gen3/,0,3
11,1,https://www.bartola.co.uk/valves/2018/03/25/eml-20a-dht-preamp/,0,3
12,1,https://www.bartola.co.uk/valves/2018/08/26/ba-dht-preamp-build/,0,3
13,1,https://www.bartola.co.uk/valves/valve-curves/6p21s/,0,2
14,1,https://www.bartola.co.uk/valves/valve-curves/24a-tetrode/,0,2
15,1,https://www.bartola.co.uk/valves/valve-curves/6p36s-6%d0%bf36%d1%81-triode/,0,2
16,1,https://www.bartola.co.uk/valves/valve-curves/traced-curves/,0,2
17,1,https://www.bartola.co.uk/valves/valve-curves/d3a-pentode/,0,2
18,1,https://www.bartola.co.uk/valves/valve-curves/d3a-triode/,0,2
19,1,https://www.bartola.co.uk/valves/valve-curves/4p1l/,0,3
1a,1,https://www.bartola.co.uk/valves/valve-curves/2sh27l-2z27l/,0,2
1b,1,https://www.bartola.co.uk/valves/valve-curves/47-pentode/,0,2
1c,1,https://www.bartola.co.uk/valves/valve-curves/c3g-pentodetriode/,0,2
1d,1,https://www.bartola.co.uk/valves/valve-curves/3a5-dht-triode/,0,2
1e,1,https://www.bartola.co.uk/valves/valve-curves/6p15p-pentode/,0,3
1f,1,https://www.bartola.co.uk/valves/valve-curves/2e24-triodeschade/,0,3
1g,1,https://www.bartola.co.uk/valves/valve-curves/864-vt-24/,0,2
1h,1,https://www.bartola.co.uk/valves/valve-curves/307a/,0,2
1i,1,https://www.bartola.co.uk/valves/valve-curves/6z49p-d-triode/,0,2
1j,1,https://www.bartola.co.uk/valves/valve-curves/6z11p-triode/,0,2
1k,1,https://www.bartola.co.uk/valves/valve-curves/6z51p-triode/,0,2
1l,1,https://www.bartola.co.uk/valves/valve-curves/6z9p-triode/,0,2
1m,1,https://www.bartola.co.uk/valves/valve-curves/6z5p-triode/,0,2
1n,1,https://www.bartola.co.uk/valves/valve-curves/6p15p-triode/,0,3
1o,1,https://www.bartola.co.uk/valves/valve-curves/6e6p-e6%d1%8d6%d0%bf-e-in-triode-mode/,0,2
1p,1,https://www.bartola.co.uk/valves/library/,0,2
1q,1,https://www.bartola.co.uk/valves/library/vt-154-814-tetrode-datasheet/,0,2
1r,1,https://www.bartola.co.uk/valves/300b-se-amplifier/,0,6
1s,1,https://www.bartola.co.uk/valves/curve-tracer/785-2/,0,3
1t,1,https://www.bartola.co.uk/valves/privacy-policy/,0,2
1u,1,https://www.bartola.co.uk/valves/2026/08/02/dht-lcr-riaa-preamp-by-salvatore-aragona/,0,3
1v,1,https://www.bartola.co.uk/valves/2026/01/24/new-hosting/,0,2
1w,1,https://www.bartola.co.uk/valves/2025/01/26/slcf-to-the-rescue/,0,5
1x,1,https://www.bartola.co.uk/valves/2024/11/22/cx-112a-preamp-video/,0,2
1y,1,https://www.bartola.co.uk/valves/2024/11/19/hybrid-mu-follower-pcb-ver-0-8-video/,0,2
1z,1,https://www.bartola.co.uk/valves/2024/11/12/hybrid-mu-follower-boards-in-smd/,0,4
2,1,https://www.bartola.co.uk/valves/for-sale/gyrator-pcb/,0,12
20,1,https://www.bartola.co.uk/valves/2020/03/31/3-versions-of-the-gyrator-board/,0,2
21,1,https://www.bartola.co.uk/valves/2024/09/08/lr8-reg-a-handy-utility-block/,0,3
22,1,https://www.bartola.co.uk/valves/2024/05/06/ccs-in-power-supplies/,0,2
23,1,https://www.bartola.co.uk/valves/2024/04/12/cap-multiplier-pcb-build-guide-and-bom/,0,8
24,1,https://www.bartola.co.uk/valves/2024/03/22/im-back/,0,2
25,1,https://www.bartola.co.uk/valves/page/2/,0,3
26,1,https://www.bartola.co.uk/valves/page/60/,0,5
27,1,https://www.bartola.co.uk/valves/2016/01/23/gyrator-pcb-boards-arrived/,0,6
28,1,https://www.bartola.co.uk/valves/2020/02/19/300b-filament-supply/,0,10
29,1,https://www.bartola.co.uk/valves/2019/02/03/hybrid-mu-follower-aka-gyrator-rev08-pcb-update/,0,18
2a,1,https://www.bartola.co.uk/valves/2018/03/13/gm-70-se-amplifier/,0,4
2b,1,https://www.bartola.co.uk/valves/2012/10/13/new-ht-bench-supply/,0,2
2c,1,https://www.bartola.co.uk/valves/2013/11/23/814-se-a2-amplifier/,0,4
2d,1,https://www.bartola.co.uk/valves/2017/02/14/schade-se-amp-example/,0,3
2e,1,https://www.bartola.co.uk/valves/2023/11/03/short-of-sand/,0,7
2f,1,https://www.bartola.co.uk/valves/2023/03/13/gu-50-spice-model/,0,4
2g,1,https://www.bartola.co.uk/valves/2022/12/28/gassy-nightmare/,0,5
2h,1,https://www.bartola.co.uk/valves/2022/12/27/merry-christmas-2/,0,2
2i,1,https://www.bartola.co.uk/valves/2022/10/30/6e6p-dr-curves-6%d1%8d6%d0%bf-%d0%b4%d1%80/,0,3
2j,1,http://www.bartola.co.uk/valves/2017/10/29/ba-dht-preamp-part-ii/,0,2
2k,1,http://www.bartola.co.uk/valves/2017/03/26/vt-25-dht-preamp-update/,0,4
2l,1,http://www.bartola.co.uk/valves/2016/05/11/filament-bias-a-practical-example-with-3a5-dht/,0,3
2m,1,http://www.bartola.co.uk/valves/2016/04/22/cx371a-71a-dht-preamp/,0,5
2n,1,http://www.bartola.co.uk/valves/2016/04/23/27-preamp/,0,6
2o,1,http://www.bartola.co.uk/valves/2016/03/08/russian-pse-in-steroids-01a-into-4p1l-part-iii/,0,4
2p,1,http://www.bartola.co.uk/valves/2017/06/18/6%d0%b649%d0%bf-%d0%b4%d1%806j49p-dr-high-gain-stage/,0,3
2q,1,http://www.bartola.co.uk/valves/2017/06/04/6sf5-driver-for-300bgm70813-se-amps/,0,4
2r,1,http://www.bartola.co.uk/valves/2016/12/04/headphone-parafeed-amp-part-i/,0,5
2s,1,http://www.bartola.co.uk/valves/2015/12/21/slew-rate-in-preamps/,0,3
2t,1,http://www.bartola.co.uk/valves/2015/12/27/slew-rate-part-2/,0,5
2u,1,http://www.bartola.co.uk/valves/2016/01/07/slew-rate-part-iii/,0,5
2v,1,http://www.bartola.co.uk/valves/2016/01/09/slew-rate-part-iv-and-source-followers/,0,5
2w,1,http://www.bartola.co.uk/valves/2017/05/29/dht-phono-stage-test/,0,3
2x,1,http://www.bartola.co.uk/valves/2020/01/03/cap-multiplier-boards-rev04/,0,3
2y,1,http://www.bartola.co.uk/valves/cables/,0,2
2z,1,https://www.bartola.co.uk/valves/2021/08/20/ll1943-sut-pcb-v02-balanced-option/,0,2
3,1,https://www.bartola.co.uk/valves/old-articles-archive/,0,2
30,1,https://www.bartola.co.uk/valves/2019/11/02/dht-lt-power-supply-pcb-tests/,0,2
31,1,https://www.bartola.co.uk/valves/2017/04/23/ux4-and-ux5-teflon-sockets/,0,2
32,1,https://www.bartola.co.uk/valves/2017/05/13/gyrator-pcb-hack-final-enhancement-mosfet-design/,0,2
33,1,http://www.bartola.co.uk/valves/2016/12/30/3b7-dht-preamplifier/,0,4
34,1,http://www.bartola.co.uk/valves/2016/11/19/uv-201a-preamp-test/,0,2
35,1,http://www.bartola.co.uk/valves/2017/07/30/source-follower-pcb/,0,3
36,1,http://www.bartola.co.uk/valves/2017/02/05/4p1l-pse-amp-finished/,0,2
37,1,http://www.bartola.co.uk/valves/2017/07/09/gyrator-pcb-update-rev07/,0,2
38,1,https://www.bartola.co.uk/valves/2017/08/14/uv-201a-dht-preamp-revisited/sv201a-build03/,0,2
39,1,https://www.bartola.co.uk/valves/2017/08/14/uv-201a-dht-preamp-revisited/sv201a-build04/,0,2
3a,1,https://www.bartola.co.uk/valves/2017/08/14/uv-201a-dht-preamp-revisited/sv201a-build01/,0,2
3b,1,https://www.bartola.co.uk/valves/2017/08/14/uv-201a-dht-preamp-revisited/sv201a-build05/,0,2
3c,1,http://www.bartola.co.uk/valves/2017/01/15/01a-preamp-gen2-build-complete/,0,5
