doc,page,url,schematic,parts
0,1,https://www.djerickson.com/,0,1
1,1,https://www.djerickson.com/diy_smu/,0,5
10,1,https://www.djerickson.com/front-panel/,0,6
11,1,https://www.djerickson.com/multizone/index.html,0,3
12,1,https://www.djerickson.com/polysynth/index.html,0,3
13,1,https://www.djerickson.com/curve-tracer/index.html,0,4
14,1,https://www.djerickson.com/dc-dc/index.html,0,10
15,1,https://www.djerickson.com/synth/synth2.html,0,2
16,1,https://www.djerickson.com/datacube/videos/Vsfind.m4v,0,48
17,1,https://www.djerickson.com/speakers/amp.html,0,3
18,1,https://www.djerickson.com/arduino/encoders-interrupts.html,0,5
19,1,https://www.djerickson.com/p1hack/index.html,0,12
1a,1,https://www.djerickson.com/bbus/bbus2a.html,0,3
1b,1,https://www.djerickson.com/bbus/proc.html,0,1
1c,104,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=104&zoom=200,160,143&h=792",0,6
1c,107,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=107&zoom=200,112,133&h=792",1,6
1c,108,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=108&zoom=200,153,435&h=792",1,8
1c,109,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=109&zoom=200,129,219&h=792",1,14
1c,111,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=111&zoom=200,129,56&h=792",1,8
1c,113,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=113&zoom=200,127,406&h=792",1,17
1c,114,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=114&zoom=200,164,246&h=792",0,7
1c,116,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=116&zoom=200,160,288&h=792",0,8
1c,118,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=118&zoom=200,162,311&h=792",1,5
1c,119,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=119&zoom=200,121,211&h=792",1,7
1c,122,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=122&zoom=200,749,468&h=792",1,1
1c,123,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=123&zoom=200,936,491&h=792",1,2
1c,125,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=125&zoom=200,370,567&h=792",1,1
1c,126,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=126&zoom=200,774,524&h=792",1,5
1c,127,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=127&zoom=200,925,546&h=792",1,10
1c,128,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=128&zoom=200,636,226&h=792",1,11
1c,129,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=129&zoom=200,416,265&h=792",1,6
1c,131,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=131&zoom=200,1005,367&h=792",1,11
1c,132,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=132&zoom=200,542,114&h=792",1,11
1c,133,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=133&zoom=200,772,60&h=792",1,9
1c,137,"https://www.djerickson.com/diy_smu/files/Keithley_236_237_Source_Measure_Unit_SMU_Service_Manual_and_schematics.pdf#page=137&zoom=200,403,290&h=792",1,3
