doc,page,url,schematic,parts
0,1,https://www.drtube.com/schematics/ampeg/g12-jp.gif,1,4
1,1,https://www.drtube.com/schematics/ampeg/g15-jp.gif,1,4
10,1,https://www.drtube.com/schematics/elk/elkbrochure.jpg,0,3
11,1,https://www.drtube.com/schematics/elk/es-30.gif,1,4
12,1,https://www.drtube.com/schematics/elk/twinamp50.gif,1,4
13,1,https://www.drtube.com/schematics/elk/vkb-100.gif,1,3
14,1,https://www.drtube.com/schematics/gibson/ga-1rt.gif,1,3
15,1,https://www.drtube.com/schematics/gibson/ga-2rvt.gif,1,1
16,1,https://www.drtube.com/schematics/gibson/ga-3rv.gif,1,3
17,1,https://www.drtube.com/schematics/gibson/ga-4re.gif,1,1
18,1,https://www.drtube.com/schematics/gibson/ga-5lpj.gif,0,2
19,1,https://www.drtube.com/schematics/gibson/ga-5lpj-jp.gif,1,2
1a,1,https://www.drtube.com/schematics/fender/champ-5c1-schem.gif,0,2
1b,1,https://www.drtube.com/schematics/gibson/ga-5sl-jp.gif,1,2
1c,1,https://www.drtube.com/schematics/gibson/ga-6.gif,1,2
1d,1,https://www.drtube.com/schematics/gibson/ga-8t.gif,1,2
1e,1,https://www.drtube.com/schematics/gibson/ga-15.gif,1,4
1f,1,https://www.drtube.com/schematics/gibson/ga-16t.gif,1,3
1g,1,https://www.drtube.com/schematics/gibson/ga-17rvt.gif,1,3
1h,1,https://www.drtube.com/schematics/gibson/ga-19rvt.gif,1,4
1i,1,https://www.drtube.com/schematics/gibson/ga-20.gif,1,5
1j,1,https://www.drtube.com/schematics/gibson/ga-25.gif,1,2
1k,1,https://www.drtube.com/schematics/gibson/ga-25rvt.gif,1,2
1l,1,https://www.drtube.com/schematics/gibson/ga-30.gif,1,5
1m,1,https://www.drtube.com/schematics/gibson/ga-35rvt.gif,1,2
1n,1,https://www.drtube.com/schematics/gibson/ga-45rv.gif,1,5
1o,1,https://www.drtube.com/schematics/gibson/ga-55.gif,1,3
1p,1,https://www.drtube.com/schematics/gibson/ga-77.gif,1,5
1q,1,https://www.drtube.com/schematics/hiwatt/hwpre1.gif,1,1
1r,1,https://www.drtube.com/schematics/hiwatt/hwpsu1.gif,0,1
1s,1,https://www.drtube.com/schematics/hiwatt/hwpre3.gif,1,1
1t,1,https://www.drtube.com/schematics/hiwatt/hwpsu2.gif,0,1
1u,1,https://www.drtube.com/schematics/hiwatt/hwpre2.gif,0,1
1v,1,https://www.drtube.com/schematics/hiwatt/hwslave200w.gif,0,2
1w,1,https://www.drtube.com/schematics/laney/gc30v.gif,1,9
1x,1,https://www.drtube.com/schematics/laney/lc50.gif,1,1
1y,1,https://www.drtube.com/schematics/laney/klipp100.gif,1,1
1z,1,https://www.drtube.com/schematics/londoncity/dea70.gif,1,3
2,1,https://www.drtube.com/schematics/ampeg/gs15r-jp.gif,1,4
20,1,https://www.drtube.com/schematics/londoncity/dea100-early.gif,1,2
21,1,https://www.drtube.com/schematics/londoncity/dea130.gif,1,2
22,1,https://www.drtube.com/schematics/selmer/mercury5.gif,1,4
23,1,https://www.drtube.com/schematics/selmer/compact30sv.gif,1,2
24,1,https://www.drtube.com/schematics/selmer/pa100rvb.gif,1,2
25,1,https://www.drtube.com/schematics/selmer/pa100sv.gif,1,1
26,1,https://www.drtube.com/schematics/selmer/t-and-b50.gif,1,3
27,1,https://www.drtube.com/schematics/selmer/t-and-b50mk2.gif,1,2
28,1,https://www.drtube.com/schematics/selmer/t-and-b50mk3.gif,1,2
29,1,https://www.drtube.com/schematics/selmer/t-and-b50rvbsv.gif,1,1
2a,1,https://www.drtube.com/schematics/selmer/t-and-b100sv.gif,1,2
2b,1,https://www.drtube.com/schematics/selmer/zodiac50sv.gif,1,1
2c,1,https://www.drtube.com/schematics/selmer/zodiac100sv.gif,1,2
2d,1,https://www.drtube.com/schematics/selmer/chieftain200.gif,1,1
2e,1,https://www.drtube.com/schematics/vox/ac10-os008-iss3.png,1,3
2f,1,https://www.drtube.com/schematics/vox/ac10-v-1-3.png,1,7
2g,1,https://www.drtube.com/schematics/vox/ac15-os005.gif,1,4
