doc,page,url,schematic,parts
0,2,"https://el34world.com/charts/Schematics/files/Acoustic/Acoustic_117_118_schematics.pdf#page=2&zoom=200,124,84&h=612",1,2
0,3,"https://el34world.com/charts/Schematics/files/Acoustic/Acoustic_117_118_schematics.pdf#page=3&zoom=200,150,93&h=612",1,4
1,2,"https://el34world.com/charts/Schematics/files/Acoustic/Acoustic_165.pdf#page=2&zoom=200,589,384&h=1641",1,1
10,1,"https://el34world.com/charts/Schematics/files/Airline_wards/Airline_wards_gvc_9049a.pdf#page=1&zoom=200,376,373&h=791",1,4
100,1,"https://el34world.com/charts/Schematics/files/Epiphone/Ea_28rvt_pathfinder.pdf#page=1&zoom=200,147,469&h=595",1,3
101,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_1940s_electar.pdf#page=1&zoom=200,485,171&h=1179",1,3
102,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_dano_century30_1961.pdf#page=1&zoom=200,372,198&h=3240",1,1
103,1,https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_EA101_Schematic.png,1,1
104,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_10_deluxe.pdf#page=1&zoom=200,58,424&h=595",1,2
105,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_12rvt.pdf#page=1&zoom=200,192,442&h=595",1,4
106,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_15rvt.pdf#page=1&zoom=200,638,422&h=595",1,4
107,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_16rvt.pdf#page=1&zoom=200,614,372&h=595",1,1
108,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_22rvt.pdf#page=1&zoom=200,177,458&h=595",1,2
109,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_25_century.pdf#page=1&zoom=200,318,93&h=595",1,3
10a,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_26rvt.pdf#page=1&zoom=200,602,378&h=595",1,3
10b,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_28rvt.pdf#page=1&zoom=200,147,469&h=595",1,3
10c,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_300rvt.pdf#page=1&zoom=200,322,266&h=595",1,1
10d,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_30_triumph.pdf#page=1&zoom=200,295,377&h=595",1,2
10e,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_32rvt.pdf#page=1&zoom=200,648,428&h=595",1,2
10f,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_33rvt.pdf#page=1&zoom=200,663,483&h=595",1,4
10g,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_35.pdf#page=1&zoom=200,36,312&h=595",1,4
10h,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_35t.pdf#page=1&zoom=200,41,305&h=595",1,3
10i,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_4t_4tl_6t.pdf#page=1&zoom=200,523,342&h=595",1,1
10j,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_50.pdf#page=1&zoom=200,188,437&h=595",1,3
10k,3,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_500t.pdf#page=3&zoom=200,472,184&h=595",1,4
10l,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_50t.pdf#page=1&zoom=200,187,422&h=595",1,3
10m,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_5rvt.pdf#page=1&zoom=200,254,460&h=595",1,4
10n,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_65.pdf#page=1&zoom=200,346,414&h=595",1,2
10o,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_71.pdf#page=1&zoom=200,595,482&h=595",1,3
10p,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_7p.pdf#page=1&zoom=200,301,304&h=595",1,6
10q,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_ea_8p.pdf#page=1&zoom=200,297,295&h=595",1,4
10r,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_electar_century_75th_reissue.pdf#page=1&zoom=200,125,537&h=842",1,2
10s,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_galaxie_10.pdf#page=1&zoom=200,48,402&h=681",1,4
10t,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epiphone_so_cal50h_schematic_ver1_dppt.pdf#page=1&zoom=200,1262,168&h=3501",1,4
10u,1,"https://el34world.com/charts/Schematics/files/Epiphone/Epi_dano_elektar_zephyr_1949.pdf#page=1&zoom=200,2772,1218&h=3240",1,2
10v,1,https://el34world.com/charts/Schematics/files/Fbt/FBT_120.png,1,3
10w,1,"https://el34world.com/charts/Schematics/files/Fbt/Fbt_1200_r.pdf#page=1&zoom=200,272,5&h=451",1,4
10x,1,"https://el34world.com/charts/Schematics/files/Fbt/Fbt_150.pdf#page=1&zoom=200,140,9&h=347",1,2
10y,1,"https://el34world.com/charts/Schematics/files/Fbt/Fbt_250_250_lb.pdf#page=1&zoom=200,513,10&h=605",1,2
10z,1,"https://el34world.com/charts/Schematics/files/Fbt/FBT_500_BR_-_2_input.pdf#page=1&zoom=200,266,258&h=842",1,3
11,1,"https://el34world.com/charts/Schematics/files/Airline_wards/Airline_wards_gvc_9052a.pdf#page=1&zoom=200,141,423&h=791",1,2
110,1,"https://el34world.com/charts/Schematics/files/Fbt/FBT_500_BR_-_4_input.pdf#page=1&zoom=200,289,227&h=842",1,2
111,1,"https://el34world.com/charts/Schematics/files/Fbt/Fbt_500_r.pdf#page=1&zoom=200,232,3&h=575",1,4
112,1,"https://el34world.com/charts/Schematics/files/Fbt/Fbt_500_r2.pdf#page=1&zoom=200,290,0&h=612",1,5
113,1,"https://el34world.com/charts/Schematics/files/Fbt/Fbt_bassorgan.pdf#page=1&zoom=200,391,9&h=472",1,3
114,1,"https://el34world.com/charts/Schematics/files/Fbt/FBT_G60.pdf#page=1&zoom=200,45,151&h=841",0,1
115,1,"https://el34world.com/charts/Schematics/files/Fbt/Fbt_superbass_250_125.pdf#page=1&zoom=200,106,221&h=655",1,12
116,1,https://el34world.com/charts/Schematics/files/Fender/Ab763reverbonechannel.gif,1,5
117,1,"https://el34world.com/charts/Schematics/files/Fender/Fender_140_schem.pdf#page=1&zoom=200,48,931&h=1636",1,3
118,1,https://el34world.com/charts/Schematics/files/Fender/Fender_185_series_029053f.gif,1,15
119,1,"https://el34world.com/charts/Schematics/files/Fender/Fender_185_series_pro_stage_london_.pdf#page=1&zoom=200,775,600&h=791",0,1
