doc,page,url,schematic,parts
0,47,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-05.pdf#page=47&zoom=200,18,219&h=677",0,1
0,48,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-05.pdf#page=48&zoom=200,106,24&h=679",1,1
0,57,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-05.pdf#page=57&zoom=200,26,180&h=677",0,1
0,58,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-05.pdf#page=58&zoom=200,141,0&h=679",0,1
0,64,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-05.pdf#page=64&zoom=200,6,318&h=676",0,1
1,16,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-07.pdf#page=16&zoom=200,0,452&h=672",0,1
1,77,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-07.pdf#page=77&zoom=200,358,437&h=677",1,2
1,79,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-07.pdf#page=79&zoom=200,23,152&h=677",0,2
1,81,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-07.pdf#page=81&zoom=200,220,379&h=678",0,5
1,104,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-07.pdf#page=104&zoom=200,208,155&h=674",0,2
1,106,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1958-07.pdf#page=106&zoom=200,11,355&h=673",0,2
10,13,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=13&zoom=200,255,556&h=673",0,1
10,42,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=42&zoom=200,14,552&h=673",0,1
10,48,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=48&zoom=200,257,238&h=673",0,1
10,56,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=56&zoom=200,208,252&h=673",0,1
10,57,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=57&zoom=200,226,290&h=675",0,1
10,60,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=60&zoom=200,8,155&h=674",0,1
10,87,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=87&zoom=200,21,113&h=675",0,2
10,90,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=90&zoom=200,8,390&h=674",0,2
10,98,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=98&zoom=200,75,319&h=673",0,1
10,105,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-07.pdf#page=105&zoom=200,13,458&h=674",0,4
11,7,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-09.pdf#page=7&zoom=200,232,87&h=668",0,1
11,51,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-09.pdf#page=51&zoom=200,89,334&h=670",0,1
11,54,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-09.pdf#page=54&zoom=200,207,219&h=669",1,1
11,59,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-09.pdf#page=59&zoom=200,223,553&h=669",0,4
11,86,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-09.pdf#page=86&zoom=200,30,520&h=668",1,1
11,100,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-09.pdf#page=100&zoom=200,214,464&h=668",0,1
11,102,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1964-09.pdf#page=102&zoom=200,366,289&h=668",1,1
12,10,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-01.pdf#page=10&zoom=200,1,395&h=672",0,1
12,11,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-01.pdf#page=11&zoom=200,236,446&h=671",0,2
12,29,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-01.pdf#page=29&zoom=200,279,494&h=674",0,1
13,17,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=17&zoom=200,20,515&h=671",0,1
13,25,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=25&zoom=200,32,321&h=671",0,2
13,26,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=26&zoom=200,209,197&h=669",0,1
13,27,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=27&zoom=200,38,176&h=671",0,3
13,33,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=33&zoom=200,263,86&h=669",0,1
13,34,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=34&zoom=200,8,284&h=669",0,1
13,35,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=35&zoom=200,228,440&h=671",0,1
13,100,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=100&zoom=200,229,539&h=670",0,1
13,113,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-05.pdf#page=113&zoom=200,22,108&h=669",0,1
14,13,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-07.pdf#page=13&zoom=200,15,458&h=670",0,1
14,71,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-07.pdf#page=71&zoom=200,22,211&h=673",0,3
14,73,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-07.pdf#page=73&zoom=200,38,429&h=673",1,1
14,77,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-07.pdf#page=77&zoom=200,86,45&h=673",0,1
14,107,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-07.pdf#page=107&zoom=200,21,442&h=672",0,1
15,7,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=7&zoom=200,226,435&h=671",0,1
15,16,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=16&zoom=200,191,561&h=671",0,2
15,18,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=18&zoom=200,18,562&h=670",0,2
15,23,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=23&zoom=200,237,499&h=671",0,1
15,52,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=52&zoom=200,17,292&h=669",0,3
15,87,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=87&zoom=200,339,391&h=672",1,1
15,88,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=88&zoom=200,9,330&h=670",0,1
15,101,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1965-09.pdf#page=101&zoom=200,152,567&h=670",0,1
16,13,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1966-01.pdf#page=13&zoom=200,216,395&h=672",0,1
16,18,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1966-01.pdf#page=18&zoom=200,205,524&h=671",0,2
16,20,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1966-01.pdf#page=20&zoom=200,203,175&h=672",0,1
16,81,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1966-01.pdf#page=81&zoom=200,24,74&h=675",1,2
16,97,"https://www.worldradiohistory.com/Archive-Electronics-Illustrated/Electronics-Illustrated-1966-01.pdf#page=97&zoom=200,16,43&h=675",0,1
