doc,page,url,schematic,parts
0,47,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=47&zoom=200,235,560&h=805",1,2
0,53,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=53&zoom=200,472,589&h=805",1,2
0,54,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=54&zoom=200,339,557&h=804",0,1
0,55,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=55&zoom=200,363,695&h=804",1,1
0,61,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=61&zoom=200,341,258&h=803",1,4
0,68,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=68&zoom=200,233,205&h=804",0,1
0,77,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=77&zoom=200,0,201&h=805",0,3
0,78,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=78&zoom=200,191,141&h=804",0,2
0,80,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=80&zoom=200,335,519&h=804",0,1
0,83,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=83&zoom=200,28,399&h=804",0,4
0,107,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-06.pdf#page=107&zoom=200,181,689&h=806",0,1
1,32,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=32&zoom=200,359,90&h=800",0,4
1,49,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=49&zoom=200,24,94&h=801",0,1
1,50,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=50&zoom=200,419,300&h=801",1,3
1,52,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=52&zoom=200,172,520&h=801",0,5
1,53,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=53&zoom=200,124,304&h=802",1,1
1,54,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=54&zoom=200,256,204&h=801",0,1
1,62,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=62&zoom=200,132,46&h=800",1,1
1,63,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=63&zoom=200,411,206&h=801",1,1
1,66,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=66&zoom=200,124,622&h=801",0,2
1,73,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=73&zoom=200,219,192&h=801",0,1
1,84,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=84&zoom=200,14,477&h=801",0,1
1,118,"https://www.worldradiohistory.com/Archive-Electronics-World/50s/1959/Electronics-World-1959-08.pdf#page=118&zoom=200,179,501&h=800",0,2
