doc,page,url,schematic,parts
0,3,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n2/mode/2up,1,2
0,5,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n4/mode/2up,1,6
0,24,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n23/mode/2up,0,3
0,30,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n29/mode/2up,1,6
0,31,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n30/mode/2up,1,6
0,35,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n34/mode/2up,1,1
0,37,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n36/mode/2up,1,2
0,38,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n37/mode/2up,1,2
0,39,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n38/mode/2up,1,2
0,40,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n39/mode/2up,1,2
0,47,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n46/mode/2up,0,1
0,52,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n51/mode/2up,1,2
0,54,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02/page/n53/mode/2up,1,2
1,5,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n4/mode/2up,1,4
1,6,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n5/mode/2up,1,6
1,7,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n6/mode/2up,1,1
1,9,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n8/mode/2up,1,1
1,10,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n9/mode/2up,1,2
1,11,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n10/mode/2up,1,5
1,13,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n12/mode/2up,1,3
1,14,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n13/mode/2up,1,4
1,15,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n14/mode/2up,1,2
1,16,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n15/mode/2up,1,1
1,17,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n16/mode/2up,1,1
1,18,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n17/mode/2up,1,2
1,20,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n19/mode/2up,1,1
1,21,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n20/mode/2up,1,1
1,22,https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08/page/n21/mode/2up,1,9
