doc,page,url,schematic,parts
0,48,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1976.pdf#page=48&zoom=200,355,665&h=780",0,3
1,30,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=30&zoom=200,352,304&h=785",1,1
1,31,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=31&zoom=200,95,18&h=787",0,2
1,44,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=44&zoom=200,303,557&h=784",1,3
1,45,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=45&zoom=200,341,237&h=787",0,5
1,46,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=46&zoom=200,355,190&h=785",0,1
1,59,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=59&zoom=200,93,180&h=786",1,5
1,62,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=62&zoom=200,345,433&h=785",1,4
1,71,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=71&zoom=200,172,466&h=788",0,3
1,84,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=84&zoom=200,475,500&h=786",1,3
1,97,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=97&zoom=200,0,415&h=800",1,2
1,98,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=98&zoom=200,81,498&h=786",1,1
1,109,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/Budget-Electronics/Budget-Electronics-1980.pdf#page=109&zoom=200,6,559&h=790",0,1
10,3,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1976-03-04.pdf#page=3&zoom=200,471,694&h=787",0,1
11,3,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1976-07-08.pdf#page=3&zoom=200,462,598&h=782",0,1
11,43,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1976-07-08.pdf#page=43&zoom=200,21,584&h=784",1,1
12,3,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1976-09-10.pdf#page=3&zoom=200,473,578&h=782",0,1
13,3,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1976-11-12.pdf#page=3&zoom=200,482,690&h=782",0,1
13,53,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1976-11-12.pdf#page=53&zoom=200,346,293&h=783",0,1
13,69,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1976-11-12.pdf#page=69&zoom=200,10,558&h=783",0,1
14,3,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1977-01-02.pdf#page=3&zoom=200,471,595&h=780",0,1
14,56,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1977-01-02.pdf#page=56&zoom=200,347,452&h=783",0,2
15,64,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1977-05-06.pdf#page=64&zoom=200,347,335&h=784",1,2
15,89,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1977-05-06.pdf#page=89&zoom=200,449,580&h=783",0,1
16,47,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1977-07-08.pdf#page=47&zoom=200,361,346&h=783",0,1
16,64,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1977-07-08.pdf#page=64&zoom=200,0,133&h=784",0,6
16,65,"https://www.worldradiohistory.com/Archive-Elementary-Electronics/1970/Elementary-Electronics-1977-07-08.pdf#page=65&zoom=200,6,51&h=786",0,2
