doc,page,url,schematic,parts
0,7,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=7&zoom=200,429,609&h=858",0,1
0,15,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=15&zoom=200,134,379&h=858",1,3
0,16,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=16&zoom=200,176,25&h=859",0,1
0,17,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=17&zoom=200,62,616&h=858",1,5
0,21,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=21&zoom=200,147,472&h=858",1,2
0,24,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=24&zoom=200,353,237&h=852",0,1
0,25,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=25&zoom=200,252,467&h=855",1,3
0,32,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=32&zoom=200,160,76&h=851",0,1
0,33,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=33&zoom=200,289,320&h=855",0,4
0,34,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=34&zoom=200,50,53&h=856",0,1
0,35,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=35&zoom=200,356,222&h=856",1,4
0,36,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=36&zoom=200,33,723&h=851",1,1
0,37,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=37&zoom=200,422,527&h=856",1,5
0,38,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=38&zoom=200,130,123&h=852",1,2
0,39,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=39&zoom=200,356,243&h=855",1,1
0,52,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=52&zoom=200,399,538&h=855",1,3
0,53,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=53&zoom=200,413,136&h=856",1,1
0,58,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=58&zoom=200,297,469&h=854",0,1
0,59,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=59&zoom=200,429,316&h=855",0,1
0,66,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1990-02.pdf#page=66&zoom=200,177,668&h=858",0,7
