doc,page,url,schematic,parts
0,1,"https://experimentalistsanonymous.com/diy/Schematics/Vibrato%20and%20Pitch%20Shift/BOSS%20OC-2.pdf#page=1&zoom=200,296,341&h=842",1,7
1,1,https://experimentalistsanonymous.com/diy/Schematics/Vibrato%20and%20Pitch%20Shift/Blacet%20Frequency%20Divider.gif,1,1
10,1,"https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Ibanez%20PQL%20Parametric%20EQ.pdf#page=1&zoom=200,53,195&h=595",1,4
11,1,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Korg%20Parametric%20EQ.gif,1,1
12,1,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Korg%20Tone%20Booster.gif,1,2
13,1,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Mixers%20and%20EQs.gif,1,1
14,1,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Modified%20VOX%20Treble%20Booster.jpg,1,1
15,1,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Stereo%20Frequency%20Splitting%20Effect.gif,1,2
16,1,"https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tone%20Booster.pdf#page=1&zoom=200,233,508&h=792",1,2
17,1,"https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tone%20Control%20Circuits.pdf#page=1&zoom=200,426,196&h=612",1,1
18,1,https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Tube%2050hz%20crossover.jpg,1,3
19,1,"https://experimentalistsanonymous.com/diy/Schematics/Tone%20Control%20and%20EQs/Versatile%20Multi-Band%20EQ.pdf#page=1&zoom=200,299,308&h=612",1,1
1a,1,https://experimentalistsanonymous.com/diy/Schematics/Ring%20Modulators%20and%20Frequency%20Shifters/AD633%20Ring%20Mod%20with%20LFO.jpg,1,2
1b,1,"https://experimentalistsanonymous.com/diy/Schematics/Ring%20Modulators%20and%20Frequency%20Shifters/Balanced%20Modulator.pdf#page=1&zoom=200,422,181&h=612",1,2
1c,1,https://experimentalistsanonymous.com/diy/Schematics/Ring%20Modulators%20and%20Frequency%20Shifters/Buffered%20AD633%20Ring%20Mod.gif,1,2
1d,1,https://experimentalistsanonymous.com/diy/Schematics/Ring%20Modulators%20and%20Frequency%20Shifters/DOD%20Gonkulator%20Schematic%20maybe.gif,1,3
