doc,page,url,schematic,parts
0,1,https://generalguitargadgets.com/effects-projects/amps/a386-amp/,0,1
1,1,https://generalguitargadgets.com/effects-projects/amps/tda2003-practice-amp/,0,3
10,1,"https://generalguitargadgets.com/pdf/ggg_hog_lo.pdf#page=1&zoom=200,239,401&h=792",1,2
11,4,"https://generalguitargadgets.com/pdf/ggg_ibp10_bom.pdf#page=4&zoom=200,377,280&h=792",1,3
12,1,"https://generalguitargadgets.com/pdf/ggg_ibp10_sc_mod.pdf#page=1&zoom=200,55,129&h=612",1,3
13,1,"https://generalguitargadgets.com/pdf/ggg_ibp10_lo.pdf#page=1&zoom=200,357,412&h=792",1,2
14,1,"https://generalguitargadgets.com/pdf/ggg_ibp10_sc.pdf#page=1&zoom=200,86,69&h=612",1,4
15,3,"https://generalguitargadgets.com/pdf/ggg_its8_bass_bom.pdf#page=3&zoom=200,374,280&h=792",1,10
16,1,"https://generalguitargadgets.com/pdf/ggg_its8_bass_sc.pdf#page=1&zoom=200,328,199&h=612",1,5
17,1,"https://generalguitargadgets.com/pdf/ggg_its8_bass_lo.pdf#page=1&zoom=200,282,631&h=792",1,3
18,2,"https://generalguitargadgets.com/pdf/ggg_brassm_instruct.pdf#page=2&zoom=200,24,542&h=792",0,2
19,3,"https://generalguitargadgets.com/pdf/ggg_brassm_bom.pdf#page=3&zoom=200,353,623&h=792",1,2
19,4,"https://generalguitargadgets.com/pdf/ggg_brassm_bom.pdf#page=4&zoom=200,353,124&h=792",1,6
1a,1,"https://generalguitargadgets.com/pdf/ggg_brassm_parts.pdf#page=1&zoom=200,58,320&h=612",1,4
1b,1,"https://generalguitargadgets.com/pdf/ggg_brassm_sc.pdf#page=1&zoom=200,129,141&h=612",1,3
1c,1,"https://generalguitargadgets.com/pdf/ggg_brassm_sc4.pdf#page=1&zoom=200,112,156&h=612",1,3
1d,2,"https://generalguitargadgets.com/pdf/ggg_rgr_bom.pdf#page=2&zoom=200,374,455&h=792",1,3
1e,1,"https://generalguitargadgets.com/pdf/ggg_rgr_sc1.pdf#page=1&zoom=200,242,262&h=792",1,2
1f,1,"https://generalguitargadgets.com/pdf/ggg_rgr_sc2.pdf#page=1&zoom=200,362,146&h=612",1,2
1g,1,"https://generalguitargadgets.com/pdf/ggg_rgr_lo1.pdf#page=1&zoom=200,246,413&h=792",1,1
1h,1,"https://generalguitargadgets.com/pdf/ggg_rgr_lo2.pdf#page=1&zoom=200,275,407&h=792",1,2
1i,1,"https://generalguitargadgets.com/pdf/ggg_dual_bst_sc.pdf#page=1&zoom=200,107,109&h=612",1,2
1i,2,"https://generalguitargadgets.com/pdf/ggg_dual_bst_sc.pdf#page=2&zoom=200,32,440&h=612",0,2
1j,1,"https://generalguitargadgets.com/pdf/ggg_dual_bst_lo1.pdf#page=1&zoom=200,236,467&h=792",1,1
1k,1,"https://generalguitargadgets.com/pdf/ggg_dual_bst_lo2.pdf#page=1&zoom=200,237,467&h=792",1,1
1l,1,"https://generalguitargadgets.com/pdf/ggg_dual_bst_lo3.pdf#page=1&zoom=200,229,469&h=792",1,1
1m,1,"https://generalguitargadgets.com/pdf/ggg_dual_bst_lo_inv.pdf#page=1&zoom=200,263,440&h=792",1,1
1n,1,"https://generalguitargadgets.com/pdf/ggg_dual_bst_lo_ps.pdf#page=1&zoom=200,264,442&h=792",1,1
1o,1,"https://generalguitargadgets.com/pdf/ggg_geb_orange_pnp_sc.pdf#page=1&zoom=200,376,279&h=612",1,1
1p,2,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb_instruct.pdf#page=2&zoom=200,28,440&h=792",0,1
1q,2,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb_bom.pdf#page=2&zoom=200,286,445&h=792",1,1
1r,1,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb1_sc.pdf#page=1&zoom=200,379,307&h=612",1,1
1s,1,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb1_lo.pdf#page=1&zoom=200,273,497&h=792",1,1
1t,1,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb2_sc.pdf#page=1&zoom=200,386,296&h=612",1,1
1u,1,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb2_lo.pdf#page=1&zoom=200,261,489&h=792",1,1
1v,1,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb3_lo.pdf#page=1&zoom=200,266,496&h=792",1,1
1w,2,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb4_mod.pdf#page=2&zoom=200,355,292&h=792",1,1
1w,3,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb4_mod.pdf#page=3&zoom=200,257,509&h=792",1,1
1x,1,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb4_sc.pdf#page=1&zoom=200,452,249&h=612",1,1
1y,1,"https://generalguitargadgets.com/pdf/ggg_geb_vox_tb4_lo.pdf#page=1&zoom=200,257,509&h=792",1,1
1z,1,https://generalguitargadgets.com/wp-content/uploads/cssussc.gif,1,1
2,1,https://generalguitargadgets.com/effects-projects/amps/tda2030-amp/,0,2
20,1,"https://generalguitargadgets.com/pdf/ggg_osq_instruct.pdf#page=1&zoom=200,24,444&h=792",0,3
21,2,"https://generalguitargadgets.com/pdf/ggg_osq_bom.pdf#page=2&zoom=200,334,493&h=792",1,3
22,1,"https://generalguitargadgets.com/pdf/ggg_osq_sc.pdf#page=1&zoom=200,495,333&h=612",1,3
23,1,"https://generalguitargadgets.com/pdf/ggg_osq_lo_pot.pdf#page=1&zoom=200,348,489&h=792",1,3
24,1,"https://generalguitargadgets.com/pdf/ggg_osq_lo_trim.pdf#page=1&zoom=200,364,466&h=792",1,3
25,1,"https://generalguitargadgets.com/pdf/ggg_osq_sc_original.pdf#page=1&zoom=200,537,299&h=612",1,3
26,1,"https://generalguitargadgets.com/pdf/ggg_opcomp280a.pdf#page=1&zoom=200,24,467&h=792",0,4
26,2,"https://generalguitargadgets.com/pdf/ggg_opcomp280a.pdf#page=2&zoom=200,430,445&h=792",1,7
26,3,"https://generalguitargadgets.com/pdf/ggg_opcomp280a.pdf#page=3&zoom=200,368,556&h=792",1,4
26,4,"https://generalguitargadgets.com/pdf/ggg_opcomp280a.pdf#page=4&zoom=200,363,553&h=792",1,2
27,1,"https://generalguitargadgets.com/pdf/ggg_dod280a_sc.pdf#page=1&zoom=200,290,314&h=612",1,3
28,1,"https://generalguitargadgets.com/pdf/ggg_dod280a_sc_mods.pdf#page=1&zoom=200,619,143&h=612",1,3
29,1,"https://generalguitargadgets.com/pdf/ggg_dod280_sc.pdf#page=1&zoom=200,627,151&h=612",1,2
2a,4,"https://generalguitargadgets.com/pdf/ggg_icp10_bom.pdf#page=4&zoom=200,377,280&h=792",1,3
2b,1,"https://generalguitargadgets.com/pdf/ggg_icp10_sc_mod.pdf#page=1&zoom=200,55,142&h=612",1,3
2c,1,"https://generalguitargadgets.com/pdf/ggg_icp10_lo.pdf#page=1&zoom=200,357,412&h=792",1,2
2d,1,"https://generalguitargadgets.com/pdf/ggg_icp10_sc.pdf#page=1&zoom=200,83,69&h=612",1,5
2e,1,"https://generalguitargadgets.com/pdf/ggg_dnr_dc_instruct.pdf#page=1&zoom=200,24,446&h=792",0,2
2f,3,"https://generalguitargadgets.com/pdf/ggg_dnr_dc_bom.pdf#page=3&zoom=200,377,366&h=792",1,3
2g,1,"https://generalguitargadgets.com/pdf/ggg_dnr_dc_sc.pdf#page=1&zoom=200,596,167&h=612",1,3
2h,1,"https://generalguitargadgets.com/pdf/ggg_dnr_dc_lo.pdf#page=1&zoom=200,314,385&h=792",1,2
2i,1,"https://generalguitargadgets.com/pdf/ggg_dnr_ross_instruct.pdf#page=1&zoom=200,24,440&h=792",0,2
2j,3,"https://generalguitargadgets.com/pdf/ggg_dnr_ross_bom.pdf#page=3&zoom=200,377,366&h=792",1,3
2k,1,"https://generalguitargadgets.com/pdf/ggg_dnr_ross_sc.pdf#page=1&zoom=200,596,173&h=612",1,3
2l,1,"https://generalguitargadgets.com/pdf/ggg_dnr_ross_lo.pdf#page=1&zoom=200,324,372&h=792",1,2
2m,2,"https://generalguitargadgets.com/pdf/ggg_dbox_act_instruct.pdf#page=2&zoom=200,306,292&h=792",0,2
2n,2,"https://generalguitargadgets.com/pdf/ggg_dbox_act_bom.pdf#page=2&zoom=200,375,509&h=792",1,3
2o,1,"https://generalguitargadgets.com/pdf/ggg_dbox_act_sc.pdf#page=1&zoom=200,118,157&h=612",1,2
2p,1,"https://generalguitargadgets.com/pdf/ggg_dbox_act_lo.pdf#page=1&zoom=200,438,442&h=792",1,2
2q,2,"https://generalguitargadgets.com/pdf/ggg_ssim_m_bom.pdf#page=2&zoom=200,359,381&h=792",1,1
2r,1,"https://generalguitargadgets.com/pdf/ggg_ssim_m_sc.pdf#page=1&zoom=200,461,349&h=612",1,1
2s,1,"https://generalguitargadgets.com/pdf/ggg_ssim_m_lo.pdf#page=1&zoom=200,214,498&h=792",1,1
2t,3,"https://generalguitargadgets.com/pdf/ggg_dbox_act_iso_bom.pdf#page=3&zoom=200,331,275&h=792",1,1
2u,1,"https://generalguitargadgets.com/pdf/ggg_dbox_act_iso_sc.pdf#page=1&zoom=200,78,161&h=612",1,2
2v,1,"https://generalguitargadgets.com/pdf/ggg_dbox_act_iso_lo1.pdf#page=1&zoom=200,233,522&h=792",1,1
2w,1,"https://generalguitargadgets.com/pdf/ggg_dbox_act_iso_lo2.pdf#page=1&zoom=200,234,543&h=792",1,1
2x,2,"https://generalguitargadgets.com/pdf/ggg_eq6b_bom.pdf#page=2&zoom=200,374,303&h=792",0,2
2y,1,"https://generalguitargadgets.com/pdf/ggg_eq6b_sc.pdf#page=1&zoom=200,441,489&h=612",1,2
2z,1,"https://generalguitargadgets.com/pdf/ggg_eq6b_lo1.pdf#page=1&zoom=200,364,525&h=792",1,1
3,1,https://generalguitargadgets.com/effects-projects/extras/epfm-book/,0,3
30,1,"https://generalguitargadgets.com/pdf/ggg_eq6b_lo2.pdf#page=1&zoom=200,360,525&h=792",1,1
31,1,"https://generalguitargadgets.com/pdf/ggg_eq6b_lo1_wiring.pdf#page=1&zoom=200,297,428&h=792",1,1
32,1,"https://generalguitargadgets.com/pdf/ggg_eq6b_lo3.pdf#page=1&zoom=200,375,524&h=792",1,1
33,1,"https://generalguitargadgets.com/pdf/ggg_eq6b_lo3_wiring.pdf#page=1&zoom=200,289,437&h=792",1,1
34,1,"https://generalguitargadgets.com/wp-content/uploads/ggg_mobius_trip_analog.pdf#page=1&zoom=200,26,285&h=791",1,1
35,1,"https://generalguitargadgets.com/wp-content/uploads/ggg_mobius_trip_digital.pdf#page=1&zoom=200,327,360&h=791",1,2
36,1,"https://generalguitargadgets.com/pdf/ggg_cabff_sc_orig.pdf#page=1&zoom=200,103,201&h=792",1,2
37,1,"https://generalguitargadgets.com/pdf/ggg_cabff_sc.pdf#page=1&zoom=200,256,529&h=792",1,4
38,1,https://generalguitargadgets.com/wp-content/uploads/cabff_lo.gif,1,2
39,1,"https://generalguitargadgets.com/wp-content/uploads/ggg_sgo_sc.pdf#page=1&zoom=200,227,588&h=792",1,3
3a,1,"https://generalguitargadgets.com/pdf/ggg_ef440_instruct.pdf#page=1&zoom=200,65,33&h=792",0,2
3a,2,"https://generalguitargadgets.com/pdf/ggg_ef440_instruct.pdf#page=2&zoom=200,65,33&h=792",0,1
3a,3,"https://generalguitargadgets.com/pdf/ggg_ef440_instruct.pdf#page=3&zoom=200,65,33&h=792",0,1
3b,1,"https://generalguitargadgets.com/pdf/ggg_ef440_bom.pdf#page=1&zoom=200,65,33&h=792",1,1
3b,2,"https://generalguitargadgets.com/pdf/ggg_ef440_bom.pdf#page=2&zoom=200,353,543&h=792",1,5
3b,3,"https://generalguitargadgets.com/pdf/ggg_ef440_bom.pdf#page=3&zoom=200,65,33&h=792",0,1
3c,1,"https://generalguitargadgets.com/pdf/ggg_ef440_sc.pdf#page=1&zoom=200,294,147&h=612",1,3
3d,1,"https://generalguitargadgets.com/pdf/ggg_ef440_lo.pdf#page=1&zoom=200,61,32&h=792",1,1
3e,1,"https://generalguitargadgets.com/pdf/ggg_ef440_pcb.pdf#page=1&zoom=200,40,31&h=792",0,1
3f,1,"https://generalguitargadgets.com/wp-content/uploads/dr_quack_lo.pdf#page=1&zoom=200,30,262&h=841",1,1
3g,1,"https://generalguitargadgets.com/wp-content/uploads/ggg_nurse_quacky.pdf#page=1&zoom=200,24,491&h=792",0,3
3g,2,"https://generalguitargadgets.com/wp-content/uploads/ggg_nurse_quacky.pdf#page=2&zoom=200,316,458&h=792",1,1
3h,4,"https://generalguitargadgets.com/pdf/ggg_fsh_bom.pdf#page=4&zoom=200,377,524&h=792",1,9
3i,3,"https://generalguitargadgets.com/pdf/ggg_fsh_instruct.pdf#page=3&zoom=200,27,207&h=792",0,2
3i,4,"https://generalguitargadgets.com/pdf/ggg_fsh_instruct.pdf#page=4&zoom=200,27,131&h=792",0,2
