doc,page,url,schematic,parts
0,23,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=23&zoom=200,265,447&h=773",0,2
0,32,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=32&zoom=200,471,91&h=774",1,4
0,33,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=33&zoom=200,54,552&h=773",1,1
0,34,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=34&zoom=200,107,12&h=773",1,3
0,36,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=36&zoom=200,254,166&h=773",1,4
0,38,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=38&zoom=200,108,142&h=774",1,2
0,42,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=42&zoom=200,11,31&h=773",0,2
0,43,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=43&zoom=200,12,154&h=772",1,4
0,48,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=48&zoom=200,355,197&h=773",1,3
0,49,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=49&zoom=200,448,241&h=773",1,1
0,51,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=51&zoom=200,300,43&h=773",1,2
0,54,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=54&zoom=200,65,584&h=773",1,3
0,56,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=56&zoom=200,2,414&h=773",0,1
0,61,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=61&zoom=200,69,68&h=771",1,1
0,65,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=65&zoom=200,219,143&h=771",1,1
0,68,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=68&zoom=200,265,314&h=772",0,1
0,69,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=69&zoom=200,261,281&h=772",1,2
0,70,"https://www.worldradiohistory.com/Archive-Hands-On-Electronics/Hands-On-1984-Fall.pdf#page=70&zoom=200,120,218&h=772",1,7
