doc,page,url,schematic,parts
0,13,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=13&zoom=200,215,348&h=665",0,1
0,15,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=15&zoom=200,206,142&h=665",1,1
0,18,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=18&zoom=200,0,545&h=668",1,1
0,22,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=22&zoom=200,66,508&h=666",1,1
0,24,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=24&zoom=200,98,82&h=666",0,2
0,27,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=27&zoom=200,236,258&h=662",0,3
0,32,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=32&zoom=200,5,484&h=665",1,4
0,37,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=37&zoom=200,28,514&h=666",0,2
0,42,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=42&zoom=200,242,432&h=667",0,1
0,44,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=44&zoom=200,143,511&h=669",0,1
0,45,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=45&zoom=200,222,137&h=665",0,1
0,47,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=47&zoom=200,30,76&h=668",0,1
0,48,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=48&zoom=200,153,224&h=667",1,2
0,49,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=49&zoom=200,222,327&h=662",0,1
0,50,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=50&zoom=200,461,503&h=668",1,2
0,55,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=55&zoom=200,293,366&h=665",0,1
0,57,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=57&zoom=200,227,150&h=662",0,2
0,60,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=60&zoom=200,216,85&h=665",0,1
0,62,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=62&zoom=200,132,290&h=665",0,1
0,69,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=69&zoom=200,133,430&h=670",1,2
0,94,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1970.pdf#page=94&zoom=200,243,272&h=667",1,1
1,9,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1971.pdf#page=9&zoom=200,226,252&h=666",0,2
1,15,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1971.pdf#page=15&zoom=200,230,372&h=667",0,1
1,23,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1971.pdf#page=23&zoom=200,169,180&h=664",1,1
1,24,"https://www.worldradiohistory.com/BOOKSHELF-ARH/Technology/Hobbyist-Specials/101-Electronics%20Projects-1971.pdf#page=24&zoom=200,211,539&h=665",1,1
