doc,page,url,schematic,parts
0,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1997/Error%20feedback%20in%20audio%20power.pdf#page=3&zoom=200,365,226&h=794",0,3
1,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1997/300V%20us%20power.pdf#page=2&zoom=200,78,446&h=822",1,5
1,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1997/300V%20us%20power.pdf#page=3&zoom=200,259,121&h=822",1,7
1,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1997/300V%20us%20power.pdf#page=4&zoom=200,158,440&h=822",0,2
1,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1997/300V%20us%20power.pdf#page=5&zoom=200,0,104&h=822",0,2
10,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Frequency%20Shifter%20For%20Howl%20Suppression.pdf#page=3&zoom=200,347,290&h=794",0,1
11,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Audio%20Power%20amplifier.pdf#page=1&zoom=200,367,221&h=842",0,1
12,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Distortion%20Reducer.pdf#page=2&zoom=200,166,393&h=794",1,1
12,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/Distortion%20Reducer.pdf#page=4&zoom=200,0,429&h=794",0,4
13,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/The%20Semiconductor%20Story.pdf#page=5&zoom=200,0,512&h=842",0,3
13,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/The%20Semiconductor%20Story.pdf#page=6&zoom=200,179,27&h=842",0,5
13,8,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/The%20Semiconductor%20Story.pdf#page=8&zoom=200,0,328&h=842",0,1
13,9,"https://keith-snook.info/wireless-world-articles/Wireless-World-1973/The%20Semiconductor%20Story.pdf#page=9&zoom=200,0,516&h=842",0,1
14,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1972/The%20Wireless%20World%20Desk%20Calculator.pdf#page=5&zoom=200,38,460&h=794",0,1
15,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1972/Low-noise%20Audio%20Amplifiers%20-%20H%20P%20Walker.pdf#page=3&zoom=200,287,2&h=794",0,4
15,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1972/Low-noise%20Audio%20Amplifiers%20-%20H%20P%20Walker.pdf#page=4&zoom=200,387,501&h=794",0,1
16,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Electrostatic%20Headphone%20Design.pdf#page=4&zoom=200,426,84&h=794",1,1
17,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/The%20Liniac%20by%20John%20L%20Linsley%20Hood.pdf#page=1&zoom=200,466,365&h=794",0,1
17,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/The%20Liniac%20by%20John%20L%20Linsley%20Hood.pdf#page=2&zoom=200,357,99&h=794",0,4
17,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/The%20Liniac%20by%20John%20L%20Linsley%20Hood.pdf#page=3&zoom=200,218,5&h=794",0,6
17,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/The%20Liniac%20by%20John%20L%20Linsley%20Hood.pdf#page=4&zoom=200,444,0&h=794",1,2
17,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/The%20Liniac%20by%20John%20L%20Linsley%20Hood.pdf#page=5&zoom=200,0,473&h=794",0,5
18,7,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Ceramic%20Pickup%20Equalisation.pdf#page=7&zoom=200,259,61&h=794",0,1
19,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf#page=2&zoom=200,0,730&h=794",0,4
19,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf#page=3&zoom=200,164,726&h=794",1,9
19,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf#page=4&zoom=200,0,559&h=794",0,6
19,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf#page=5&zoom=200,165,186&h=794",0,1
19,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf#page=6&zoom=200,0,730&h=794",1,1
19,7,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf#page=7&zoom=200,0,728&h=794",1,1
19,9,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Stereo%20Mixer%20by%20H%20P%20Walker.pdf#page=9&zoom=200,162,6&h=794",0,6
1a,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/FM%20Stereo%20Tuner%20by%20L%20Nelson-Jones.pdf#page=6&zoom=200,345,714&h=794",0,6
1a,11,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/FM%20Stereo%20Tuner%20by%20L%20Nelson-Jones.pdf#page=11&zoom=200,171,311&h=794",0,3
1b,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Low%20Distortion%20Tone-control%20Circuit%20by%20P%20M%20Quilter.pdf#page=1&zoom=200,353,260&h=794",0,1
1b,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/Low%20Distortion%20Tone-control%20Circuit%20by%20P%20M%20Quilter.pdf#page=2&zoom=200,0,449&h=794",0,2
1c,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1971/High-gain%20Audio%20Voltage%20Amplifier%20-%20D%20Leblebici.pdf#page=1&zoom=200,163,632&h=794",0,1
1d,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/Simple%20Class%20A%20Amplifier%20and%20Modular%20Pre-amp%20J%20L%20Linsley%20Hood.pdf#page=1&zoom=200,250,278&h=794",0,7
1d,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/Simple%20Class%20A%20Amplifier%20and%20Modular%20Pre-amp%20J%20L%20Linsley%20Hood.pdf#page=2&zoom=200,255,330&h=794",0,8
1d,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/Simple%20Class%20A%20Amplifier%20and%20Modular%20Pre-amp%20J%20L%20Linsley%20Hood.pdf#page=3&zoom=200,150,73&h=794",1,2
1d,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/Simple%20Class%20A%20Amplifier%20and%20Modular%20Pre-amp%20J%20L%20Linsley%20Hood.pdf#page=4&zoom=200,256,467&h=794",0,5
1d,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/Simple%20Class%20A%20Amplifier%20and%20Modular%20Pre-amp%20J%20L%20Linsley%20Hood.pdf#page=5&zoom=200,0,101&h=794",0,3
1d,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/Simple%20Class%20A%20Amplifier%20and%20Modular%20Pre-amp%20J%20L%20Linsley%20Hood.pdf#page=6&zoom=200,234,294&h=794",0,3
1e,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/15-20W%20Class%20AB%20Audio%20Amplifier.pdf#page=2&zoom=200,167,42&h=794",0,3
1e,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/15-20W%20Class%20AB%20Audio%20Amplifier.pdf#page=4&zoom=200,95,21&h=794",0,4
1f,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1970/Class%20Distinction%20in%20Audio%20Amplifiers.pdf#page=2&zoom=200,0,551&h=794",0,1
1g,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Modular%20Pre-amplifier%20Design-DCD.pdf#page=4&zoom=200,0,702&h=799",0,8
1h,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Simple%20Class%20A%20Amplifier.pdf#page=2&zoom=200,336,211&h=789",1,2
1h,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Simple%20Class%20A%20Amplifier.pdf#page=3&zoom=200,0,600&h=788",0,4
1h,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Simple%20Class%20A%20Amplifier.pdf#page=4&zoom=200,0,0&h=792",0,8
1h,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Simple%20Class%20A%20Amplifier.pdf#page=5&zoom=200,60,62&h=791",0,2
1i,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Solid-State%20Oscilloscope%20-%20Michael%20Phillips.pdf#page=3&zoom=200,238,514&h=787",1,5
1i,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Solid-State%20Oscilloscope%20-%20Michael%20Phillips.pdf#page=4&zoom=200,353,145&h=787",1,4
1i,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1969/Solid-State%20Oscilloscope%20-%20Michael%20Phillips.pdf#page=5&zoom=200,357,64&h=789",0,2
1j,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/Noise%20in%20Transistor%20Circuits%20-%20P%20J%20Baxandall.pdf#page=6&zoom=200,360,619&h=794",0,1
1j,8,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/Noise%20in%20Transistor%20Circuits%20-%20P%20J%20Baxandall.pdf#page=8&zoom=200,170,222&h=794",0,1
1j,9,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/Noise%20in%20Transistor%20Circuits%20-%20P%20J%20Baxandall.pdf#page=9&zoom=200,447,183&h=794",0,5
1k,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/High%20Input-Impedance%20Amplifier%20Circuits.pdf#page=1&zoom=200,358,220&h=792",0,1
1k,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/High%20Input-Impedance%20Amplifier%20Circuits.pdf#page=2&zoom=200,167,360&h=798",0,1
1k,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/High%20Input-Impedance%20Amplifier%20Circuits.pdf#page=3&zoom=200,401,639&h=801",0,2
1k,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/High%20Input-Impedance%20Amplifier%20Circuits.pdf#page=4&zoom=200,239,301&h=796",1,2
1k,5,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/High%20Input-Impedance%20Amplifier%20Circuits.pdf#page=5&zoom=200,0,517&h=788",1,1
1l,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/Wide-range%20General%20Purpose%20Signal%20Generator.pdf#page=3&zoom=200,267,103&h=808",1,4
1l,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/Wide-range%20General%20Purpose%20Signal%20Generator.pdf#page=6&zoom=200,0,560&h=808",0,6
1m,7,"https://keith-snook.info/wireless-world-articles/Wireless-World-1968/New%20B.B.C.%20Monitoring%20Loudspeaker.pdf#page=7&zoom=200,91,515&h=808",0,1
1n,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1967/A%20Stereo%20Decoder.pdf#page=4&zoom=200,286,431&h=680",1,14
1n,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1967/A%20Stereo%20Decoder.pdf#page=6&zoom=200,226,375&h=680",0,5
1o,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/A.F.%20Amplification%20with%20the%20Cascode.pdf#page=4&zoom=200,236,346&h=680",0,3
1p,8,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=8&zoom=200,226,175&h=752",1,1
1p,17,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=17&zoom=200,279,603&h=752",0,2
1p,22,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=22&zoom=200,430,552&h=752",1,1
1p,23,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=23&zoom=200,266,187&h=752",0,1
1p,25,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=25&zoom=200,384,339&h=752",1,3
1p,26,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=26&zoom=200,175,494&h=752",1,1
1p,27,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=27&zoom=200,137,61&h=752",1,2
1p,28,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=28&zoom=200,413,43&h=752",1,2
1p,43,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%20June%201966.PDF#page=43&zoom=200,354,306&h=752",0,1
1q,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%201966%20Dec%20Letters%20to%20the%20Editor.pdf#page=3&zoom=200,222,164&h=652",0,1
1q,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1966/WW%201966%20Dec%20Letters%20to%20the%20Editor.pdf#page=6&zoom=200,224,515&h=652",0,3
1r,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1965/Transistor%20High%20Quality%20Audio%20Amplifier.pdf#page=2&zoom=200,229,282&h=666",0,3
1s,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1963/New%20Low-Noise%20Transistor%20Circuit%20for%20Electrostatic%20Microphones.pdf#page=4&zoom=200,204,35&h=680",0,2
1s,8,"https://keith-snook.info/wireless-world-articles/Wireless-World-1963/New%20Low-Noise%20Transistor%20Circuit%20for%20Electrostatic%20Microphones.pdf#page=8&zoom=200,0,220&h=680",0,1
1s,10,"https://keith-snook.info/wireless-world-articles/Wireless-World-1963/New%20Low-Noise%20Transistor%20Circuit%20for%20Electrostatic%20Microphones.pdf#page=10&zoom=200,219,3&h=680",0,1
1t,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1962/New%20Phase-Splitter%20-%20A%20R%20Bailey.pdf#page=2&zoom=200,5,565&h=842",0,1
1t,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1962/New%20Phase-Splitter%20-%20A%20R%20Bailey.pdf#page=4&zoom=200,270,493&h=842",0,2
1u,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1961/Transistor%20Audio%20Power%20Amplifier.pdf#page=4&zoom=200,373,179&h=660",0,9
1v,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1961/Parametric%20Amplification%20with%20transistors.pdf#page=1&zoom=200,44,404&h=666",0,1
1v,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1961/Parametric%20Amplification%20with%20transistors.pdf#page=2&zoom=200,50,293&h=680",0,8
1w,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1956/Automatic%20Wavemeter%20Calibration.pdf#page=1&zoom=200,2,194&h=841",0,1
1x,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1956/Disc%20Recording%20Characteristics%20RIAA%20-%20W%20H%20Livy.pdf#page=3&zoom=200,34,321&h=660",0,3
1y,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1956/Cascode%20A.F.%20Amplifier%20-%20Long-tailed%20cascode%20pair.pdf#page=3&zoom=200,11,217&h=666",0,3
1y,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1956/Cascode%20A.F.%20Amplifier%20-%20Long-tailed%20cascode%20pair.pdf#page=4&zoom=200,211,477&h=666",0,1
1z,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1955/Neon%20F.M.%20Tuning%20Indicator.pdf#page=2&zoom=200,220,576&h=660",0,1
2,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1996/Class-A%20power.pdf#page=1&zoom=200,199,594&h=808",0,1
2,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1996/Class-A%20power.pdf#page=2&zoom=200,158,542&h=808",0,1
2,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1996/Class-A%20power.pdf#page=3&zoom=200,0,578&h=808",1,2
2,4,"https://keith-snook.info/wireless-world-articles/Wireless-World-1996/Class-A%20power.pdf#page=4&zoom=200,0,402&h=813",0,1
20,6,"https://keith-snook.info/wireless-world-articles/Wireless-World-1955/Distortion%20-%20Output%20Transformer%20Design.pdf#page=6&zoom=200,0,163&h=680",0,1
21,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1954/Valve%20Codes%20Wireless%20World%201954.pdf#page=1&zoom=200,0,464&h=660",0,6
21,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1954/Valve%20Codes%20Wireless%20World%201954.pdf#page=2&zoom=200,212,0&h=660",0,1
21,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1954/Valve%20Codes%20Wireless%20World%201954.pdf#page=3&zoom=200,212,355&h=660",0,2
22,3,"https://keith-snook.info/wireless-world-articles/Wireless-World-1952/Amplifiers-and-Superlatives.pdf#page=3&zoom=200,7,647&h=842",0,1
23,1,"https://keith-snook.info/wireless-world-articles/Wireless-World-1952/Valve%20Voltmeter%20-%20without%20calibration%20drift.pdf#page=1&zoom=200,212,334&h=666",0,1
23,2,"https://keith-snook.info/wireless-world-articles/Wireless-World-1952/Valve%20Voltmeter%20-%20without%20calibration%20drift.pdf#page=2&zoom=200,0,398&h=666",0,1
