doc,page,url,schematic,parts
0,1,https://www.limpkin.fr/index.php?post/2024/03/24/A-Small-Line-Injector-to-Measure-PSRR,0,2
1,1,https://www.limpkin.fr/index.php?/page/2,0,1
10,1,https://www.limpkin.fr/public/sa_ampl/noise_spectrum_gain_compared_to_ada4898.PNG,0,2
11,1,"https://www.limpkin.fr/public/a5_repair/a5_amplifier_board_schematics.pdf#page=1&zoom=200,295,276&h=595",1,3
12,1,"https://www.limpkin.fr/public/a5_repair/a5_input_stage_board_schematics.pdf#page=1&zoom=200,280,461&h=595",1,34
13,1,https://www.limpkin.fr/public/cdm324/cdm324_ampl_innosent.png,1,1
14,1,https://www.limpkin.fr/public/cdm324/cdm324_ampl_ebay.jpg,1,1
15,1,https://www.limpkin.fr/public/cdm324/.cdm324_ampl_innosent_m.png,1,1
16,1,https://www.limpkin.fr/public/cdm324/.cdm324_ampl_ebay_m.jpg,1,1
17,5,"https://www.limpkin.fr/public/HB100/HB100-Microwave-Sensor-Application-Note.pdf#page=5&zoom=200,377,229&h=792",1,1
18,1,http://limpkin.fr/public/led_matrix_schem.png,0,3
19,1,http://www.limpkin.fr/public/led_schem.png,1,2
1a,1,https://www.limpkin.fr/public/easyphi/logic_gate_xpoint.png,1,1
1b,1,https://www.limpkin.fr/public/easyphi/.logic_gate_xpoint_m.jpg,1,1
1c,1,https://www.limpkin.fr/public/easyphi/univinput_fpga.png,1,1
1d,16,"https://www.limpkin.fr/public/rapport_I_III.pdf#page=16&zoom=200,36,227&h=842",0,1
1e,1,https://www.limpkin.fr/public/.galvo_sensor_signal_adjusting_schem_m.jpg,1,1
1f,1,https://www.limpkin.fr/public/ECU_UC.PNG,1,1
1g,1,"https://www.limpkin.fr/public/Ecu_Schem.pdf#page=1&zoom=200,376,199&h=595",1,1
1g,2,"https://www.limpkin.fr/public/Ecu_Schem.pdf#page=2&zoom=200,94,482&h=595",1,3
1g,6,"https://www.limpkin.fr/public/Ecu_Schem.pdf#page=6&zoom=200,277,344&h=595",1,1
1h,1,https://www.limpkin.fr/public/esp8266/esp8266.png,0,1
1i,1,https://www.limpkin.fr/public/esp8266/esp8266_schematics.png,1,1
1j,1,"https://www.limpkin.fr/public/the_beast/schematics_v3.pdf#page=1&zoom=200,679,264&h=595",1,2
1k,1,https://www.limpkin.fr/public/board.png,1,1
2,1,https://www.limpkin.fr/index.php?feed/atom,0,16
3,1,https://www.limpkin.fr/index.php?post/2022/03/31/CDM324-Doppler-Motion-Sensor-Backpack%2C-now-with-FFTs%21,0,3
4,1,https://www.limpkin.fr/index.php?category/My-Projects/page/2,0,1
5,1,https://www.limpkin.fr/index.php?post/2022/09/20/The-Low-Noise-Amplifier-Board,0,5
6,1,https://www.limpkin.fr/index.php?post/2021/05/24/The-IN-9-Nixie-Clock,0,1
7,1,https://www.limpkin.fr/index.php?tag/ESP8266,0,1
8,1,https://www.limpkin.fr/index.php?tag/FPGA,0,1
9,1,https://www.limpkin.fr/index.php?tag/Nixie,0,1
a,1,https://www.limpkin.fr/index.php?/page/3,0,1
b,1,https://www.limpkin.fr/index.php?post/2017/02/22/Making-the-Electronics-for-a-24GHz-Doppler-Motion-Sensor,0,2
c,1,https://www.limpkin.fr/index.php?category/My-Projects/page/3,0,1
d,1,https://www.limpkin.fr/index.php?post/2013/08/09/Making-the-electronics-for-a-%247-USD-doppler-motion-sensor,0,6
e,1,https://www.limpkin.fr/index.php?post/2017/07/24/Project-In-A-Day%3A-When-Is-My-Next-Bus,0,3
f,1,https://www.limpkin.fr/index.php?tag/esp8266,0,1
g,1,https://www.limpkin.fr/index.php?post/2016/04/17/A-Small-Collection-of-NodeMCU-Lua-Scripts-for-Data-Collection,0,1
h,1,https://www.limpkin.fr/index.php?/page/4,0,1
i,1,https://www.limpkin.fr/index.php?category/My-Projects/page/4,0,1
j,1,https://www.limpkin.fr/index.php?post/2012/08/12/Current-controlled-boost-LED-driver-and-black-soldermasks,0,3
k,1,https://www.limpkin.fr/index.php?post/2014/06/16/My-business-card-v2,0,1
l,1,https://www.limpkin.fr/index.php?post/2015/08/30/A-Connected-Clock-to-Wake-Me-Up,0,1
m,1,https://www.limpkin.fr/index.php?tag/DC-DC,0,1
n,1,https://www.limpkin.fr/index.php?tag/RGB%20LEDs,0,1
o,1,https://www.limpkin.fr/index.php?post/2014/11/27/A-Development-Board-for-the-ESP8266-03,0,1
p,1,https://www.limpkin.fr/index.php?tag/dev%20board,0,1
q,1,https://www.limpkin.fr/index.php?/page/5,0,1
r,1,https://www.limpkin.fr/index.php?post/2014/12/17/Trying-to-Make-a-Tiny-NFC-Reader-with-a-TRF7970A,0,1
s,1,https://www.limpkin.fr/index.php?category/My-Projects/page/5,0,1
t,1,https://www.limpkin.fr/index.php?post/2012/01/17/Indoor-solar-energy-harvesting%3A-the-december-numbers,0,1
u,1,https://www.limpkin.fr/public/max16834/MAX16834_BOOST_DCM_updated.xmcd,0,3
v,1,https://www.limpkin.fr/index.php?post/2013/11/07/The-Beast%3A-who-needs-an-OS-anyways,0,2
w,1,https://www.limpkin.fr/index.php?post/2008/11/02/The-RGBW-lighted-carved-plastic-glass-and-its-power-supply,0,1
x,1,https://www.limpkin.fr/public/project_presentation.ppt,0,16
y,1,https://www.limpkin.fr/index.php?post/2014/12/07/First-Steps-with-the-ESP8266-03-Development-Board,0,1
z,1,https://www.limpkin.fr/public/sa_ampl/noise_spectrum_gain.PNG,0,1
