doc,page,url,schematic,parts
0,1,https://www.ludens.cl/Electron/Ps20/Ps20.html,0,1
1,1,https://www.ludens.cl/Electron/latsup/latsup.html,0,1
10,1,https://www.ludens.cl/Electron/Ps20/ps20.gif,1,4
11,1,https://www.ludens.cl/Electron/PS40/Figure1.gif,1,7
12,1,https://www.ludens.cl/Electron/latsup/latsup.png,1,6
13,1,https://www.ludens.cl/Electron/dcdc/dcdc120.gif,1,4
14,1,https://www.ludens.cl/Electron/dcdc/dcdc121v.gif,0,1
15,1,https://www.ludens.cl/Electron/12Vcharger/12VTO12V.gif,1,5
16,1,https://www.ludens.cl/Electron/12Vcharger/12VTO12Vsmall.gif,1,4
17,1,https://www.ludens.cl/Electron/Fluolamp/fluo20.gif,0,1
18,1,https://www.ludens.cl/Electron/Fluolamp/Fluo2.gif,0,1
19,1,https://www.ludens.cl/Electron/Fluolamp/fluo8.gif,0,1
1a,1,https://www.ludens.cl/Electron/Fluolamp/fluo20small.gif,0,1
1b,1,https://www.ludens.cl/Electron/Fluolamp/Fluo2small.gif,0,1
1c,1,https://www.ludens.cl/Electron/Fluolamp/fluo8small.gif,0,1
1d,1,https://www.ludens.cl/Electron/ledlamp/ledlamp.gif,1,3
1e,1,https://www.ludens.cl/Electron/ledlamp/llsch.png,1,5
1f,1,https://www.ludens.cl/Electron/solarreg/solarreg.gif,1,2
1g,1,https://www.ludens.cl/Electron/solar2/SOLREGSW.gif,1,2
1h,1,https://www.ludens.cl/Electron/dynareg/dynareg.gif,1,7
1i,1,https://www.ludens.cl/Electron/dynareg/dynaregsmall.gif,1,6
1j,1,https://www.ludens.cl/Electron/AVR/AVR.png,0,3
1k,1,https://www.ludens.cl/Electron/AVR2/AVRhw.png,1,3
1l,1,https://www.ludens.cl/Electron/AVR2/justAVR.png,1,3
1m,1,https://www.ludens.cl/Electron/picelc/picelc.png,1,4
1n,1,https://www.ludens.cl/Electron/spotwelder/Spotwelder.png,1,3
1o,1,https://www.ludens.cl/Electron/spotwelder/Spotweldersmall.png,1,3
1p,1,https://www.ludens.cl/Electron/T12tempcont/T12tempcont.png,1,3
1q,1,https://www.ludens.cl/Electron/T12tempcont/T12tempcontsmall.png,1,3
1r,1,https://www.ludens.cl/Electron/audioamps/LM386.gif,1,1
1s,1,https://www.ludens.cl/Electron/audioamps/optrans.gif,1,3
1t,1,https://www.ludens.cl/Electron/audioamps/optransbias.gif,1,6
1u,1,https://www.ludens.cl/Electron/Speakers/Aco.gif,1,12
1v,1,https://www.ludens.cl/Electron/Speakers/aconew.png,1,6
1w,1,https://www.ludens.cl/Electron/pqd5/PQDBLOC.gif,0,12
1x,1,https://www.ludens.cl/Electron/pqd5/PQD5.gif,1,14
1y,1,https://www.ludens.cl/Electron/pqd5/pqdblocsmall.gif,0,10
1z,1,https://www.ludens.cl/Electron/pqd5/PQD5small.gif,1,7
2,1,https://www.ludens.cl/Electron/dcdc/dcdc.html,0,2
20,1,https://www.ludens.cl/Electron/swr/Swr.gif,1,1
21,1,https://www.ludens.cl/Electron/converter/144to50.gif,1,3
22,1,https://www.ludens.cl/Electron/converter/144to50small.gif,1,3
23,1,https://www.ludens.cl/Electron/fodtrack/USB-Rotator.png,1,2
24,1,https://www.ludens.cl/Electron/fodtrack/USB-FT736.png,0,1
25,1,https://www.ludens.cl/Electron/fodtrack/ROTORINT.GIF,1,7
26,1,https://www.ludens.cl/Electron/fodtrack/RS232Y.GIF,0,2
27,1,https://www.ludens.cl/Electron/fodtrack/USB-Rotator_small.png,1,2
28,1,https://www.ludens.cl/Electron/fodtrack/USB-FT736_small.png,0,1
29,1,https://www.ludens.cl/Electron/fodtrack/ROTINTFs.GIF,1,7
2a,1,https://www.ludens.cl/Electron/fodtrack/RS232Ys.GIF,0,1
2b,1,https://www.ludens.cl/Electron/fts8/FTS8.png,1,1
2c,1,https://www.ludens.cl/Electron/voiceID/VOICEID.png,1,3
2d,1,https://www.ludens.cl/Electron/SDR/SDR-1200Env2.png,1,7
2e,1,https://www.ludens.cl/Electron/SDR/SDR-1200Env3.png,1,7
2f,1,https://www.ludens.cl/Electron/SDR/SDR-1200Env2small.png,1,10
2g,1,https://www.ludens.cl/Electron/50Wamp/RP50Wampwm.png,1,5
2h,1,https://www.ludens.cl/Electron/50Wamp/1ststage.png,0,1
2i,1,https://www.ludens.cl/Electron/50Wamp/switchingandbias.png,1,4
2j,1,https://www.ludens.cl/Electron/amrx/AMRX1.png,1,4
2k,1,https://www.ludens.cl/Electron/amtx/amtx.png,1,7
2l,1,https://www.ludens.cl/Electron/fmtx/mux.png,1,6
2m,1,https://www.ludens.cl/Electron/fmtx/exc.png,1,6
2n,1,https://www.ludens.cl/Electron/fmtx/pa.png,1,3
2o,1,https://www.ludens.cl/Electron/esr/esr.gif,1,3
2p,1,https://www.ludens.cl/Electron/esr/esrsmall.gif,1,3
2q,1,https://www.ludens.cl/Electron/lmeter/LMETER.png,1,2
2r,1,https://www.ludens.cl/Electron/lmeter/LMETERsmall.png,1,2
2s,1,https://www.ludens.cl/Electron/CoreLossMeter/IndTestGen.png,0,3
