doc,page,url,schematic,parts
0,22,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=22&zoom=200,349,346&h=790",0,1
0,23,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=23&zoom=200,104,37&h=792",1,4
0,24,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=24&zoom=200,3,70&h=790",0,2
0,30,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=30&zoom=200,0,337&h=790",0,1
0,48,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=48&zoom=200,0,520&h=790",0,1
0,51,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=51&zoom=200,0,580&h=791",1,3
0,52,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=52&zoom=200,61,562&h=791",1,4
0,68,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=68&zoom=200,344,352&h=789",0,1
0,71,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=71&zoom=200,382,32&h=792",1,1
0,74,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-04.pdf#page=74&zoom=200,57,392&h=790",1,5
1,41,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=41&zoom=200,21,37&h=794",0,2
1,42,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=42&zoom=200,142,24&h=793",1,1
1,44,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=44&zoom=200,428,586&h=792",1,3
1,57,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=57&zoom=200,353,653&h=795",0,1
1,58,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=58&zoom=200,13,217&h=793",0,4
1,60,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=60&zoom=200,2,145&h=793",1,3
1,61,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=61&zoom=200,323,43&h=795",0,2
1,70,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Computer-Craft-1991-06.pdf#page=70&zoom=200,325,182&h=793",1,2
10,21,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=21&zoom=200,199,156&h=790",1,3
10,26,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=26&zoom=200,281,76&h=789",1,1
10,28,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=28&zoom=200,269,83&h=789",1,1
10,47,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=47&zoom=200,356,545&h=788",0,1
10,49,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=49&zoom=200,471,208&h=791",1,3
10,50,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=50&zoom=200,361,436&h=789",0,1
10,53,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=53&zoom=200,164,339&h=790",1,3
10,59,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=59&zoom=200,331,570&h=791",0,1
10,75,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=75&zoom=200,13,268&h=789",0,1
10,76,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-06.pdf#page=76&zoom=200,241,239&h=790",0,2
11,7,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=7&zoom=200,345,240&h=793",0,1
11,14,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=14&zoom=200,9,394&h=790",0,2
11,23,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=23&zoom=200,181,389&h=788",1,3
11,25,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=25&zoom=200,302,40&h=791",0,2
11,29,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=29&zoom=200,216,82&h=1315",1,1
11,35,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=35&zoom=200,9,624&h=788",1,3
11,43,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=43&zoom=200,85,79&h=789",1,4
11,44,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=44&zoom=200,177,176&h=790",0,3
11,46,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=46&zoom=200,259,512&h=791",1,2
11,47,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=47&zoom=200,5,405&h=789",0,1
11,58,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=58&zoom=200,0,83&h=793",1,4
11,59,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=59&zoom=200,94,546&h=792",1,2
11,60,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=60&zoom=200,68,189&h=793",1,2
11,62,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=62&zoom=200,170,665&h=792",0,1
11,63,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=63&zoom=200,364,667&h=791",0,1
11,64,"https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-08.pdf#page=64&zoom=200,0,166&h=793",0,2
