doc,page,url,schematic,parts
0,1,https://neurochrome.com/,0,2
1,1,https://neurochrome.com/products/modulus-86,0,2
10,1,https://neurochrome.com/collections/power-amplifiers/products/modulus-86,0,2
11,1,https://neurochrome.com/collections/chassis-parts/products/output-inductor,0,1
12,1,https://neurochrome.com/collections/power-amplifiers/products/modulus-286,0,2
13,1,https://neurochrome.com/collections/power-amplifiers/products/modulus-86-10th-anniversary-edition,0,3
14,1,https://neurochrome.com/collections/power-amplifiers/products/lm3886-done-right,0,1
15,1,https://neurochrome.com/collections/buffers-preamps/products/purifi-1et400a-hypex-nc500-input-buffer,0,4
16,1,https://neurochrome.com/collections/preamps-headphone-amps/products/hp-2,0,2
17,1,https://neurochrome.com/collections/preamps-headphone-amps/products/hp-22,0,2
18,1,https://neurochrome.com/collections/power-supplies/products/21st-century-maida-regulator,0,1
19,1,https://neurochrome.com/collections/chassis-parts/products/keratherm-red-86-82,0,1
1a,1,https://neurochrome.com/collections/chassis-parts/products/purifi-hypex-voltage-regulator,0,4
1b,1,https://neurochrome.com/collections/vendors/products/21st-century-maida-regulator,0,1
1c,1,https://neurochrome.com/collections/vendors/products/hp-2,0,2
1d,1,https://neurochrome.com/collections/vendors/products/hp-22,0,2
1e,1,https://neurochrome.com/collections/vendors/products/keratherm-red-86-82,0,1
1f,1,https://neurochrome.com/collections/vendors/products/lm3886-done-right,0,1
1g,1,https://neurochrome.com/collections/vendors/products/modulus-286,0,2
1h,1,https://neurochrome.com/collections/vendors/products/modulus-686,0,2
1i,1,https://neurochrome.com/collections/vendors/products/modulus-86-10th-anniversary-edition,0,3
1j,1,https://neurochrome.com/collections/vendors/products/modulus-86,0,2
1k,1,https://neurochrome.com/collections/vendors/products/output-inductor,0,1
1l,1,https://neurochrome.com/collections/vendors/products/power-86,0,1
1m,1,https://neurochrome.com/collections/featured-products/products/modulus-86,0,2
1n,1,https://neurochrome.com/collections/featured-products/products/modulus-286,0,2
1o,1,https://neurochrome.com/collections/featured-products/products/power-86,0,1
1p,1,https://neurochrome.com/collections/featured-products/products/modulus-86-10th-anniversary-edition,0,3
1q,1,https://neurochrome.com/collections/vendors/products/purifi-1et400a-hypex-nc500-input-buffer,0,4
1r,1,https://neurochrome.com/collections/vendors/products/purifi-hypex-voltage-regulator,0,4
1s,1,https://neurochrome.com/collections/vendors?page=1&q=Neurochrome&grid_list,0,3
1t,1,https://neurochrome.com/cdn/shop/files/MOD286_R3p0_Module_2048x1368.jpg?v=1742067301,1,1
1u,1,https://cdn.shopify.com/s/files/1/0047/7488/7470/files/HPA-1_BlockDiagram.png?v=1582482359,0,2
1v,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/MOD86_R3p0_BlockDiagram_1024x1024.png?v=1632166541,0,2
1w,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/MOD86_AE_R1p0_BlockDiagram.png?v=1725148047,0,3
1x,1,https://neurochrome.com/cdn/shop/files/MOD286_R3p0_Module_2394x1596.jpg?v=1742067301,1,1
1y,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/MOD286_R3p0_BlockDiagram.png?v=1727655559,0,2
1z,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/MOD686_BlockDiagram_600x600.png?v=1569112057,0,3
2,1,https://neurochrome.com/products/modulus-86-10th-anniversary-edition,0,3
20,1,https://neurochrome.com/cdn/shop/files/LM3886DR_Stereo_Kit_2394x1596.jpg?v=1743300467,1,3
21,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/BlockDiagram_R1p2_600x600.png?v=1743295874,0,1
22,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/Universal_Purifi_Buffer_BlockDiagram.png?v=1743707722,0,3
23,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/PuriPex_BlockDiagram_600x600.png?v=1588822889,0,3
24,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/UniBuff_BlockDiagram_600x600.png?v=1576804937,0,3
25,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/HP-2_BlockDiagram_600x600.png?v=1574376955,0,2
26,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/HP-22_BlockDiagram.png?v=1607305218,0,2
27,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/AmpComparison_1024.png?v=1620757687,0,1
28,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_PoorLayoutImpact.png?v=1569014167,0,1
29,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_Lout30nH_Cload20nF_PM.png?v=1569014277,1,1
2a,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_ZobelNetworkImpact.png?v=1569014425,0,1
2b,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_DualZobelImpact.png?v=1569014505,0,1
2c,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_Ckt2_vs_Mod_PMGM.png?v=1569014780,0,1
2d,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_Bypassing_100n_10u_1000u.png?v=1569015988,1,1
2e,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_Bypassing_4u7_22u_1000u.png?v=1569016080,0,1
2f,1,https://cdn.shopify.com/s/files/1/0036/4960/1606/files/LM3886_Grounding_GNDSTAR.png?v=1569019186,0,1
