doc,page,url,schematic,parts
0,1,https://www.passdiy.com/project/amplifiers/a40-part-substitutions,0,10
1,1,https://www.passdiy.com/project/amplifiers/a75-part-1,0,1
10,1,https://www.passdiy.com/projects/images/content/citation17.png,1,1
11,1,https://www.passdiy.com/projects/images/content/amazing_9.png,0,1
12,1,https://www.passdiy.com/projects/images/content/amazing_10.png,1,1
13,1,https://www.passdiy.com/projects/images/content/cascode_7.png,0,1
14,1,https://www.passdiy.com/projects/images/content/cascode_8.png,0,1
15,1,https://www.passdiy.com/projects/images/content/classa_amp9.png,0,4
16,1,https://www.passdiy.com/projects/images/content/diyopamp10.png,0,1
17,1,https://www.passdiy.com/projects/images/content/diyopamp11.png,1,2
18,1,https://www.passdiy.com/projects/images/content/diyopamp14.png,0,3
19,1,https://www.passdiy.com/projects/images/content/diyopamp15.png,1,1
1a,1,https://www.passdiy.com/projects/images/content/a_6.png,1,5
1b,1,https://www.passdiy.com/projects/images/content/plh_amplifier8.png,1,2
1c,1,https://www.passdiy.com/projects/images/content/plh_amplifier13.png,1,2
1d,1,https://www.passdiy.com/projects/images/content/zenamp_2.png,1,3
1e,1,https://www.passdiy.com/projects/images/content/zenlite_1.png,1,1
1f,1,https://www.passdiy.com/projects/images/content/zenlite_3.png,0,1
1g,1,https://www.passdiy.com/projects/images/content/zenlite_6.png,0,1
1h,1,https://www.passdiy.com/projects/images/content/zenlite_8.png,1,1
1i,1,https://www.passdiy.com/projects/images/content/zenlite_9.png,1,1
1j,1,https://www.passdiy.com/projects/images/content/zenlite_14.png,0,1
1k,1,https://www.passdiy.com/projects/images/content/zenlite_15.png,1,1
1l,1,https://www.passdiy.com/projects/images/content/zenlite_16.png,1,1
1m,1,https://www.passdiy.com/projects/images/content/ver2_1.png,1,3
1n,1,https://www.passdiy.com/projects/images/content/ver2_2.png,1,2
1o,1,https://www.passdiy.com/projects/images/content/ver2_6.png,1,2
1p,1,https://www.passdiy.com/projects/images/content/ver3_2.png,1,6
1q,1,https://www.passdiy.com/projects/images/content/ver3_3.png,1,4
1r,1,https://www.passdiy.com/projects/images/content/ver3_4.png,1,3
1s,1,https://www.passdiy.com/projects/images/content/ver3_7.png,1,3
1t,1,https://www.passdiy.com/projects/images/content/ver3_8.png,0,2
1u,1,https://www.passdiy.com/projects/images/content/zen_v4_1.png,0,1
1v,1,https://www.passdiy.com/projects/images/content/zen_v4_2.png,0,1
1w,1,https://www.passdiy.com/projects/images/content/zen_v4_3.png,1,6
1x,1,https://www.passdiy.com/projects/images/content/v5_3.png,1,2
1y,1,https://www.passdiy.com/projects/images/content/v5_8.png,1,3
1z,1,https://www.passdiy.com/projects/images/content/v5_lowres_3.png,1,2
2,1,https://www.passdiy.com/project/amplifiers/a75-part-2,0,41
20,1,https://www.passdiy.com/projects/images/content/v5_lowres_8.png,1,2
21,1,https://www.passdiy.com/projects/images/content/v7_1.png,1,1
22,1,https://www.passdiy.com/projects/images/content/v7_8.png,1,1
23,1,https://www.passdiy.com/projects/images/content/v7_15.png,1,1
24,1,https://www.passdiy.com/projects/images/content/zv8_power_2.png,0,1
25,1,https://www.passdiy.com/projects/images/content/zv9_2.png,1,3
26,1,https://www.passdiy.com/projects/images/content/zv9_4.png,1,4
27,1,https://www.passdiy.com/projects/images/content/zv9_6.png,1,3
28,1,https://www.passdiy.com/projects/images/content/zv9_8.png,1,3
29,1,https://www.passdiy.com/projects/images/content/brideofzen_1.png,1,1
2a,1,https://www.passdiy.com/projects/images/content/brideofzen_2.png,0,2
2b,1,https://www.passdiy.com/projects/images/content/pearl2_1.png,1,1
2c,1,https://www.passdiy.com/projects/images/content/pearl2_2.png,1,6
2d,1,https://www.passdiy.com/projects/images/content/el_pipe10.png,0,1
2e,1,https://www.passdiy.com/projects/images/content/ba1_2.png,1,2
2f,1,https://www.passdiy.com/projects/images/content/ba1_6.png,1,5
2g,1,https://www.passdiy.com/projects/images/content/ba2_3.png,1,3
2h,1,https://www.passdiy.com/projects/images/content/sweet_spot_9.png,0,1
2i,1,https://www.passdiy.com/projects/images/content/sweet_spot_10.png,0,1
2j,1,https://www.passdiy.com/projects/images/content/z_IV_3.png,1,2
3,1,https://www.passdiy.com/project/amplifiers/build-the-amazing-fet-circlotron,0,2
4,1,https://www.passdiy.com/project/amplifiers/construct-a-class-a-amplifier,0,4
5,1,https://www.passdiy.com/project/amplifiers/diy-op-amps,0,6
6,1,https://www.passdiy.com/project/amplifiers/son-of-zen,0,2
7,1,https://www.passdiy.com/project/amplifiers/the-amazing-fet-circlotron-construction-continued,0,3
8,1,https://www.passdiy.com/project/amplifiers/the-pass-a-40-power-amplifier,0,2
9,1,https://www.passdiy.com/project/amplifiers/the-zen-amplifier,0,4
a,1,https://www.passdiy.com/project/amplifiers/zen-amplifier-revisited,0,4
b,1,https://www.passdiy.com/project/amplifiers/zen-variations-1,0,7
c,1,https://www.passdiy.com/project/amplifiers/zen-variations-3,0,2
d,1,https://www.passdiy.com/project/amplifiers/zen-variations-4,0,8
e,1,https://www.passdiy.com/project/amplifiers/zen-variations-5-hi-res,0,2
f,1,https://www.passdiy.com/project/amplifiers/zen-variations-5-low-res,0,2
g,1,https://www.passdiy.com/project/amplifiers/zen-variations-6,0,1
h,1,https://www.passdiy.com/project/amplifiers/zen-variations-8,0,1
i,1,https://www.passdiy.com/project/preamplifiers/b1-buffer-preamp,0,4
j,1,https://www.passdiy.com/project/preamplifiers/balanced-zen-line-stage,0,5
k,1,https://www.passdiy.com/project/preamplifiers/bride-of-zen,0,4
l,1,https://www.passdiy.com/project/preamplifiers/pearl-2,0,2
m,1,https://www.passdiy.com/project/speakers/the-legend-of-el-pipe-o,0,1
n,1,https://www.passdiy.com/project/articles/arch-nemesis,0,3
o,1,https://www.passdiy.com/project/articles/burning-amplifier-1,0,3
p,1,https://www.passdiy.com/project/articles/burning-amplifier-2,0,4
q,1,https://www.passdiy.com/project/articles/super-symmetric-amplification,0,1
r,1,https://www.passdiy.com/project/articles/the-sweet-spot,0,1
s,1,https://www.passdiy.com/projects/images/content/a75_2.png,1,2
t,1,https://www.passdiy.com/projects/images/content/a75_9.png,1,1
u,1,https://www.passdiy.com/projects/images/content/a75_10.png,1,4
v,1,https://www.passdiy.com/projects/images/content/a75_v2_1.png,1,4
w,1,https://www.passdiy.com/projects/images/content/citation2.png,0,1
x,1,https://www.passdiy.com/projects/images/content/citation3.png,0,1
y,1,https://www.passdiy.com/projects/images/content/citation7.png,1,1
z,1,https://www.passdiy.com/projects/images/content/citation8.png,1,2
