doc,page,url,schematic,parts
0,1,https://www.passlabs.com/technical_article/loudspeakers-lament/,0,1
1,1,https://www.passlabs.com/technical_article/the-sweet-spot/,0,1
2,1,https://www.passlabs.com/technical_article/zen-amp-bride-of-zen-preamp/,0,4
3,1,https://www.passlabs.com/technical_article/super-symmetric-amplification/,0,1
4,1,https://www.passlabs.com/legacy_products/x1000-5/,0,1
5,1,https://www.passlabs.com/legacy_products/x1000/,0,1
6,4,"https://www.passlabs.com/wp-content/uploads/2020/01/INT-150_om.pdf#page=4&zoom=200,216,335&h=792",0,1
6,5,"https://www.passlabs.com/wp-content/uploads/2020/01/INT-150_om.pdf#page=5&zoom=200,216,97&h=792",0,1
7,4,"https://www.passlabs.com/wp-content/uploads/2020/01/INT-30A_om.pdf#page=4&zoom=200,216,335&h=792",0,1
7,5,"https://www.passlabs.com/wp-content/uploads/2020/01/INT-30A_om.pdf#page=5&zoom=200,216,97&h=792",0,1
8,2,"https://www.passlabs.com/wp-content/uploads/2020/01/XA200.5_om.pdf#page=2&zoom=200,216,362&h=792",0,1
8,3,"https://www.passlabs.com/wp-content/uploads/2020/01/XA200.5_om.pdf#page=3&zoom=200,216,161&h=792",0,1
9,2,"https://www.passlabs.com/wp-content/uploads/2020/01/xa160_5-om.pdf#page=2&zoom=200,216,363&h=792",0,1
9,3,"https://www.passlabs.com/wp-content/uploads/2020/01/xa160_5-om.pdf#page=3&zoom=200,216,162&h=792",0,1
a,2,"https://www.passlabs.com/wp-content/uploads/2020/01/XA100.5_om.pdf#page=2&zoom=200,216,362&h=792",0,1
a,3,"https://www.passlabs.com/wp-content/uploads/2020/01/XA100.5_om.pdf#page=3&zoom=200,216,161&h=792",0,1
b,2,"https://www.passlabs.com/wp-content/uploads/2020/01/XA60.5_om.pdf#page=2&zoom=200,216,362&h=792",0,1
b,3,"https://www.passlabs.com/wp-content/uploads/2020/01/XA60.5_om.pdf#page=3&zoom=200,216,161&h=792",0,1
c,2,"https://www.passlabs.com/wp-content/uploads/2020/01/XA30.5_om.pdf#page=2&zoom=200,216,362&h=792",0,1
c,3,"https://www.passlabs.com/wp-content/uploads/2020/01/XA30.5_om.pdf#page=3&zoom=200,216,161&h=792",0,1
d,1,"https://www.passlabs.com/wp-content/uploads/2020/01/X1000.5_om.pdf#page=1&zoom=200,299,661&h=792",0,1
d,2,"https://www.passlabs.com/wp-content/uploads/2020/01/X1000.5_om.pdf#page=2&zoom=200,216,2&h=792",0,1
d,3,"https://www.passlabs.com/wp-content/uploads/2020/01/X1000.5_om.pdf#page=3&zoom=200,63,695&h=792",0,1
d,4,"https://www.passlabs.com/wp-content/uploads/2020/01/X1000.5_om.pdf#page=4&zoom=200,216,319&h=792",0,1
d,5,"https://www.passlabs.com/wp-content/uploads/2020/01/X1000.5_om.pdf#page=5&zoom=200,63,695&h=792",0,1
d,6,"https://www.passlabs.com/wp-content/uploads/2020/01/X1000.5_om.pdf#page=6&zoom=200,63,695&h=792",0,1
