doc,page,url,schematic,parts
0,1,https://www.paulvdiyblogs.net/,0,23
1,1,https://www.paulvdiyblogs.net/2026/09/investigation-of-diy-ups-for-all.html,0,5
10,1,https://www.paulvdiyblogs.net/2019/,0,10
11,1,https://www.paulvdiyblogs.net/2019/09/,0,5
12,1,https://www.paulvdiyblogs.net/2019/08/,0,5
13,1,https://www.paulvdiyblogs.net/2019/05/,0,1
14,1,https://www.paulvdiyblogs.net/2019/03/,0,3
15,1,https://www.paulvdiyblogs.net/2018/,0,1
16,1,https://www.paulvdiyblogs.net/2018/07/,0,1
17,1,https://www.paulvdiyblogs.net/2017/,0,11
18,1,https://www.paulvdiyblogs.net/2017/12/,0,11
19,1,https://www.paulvdiyblogs.net/2017/10/,0,10
1a,1,https://blogger.googleusercontent.com/img/a/AVvXsEjxv2mXAJlUTioP-K4UMaipcWsA-B3zigDz2HgjZOPEuOJgvM9REytPiSG9swnvgDyBZnhIbPICcTXC5O8rQtQlw1wR_yJDkgVmlgkwolqSt79yHytYoaPJOKCZzmRLBzUniDjZQ-OsoKwsk9JOojzmYRqEztdu7BZ199_h8JxlDHhMAwKSqFetphivaPk,0,1
1b,1,https://blogger.googleusercontent.com/img/a/AVvXsEjNtjMKF7d77hOOu_q9Cf8L_BiUTJg1JuuWAfk-HigOSgRrXK-rIyotroL9bI_NWYzOHX412kgF4lWdAtdeLT-r19euHVNqInohl9_Upzr3K540wWFtY3TLBm_RDFM-tOXPfrus0ZgBOicJwAXVvyJFUqppdXPZoo1Q2ngeb3W0G7W90U63F4OSXpzJzts=w640-h505,1,12
1c,1,https://blogger.googleusercontent.com/img/a/AVvXsEgAouzyK3D-SM3oZ0gFeg7U616Yr2aiXyvufdDz9QHlZWKpu-k7YMPk8uruVqmT0ScqcUfZS_MyBS3gN6XLy8eAKq92Ews8UeGwtDOlv0OTztZcrzmc2NkivtJFg4OwwGsiqZf0nwPP9KtCkaKNrx12ISnRasiivFmRkOcbLEweZ8eXLh00C9GmHrIeHio=w640-h507,1,3
1d,1,https://blogger.googleusercontent.com/img/a/AVvXsEhmx74y4RDN1A6-Ywj_2C1rxbOnFiB1fkxslKjeU4xn4J61GNbYu8Tu2ICAtIw9B51NPu1SdKUXeHXo33k-ulnd1-oQHbd-yuRpwkw3HuFrIZIzn883ezSBrub1L81CYGrxlBwK8jFe-VgDluGpcSJ08uhq6fzwAMaWMjDh27mghIHk9YTFGra8aovKAXc=w640-h372,1,2
1e,1,https://blogger.googleusercontent.com/img/a/AVvXsEhelykr4G6Rs6LFFND8REpf3opqmRZ0MucqL56sad9zxrfdasHvscVmBIZ2lNASLboZsP8lJP0NpZsNxcJ0J_4xV2RFhm24vGPKbokONhr6XX5yD0_IICIC2-EdPWjeToe-m4HJrnjmLIp9VhRDr6CABTqXWFqh8tr5P_U-W3Tc8P5KzUCn8T3FNH3dKLs=w640-h402,1,6
1f,1,https://blogger.googleusercontent.com/img/a/AVvXsEh-Yxx6OR5icFzSjNo2TQuOde1Fd8_Ze-fU9W10SLhEn5sWeNVKSg3Pqrpe7vKgK02j-WwuzS70B8qxkiXbUeGBx_kWSPNMIl-fxUEcGYRFS40WDvaiCX2uxurQ_-h9mXdb1aBJZqgotYkncfPD55KhE3kAXBahn_aoHVv6-Mrm5Z5KqeA3Zn-1ZfDHH9g=w640-h624,1,3
1g,1,https://blogger.googleusercontent.com/img/a/AVvXsEieAqg0zUIeihIJnqNyZgibxW9KI4gL03NsTqVgQipewbSqJNmkouTxSZ_I_w796XAACGuCi_qxKwDg5qFz6yk4jA8luQK5K1N4haE2MuLYUHR6_nrhnndpYeANrsn0WJRJXgDx8N0beI2bV0LESKNDfKpC9RhQvjgWQN0tFrjP7ujqMmzD5FOJwjRdysk=w640-h521,1,6
1h,1,https://blogger.googleusercontent.com/img/a/AVvXsEg3Q9jy0xLu6Pnvw6z8gKq--guoUR-D02g29LOvawiGzdUNsfDZFKcurEZDJ58DDv2RmYZ9tG4iSlbqIYUuwTK4SpEeFcWUvlugqPnDTVmHyrGSG9-ajxZt5UEfYlEv6lrfkAsI_kq_qqcEt43DBI58pCKuNtLRI21erH8P6YlNe4cfiGHmKS9MLPs49Vo=w640-h404,1,4
1i,1,https://blogger.googleusercontent.com/img/a/AVvXsEjs3zQpUqc2uIgWZ90i0ZQy6PF9KLeHx5tvWW34FVQ2cJXmUpbJ6fVlW3QgxsF3NS41TGZzRYjF-2hUFX3psl3CYWP6Okql8RGv_hDue2bsYCEJhkBDOguF0heoQ1KJOp4KOFZ852YKeN4wq6NqucYGdRizVXjhX3Dqnxstt4H-FHduSQeOb6WX7lu3SBk=w640-h420,1,6
1j,1,https://blogger.googleusercontent.com/img/a/AVvXsEhdEuRGSla-eX2-k5ZQVv_kWkb4I5xUgnaumeHJwt0XOfBir_8ROQfk4LxWKRVCCCRgyAqAlwA8WjR2WZQRN6eDBXVOKlHsNSrTMkqVTiE1HJA1LDvMIZfEiO-NZH2iJDMb0OUxNwSlg6VFbvzC2OT2vLIvtEm0ymMY5ePsJcYYu2XTF-CwWmhhhqZwVz8=w640-h412,1,6
