doc,page,url,schematic,parts
0,1,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=1&zoom=200,109,44&h=792",0,1
0,2,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=2&zoom=200,444,127&h=792",1,4
0,3,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=3&zoom=200,311,673&h=792",1,5
0,4,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=4&zoom=200,174,0&h=792",0,1
0,5,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=5&zoom=200,179,0&h=792",0,1
0,6,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=6&zoom=200,179,0&h=792",0,1
0,7,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=7&zoom=200,179,0&h=792",0,1
0,8,"https://docs.pedalpcb.com/project/FV1-Dev.pdf#page=8&zoom=200,179,0&h=792",0,1
1,1,"https://docs.pedalpcb.com/project/Raincoat.pdf#page=1&zoom=200,275,490&h=792",0,2
1,2,"https://docs.pedalpcb.com/project/Raincoat.pdf#page=2&zoom=200,283,97&h=792",1,1
1,5,"https://docs.pedalpcb.com/project/Raincoat.pdf#page=5&zoom=200,267,90&h=792",0,2
10,3,"https://docs.pedalpcb.com/project/Kliche-PedalPCB.pdf#page=3&zoom=200,169,155&h=792",1,4
10,4,"https://docs.pedalpcb.com/project/Kliche-PedalPCB.pdf#page=4&zoom=200,331,40&h=792",1,2
10,5,"https://docs.pedalpcb.com/project/Kliche-PedalPCB.pdf#page=5&zoom=200,365,386&h=792",1,1
10,6,"https://docs.pedalpcb.com/project/Kliche-PedalPCB.pdf#page=6&zoom=200,266,39&h=792",0,1
11,2,"https://docs.pedalpcb.com/project/BlueBreaker-PedalPCB.pdf#page=2&zoom=200,81,480&h=792",1,3
11,3,"https://docs.pedalpcb.com/project/BlueBreaker-PedalPCB.pdf#page=3&zoom=200,322,76&h=612",1,2
12,2,"https://docs.pedalpcb.com/project/DuoPhase.pdf#page=2&zoom=200,413,288&h=792",0,4
12,3,"https://docs.pedalpcb.com/project/DuoPhase.pdf#page=3&zoom=200,35,440&h=792",1,4
12,4,"https://docs.pedalpcb.com/project/DuoPhase.pdf#page=4&zoom=200,136,141&h=792",1,3
12,5,"https://docs.pedalpcb.com/project/DuoPhase.pdf#page=5&zoom=200,262,335&h=792",1,3
13,2,"https://docs.pedalpcb.com/project/Cepheid-PedalPCB.pdf#page=2&zoom=200,270,459&h=792",0,8
13,3,"https://docs.pedalpcb.com/project/Cepheid-PedalPCB.pdf#page=3&zoom=200,81,643&h=792",1,4
13,4,"https://docs.pedalpcb.com/project/Cepheid-PedalPCB.pdf#page=4&zoom=200,81,431&h=792",1,3
13,5,"https://docs.pedalpcb.com/project/Cepheid-PedalPCB.pdf#page=5&zoom=200,387,682&h=792",1,8
14,4,"https://docs.pedalpcb.com/project/MuffinFuzz-PedalPCB.pdf#page=4&zoom=200,139,334&h=612",1,2
14,5,"https://docs.pedalpcb.com/project/MuffinFuzz-PedalPCB.pdf#page=5&zoom=200,154,323&h=612",1,6
14,6,"https://docs.pedalpcb.com/project/MuffinFuzz-PedalPCB.pdf#page=6&zoom=200,158,321&h=612",1,2
15,2,"https://docs.pedalpcb.com/project/SherwoodV2-PedalPCB.pdf#page=2&zoom=200,81,522&h=792",1,4
15,3,"https://docs.pedalpcb.com/project/SherwoodV2-PedalPCB.pdf#page=3&zoom=200,436,343&h=612",1,2
16,2,"https://docs.pedalpcb.com/project/DuoCast.pdf#page=2&zoom=200,81,520&h=792",1,3
16,4,"https://docs.pedalpcb.com/project/DuoCast.pdf#page=4&zoom=200,477,293&h=792",1,3
16,5,"https://docs.pedalpcb.com/project/DuoCast.pdf#page=5&zoom=200,303,301&h=792",1,3
17,3,"https://docs.pedalpcb.com/project/Decadence-PedalPCB.pdf#page=3&zoom=200,81,60&h=792",1,3
17,4,"https://docs.pedalpcb.com/project/Decadence-PedalPCB.pdf#page=4&zoom=200,156,142&h=612",1,1
18,2,"https://docs.pedalpcb.com/project/SixStringStinger-PedalPCB.pdf#page=2&zoom=200,81,480&h=792",1,2
18,3,"https://docs.pedalpcb.com/project/SixStringStinger-PedalPCB.pdf#page=3&zoom=200,441,607&h=792",1,2
19,2,"https://docs.pedalpcb.com/project/Woodpecker.pdf#page=2&zoom=200,372,105&h=792",1,4
19,3,"https://docs.pedalpcb.com/project/Woodpecker.pdf#page=3&zoom=200,446,513&h=792",1,3
1a,2,"https://docs.pedalpcb.com/project/Akronym-PedalPCB.pdf#page=2&zoom=200,81,516&h=792",1,3
1a,3,"https://docs.pedalpcb.com/project/Akronym-PedalPCB.pdf#page=3&zoom=200,167,125&h=612",1,1
1b,2,"https://docs.pedalpcb.com/project/Mahayana.pdf#page=2&zoom=200,408,137&h=792",1,5
1b,3,"https://docs.pedalpcb.com/project/Mahayana.pdf#page=3&zoom=200,193,438&h=792",1,5
1c,2,"https://docs.pedalpcb.com/project/TremblingLoon.pdf#page=2&zoom=200,444,137&h=792",1,5
1c,3,"https://docs.pedalpcb.com/project/TremblingLoon.pdf#page=3&zoom=200,289,349&h=792",1,5
1d,2,"https://docs.pedalpcb.com/project/PedalPCB-Pendulum.pdf#page=2&zoom=200,81,561&h=792",1,2
1d,3,"https://docs.pedalpcb.com/project/PedalPCB-Pendulum.pdf#page=3&zoom=200,326,660&h=792",1,2
1e,2,"https://docs.pedalpcb.com/project/Ottava-PedalPCB.pdf#page=2&zoom=200,81,494&h=792",1,4
1e,3,"https://docs.pedalpcb.com/project/Ottava-PedalPCB.pdf#page=3&zoom=200,126,187&h=612",1,2
1f,2,"https://docs.pedalpcb.com/project/CapsizePreamp-PedalPCB.pdf#page=2&zoom=200,81,560&h=792",1,3
1f,3,"https://docs.pedalpcb.com/project/CapsizePreamp-PedalPCB.pdf#page=3&zoom=200,108,170&h=612",1,1
1g,2,"https://docs.pedalpcb.com/project/6BandEQ.pdf#page=2&zoom=200,81,629&h=792",1,2
1g,4,"https://docs.pedalpcb.com/project/6BandEQ.pdf#page=4&zoom=200,152,200&h=792",1,2
1h,2,"https://docs.pedalpcb.com/project/OxideDistortion.pdf#page=2&zoom=200,81,615&h=792",1,2
1h,3,"https://docs.pedalpcb.com/project/OxideDistortion.pdf#page=3&zoom=200,81,86&h=792",0,2
1h,4,"https://docs.pedalpcb.com/project/OxideDistortion.pdf#page=4&zoom=200,159,499&h=792",1,4
1i,2,"https://docs.pedalpcb.com/project/BlueYonder-PedalPCB.pdf#page=2&zoom=200,81,299&h=792",1,3
1i,3,"https://docs.pedalpcb.com/project/BlueYonder-PedalPCB.pdf#page=3&zoom=200,521,211&h=612",1,2
1j,1,"https://docs.pedalpcb.com/datasheet/bat42.pdf#page=1&zoom=200,430,25&h=842",0,2
1j,2,"https://docs.pedalpcb.com/datasheet/bat42.pdf#page=2&zoom=200,31,10&h=842",0,2
1j,3,"https://docs.pedalpcb.com/datasheet/bat42.pdf#page=3&zoom=200,412,11&h=842",0,2
1j,4,"https://docs.pedalpcb.com/datasheet/bat42.pdf#page=4&zoom=200,31,8&h=842",0,2
1k,2,"https://docs.pedalpcb.com/project/Fumble-PedalPCB.pdf#page=2&zoom=200,81,280&h=792",1,2
1k,3,"https://docs.pedalpcb.com/project/Fumble-PedalPCB.pdf#page=3&zoom=200,304,299&h=792",1,1
1l,2,"https://docs.pedalpcb.com/project/PandorasBox.pdf#page=2&zoom=200,408,148&h=792",1,6
1l,3,"https://docs.pedalpcb.com/project/PandorasBox.pdf#page=3&zoom=200,458,615&h=792",1,5
1m,2,"https://docs.pedalpcb.com/project/NoctisFuzz-PedalPCB.pdf#page=2&zoom=200,81,600&h=792",1,2
1m,3,"https://docs.pedalpcb.com/project/NoctisFuzz-PedalPCB.pdf#page=3&zoom=200,231,155&h=612",1,1
1n,1,"https://docs.pedalpcb.com/datasheet/pt2399.pdf#page=1&zoom=200,449,45&h=792",0,1
1n,2,"https://docs.pedalpcb.com/datasheet/pt2399.pdf#page=2&zoom=200,449,45&h=792",0,1
1n,3,"https://docs.pedalpcb.com/datasheet/pt2399.pdf#page=3&zoom=200,449,45&h=792",0,1
