doc,page,url,schematic,parts
0,1,https://phonoclone.com/diy.html,0,2
1,1,https://phonoclone.com/diy-pho5.html,0,5
10,1,https://phonoclone.com/images/head_cir.png,0,2
11,1,https://phonoclone.com/images/pcb-jmo2-12a-sch.png,1,3
12,1,https://phonoclone.com/images/jmo2-amp.png,0,3
13,1,https://phonoclone.com/images/jmo2-match.png,0,1
14,1,https://phonoclone.com/images/jmo2-reg.png,0,1
2,1,https://phonoclone.com/diy-pho4.html,0,1
3,1,https://phonoclone.com/diy-pho3.html,0,5
4,1,https://phonoclone.com/diy-pho6.html,0,2
5,1,https://phonoclone.com/diy-bb.html,0,2
6,1,https://phonoclone.com/diy-gc.html,0,2
7,1,https://phonoclone.com/diy-6v6.html,0,3
8,1,https://phonoclone.com/diy-sapp.html,0,3
9,1,https://phonoclone.com/diy-twi.html,0,5
a,1,https://phonoclone.com/diy-sze.html,0,5
b,1,https://phonoclone.com/diy-head.html,0,2
c,1,https://phonoclone.com/diy-jmo2.html,0,4
d,1,https://phonoclone.com/diy-pho2.html,0,6
e,1,https://phonoclone.com/diy-xreg.html,0,4
f,1,https://phonoclone.com/images/vsps60b.jpg,1,1
g,1,https://phonoclone.com/images/pcb-vsps-52b.png,1,2
h,1,https://phonoclone.com/images/sap4-schematic.png,1,4
i,1,https://phonoclone.com/images/p6dj8_cir.png,1,2
j,1,https://phonoclone.com/images/p6dj8_ps1.png,1,1
k,1,https://phonoclone.com/images/p6dj8_ps2.png,1,1
l,1,https://phonoclone.com/images/crystalfet_regulator.png,1,1
m,1,https://phonoclone.com/images/dac_cir.png,1,3
n,3,"https://phonoclone.com/pdf/tda1543_cnv_2.pdf#page=3&zoom=200,450,646&h=595",0,2
o,1,https://phonoclone.com/images/dac_cir_sm.png,0,3
p,1,https://phonoclone.com/images/b-board-snoa365b.png,1,2
q,1,https://phonoclone.com/images/pcb-bb-11a-brd.png,1,2
r,1,https://phonoclone.com/images/gc_cir.png,1,1
s,1,https://phonoclone.com/images/gc_lm1875a.png,1,1
t,1,https://phonoclone.com/images/gc_lm3875a.png,1,1
u,1,https://phonoclone.com/images/gc_cir_sm.png,0,1
v,1,https://phonoclone.com/images/gc_brd.png,0,1
w,1,https://phonoclone.com/images/amp6v6_cir.png,0,3
x,1,https://phonoclone.com/images/pcb-sapp-31n-sch.png,1,7
y,1,https://phonoclone.com/images/twilight_circuit.png,1,2
z,1,https://phonoclone.com/images/sz_cir.png,0,1
