doc,page,url,schematic,parts
0,1,https://www.pisotones.com/TubeScreamer/25Aniversario/TS25A.htm,0,6
1,1,https://www.pisotones.com/BigMuffPi/bm.htm,0,8
10,1,https://www.pisotones.com/FenderBlender/mbello/FB.htm,0,12
11,1,https://www.pisotones.com/Meatball/psst/meatball-psst.html,0,1
12,1,https://www.pisotones.com/TubeScreamer/MBC/TS-MBC.htm,0,2
13,1,https://www.pisotones.com/LPB/josechan/LPB.htm,0,2
14,1,https://www.pisotones.com/DrQ/DrQ.htm,0,5
15,1,https://www.pisotones.com/Zombie/MBC/ZombieChorus.htm,0,3
16,1,https://www.pisotones.com/Maplin-AW/Maplin-AW.htm,0,3
17,1,https://www.pisotones.com/Trebler/Trebler.htm,0,3
18,1,https://www.pisotones.com/Phase90/MBC/Phase45-90.htm,0,8
19,1,https://www.pisotones.com/BigMuffPi/MBC/USA/BMUSA.htm,0,5
1a,1,https://www.pisotones.com/Tremulus_Lune/TLune.htm,0,1
1b,1,https://www.pisotones.com/TubeSoundFuzz/TSF.htm,0,1
1c,1,https://www.pisotones.com/RAT/MBC/RAT.htm,0,5
1d,1,https://www.pisotones.com/BigMuffPi/psst/BMP_versiones.htm,0,3
1e,1,https://www.pisotones.com/Tweed_Deluxe/Faustone/5E3.htm,0,3
1f,1,https://www.pisotones.com/GORG/Pablocarrillo/GA5-JCM.htm,0,4
1g,1,https://www.pisotones.com/Zombie/MBC/Z2/ZCh2.htm,0,1
1h,1,https://www.pisotones.com/Rebote/Rebote.htm,0,1
1i,1,https://www.pisotones.com/Zendrive/ZenDrive.htm,0,3
1j,1,https://www.pisotones.com/FlatLine/FlatLine.htm,0,2
1k,1,https://www.pisotones.com/VRP/VRP.htm,0,5
1l,1,https://www.pisotones.com/DOD280/DOD280.htm,0,2
1m,13,"https://www.pisotones.com/Articulos/FMK/Prueba_y_comprobacion_valvulas.pdf#page=13&zoom=200,105,482&h=842",0,1
1n,1,https://www.pisotones.com/Articulos/imgs/caricatura.gif,0,1
1o,1,https://www.pisotones.com/TubeScreamer/25Aniversario/imgs/TS-25_Aniv Esquema.png,1,3
1p,1,https://www.pisotones.com/TubeScreamer/imgs/tsoldpcb.gif,1,6
1q,1,https://www.pisotones.com/TubeScreamer/25Aniversario/imgs/TS-25_Aniv.png,1,5
1r,1,https://www.pisotones.com/TubeScreamer/25Aniversario/imgs/TS-25_Aniv_nopulldown.png,1,5
1s,1,"https://www.pisotones.com/BigMuffPi/imgs/2N5087.pdf#page=1&zoom=200,23,683&h=792",0,2
1s,6,"https://www.pisotones.com/BigMuffPi/imgs/2N5087.pdf#page=6&zoom=200,285,523&h=792",0,1
1s,8,"https://www.pisotones.com/BigMuffPi/imgs/2N5087.pdf#page=8&zoom=200,490,702&h=792",0,1
1t,1,"https://www.pisotones.com/BigMuffPi/imgs/BC169.pdf#page=1&zoom=200,320,37&h=602",0,6
1t,2,"https://www.pisotones.com/BigMuffPi/imgs/BC169.pdf#page=2&zoom=200,314,0&h=601",0,3
1t,3,"https://www.pisotones.com/BigMuffPi/imgs/BC169.pdf#page=3&zoom=200,316,0&h=602",0,3
1t,4,"https://www.pisotones.com/BigMuffPi/imgs/BC169.pdf#page=4&zoom=200,313,0&h=601",0,3
1t,5,"https://www.pisotones.com/BigMuffPi/imgs/BC169.pdf#page=5&zoom=200,318,0&h=601",0,2
1t,6,"https://www.pisotones.com/BigMuffPi/imgs/BC169.pdf#page=6&zoom=200,313,0&h=602",0,2
1t,7,"https://www.pisotones.com/BigMuffPi/imgs/BC169.pdf#page=7&zoom=200,320,0&h=602",0,2
