doc,page,url,schematic,parts
0,17,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=17&zoom=200,314,574&h=829",1,2
0,18,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=18&zoom=200,215,171&h=829",1,2
0,19,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=19&zoom=200,0,688&h=833",0,1
0,20,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=20&zoom=200,36,435&h=833",1,6
0,21,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=21&zoom=200,8,578&h=833",0,1
0,33,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=33&zoom=200,66,534&h=825",1,3
0,40,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=40&zoom=200,100,606&h=817",0,1
0,43,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=43&zoom=200,190,345&h=826",1,2
0,44,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=44&zoom=200,50,273&h=826",1,2
0,63,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=63&zoom=200,0,392&h=819",0,13
0,64,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=64&zoom=200,39,515&h=819",1,3
0,65,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=65&zoom=200,43,560&h=819",1,3
0,66,"https://www.worldradiohistory.com/UK/Everyday-Electronics/90s/EPE-1992-11.pdf#page=66&zoom=200,260,668&h=819",1,3
1,4,"https://www.worldradiohistory.com/UK/Practical-Electronics/90s/Practical-Electroncs-1992-05.pdf#page=4&zoom=200,355,308&h=837",0,4
1,21,"https://www.worldradiohistory.com/UK/Practical-Electronics/90s/Practical-Electroncs-1992-05.pdf#page=21&zoom=200,4,501&h=837",0,1
1,22,"https://www.worldradiohistory.com/UK/Practical-Electronics/90s/Practical-Electroncs-1992-05.pdf#page=22&zoom=200,355,551&h=837",0,1
1,44,"https://www.worldradiohistory.com/UK/Practical-Electronics/90s/Practical-Electroncs-1992-05.pdf#page=44&zoom=200,1,433&h=837",1,2
1,49,"https://www.worldradiohistory.com/UK/Practical-Electronics/90s/Practical-Electroncs-1992-05.pdf#page=49&zoom=200,229,460&h=837",1,4
1,50,"https://www.worldradiohistory.com/UK/Practical-Electronics/90s/Practical-Electroncs-1992-05.pdf#page=50&zoom=200,145,41&h=837",1,5
10,17,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-08.pdf#page=17&zoom=200,3,450&h=712",0,1
10,45,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-08.pdf#page=45&zoom=200,175,238&h=714",1,1
10,46,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-08.pdf#page=46&zoom=200,231,298&h=712",0,1
10,49,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-08.pdf#page=49&zoom=200,38,571&h=714",1,2
10,53,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-08.pdf#page=53&zoom=200,203,158&h=714",0,3
10,54,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-08.pdf#page=54&zoom=200,255,337&h=714",1,2
10,66,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-08.pdf#page=66&zoom=200,283,159&h=714",1,2
11,20,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-09.pdf#page=20&zoom=200,339,445&h=717",0,1
11,26,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-09.pdf#page=26&zoom=200,253,250&h=717",1,2
11,28,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-09.pdf#page=28&zoom=200,0,154&h=717",0,1
11,60,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-09.pdf#page=60&zoom=200,5,293&h=717",1,1
12,43,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-10.pdf#page=43&zoom=200,187,47&h=686",1,1
12,44,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-10.pdf#page=44&zoom=200,260,69&h=685",1,1
12,58,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-10.pdf#page=58&zoom=200,214,470&h=685",0,1
12,60,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-10.pdf#page=60&zoom=200,290,438&h=686",0,1
12,63,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-10.pdf#page=63&zoom=200,298,116&h=685",1,1
12,64,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-10.pdf#page=64&zoom=200,45,122&h=685",0,1
13,24,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-11.pdf#page=24&zoom=200,232,28&h=688",0,1
13,25,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-11.pdf#page=25&zoom=200,117,48&h=688",1,2
13,26,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-11.pdf#page=26&zoom=200,272,101&h=688",0,1
13,55,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-11.pdf#page=55&zoom=200,8,513&h=687",1,1
13,64,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-11.pdf#page=64&zoom=200,98,50&h=686",1,2
13,67,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-11.pdf#page=67&zoom=200,268,444&h=687",0,1
14,19,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=19&zoom=200,355,291&h=708",1,2
14,22,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=22&zoom=200,271,469&h=705",1,2
14,31,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=31&zoom=200,240,485&h=708",0,5
14,32,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=32&zoom=200,248,115&h=707",1,7
14,33,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=33&zoom=200,367,148&h=708",1,5
14,41,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=41&zoom=200,369,568&h=708",1,3
14,44,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=44&zoom=200,301,128&h=708",1,4
14,49,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=49&zoom=200,429,554&h=711",0,2
14,53,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=53&zoom=200,294,87&h=712",0,2
14,55,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=55&zoom=200,1,30&h=708",1,1
14,56,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1967-12.pdf#page=56&zoom=200,36,51&h=708",1,1
15,21,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1968-01.pdf#page=21&zoom=200,281,280&h=711",1,3
15,44,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1968-01.pdf#page=44&zoom=200,258,577&h=711",0,2
15,48,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1968-01.pdf#page=48&zoom=200,0,416&h=710",0,4
15,54,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1968-01.pdf#page=54&zoom=200,45,422&h=710",0,1
15,56,"https://www.worldradiohistory.com/UK/Practical-Electronics/60s/Practical-Electronics-1968-01.pdf#page=56&zoom=200,3,380&h=710",0,1
