doc,page,url,schematic,parts
0,19,"https://www.worldradiohistory.com/UK/Practical-Wireless/30s/PW-1939-02-18.pdf#page=19&zoom=200,0,478&h=878",0,2
1,41,"https://www.worldradiohistory.com/UK/Practical-Wireless/40s/PW-1942-04.pdf#page=41&zoom=200,15,293&h=638",0,3
10,34,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=34&zoom=200,688,463&h=1118",1,3
10,35,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=35&zoom=200,570,237&h=1118",1,4
10,36,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=36&zoom=200,199,223&h=642",0,2
10,38,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=38&zoom=200,307,432&h=640",0,2
10,41,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=41&zoom=200,340,446&h=640",1,4
10,61,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=61&zoom=200,397,595&h=1127",1,1
10,63,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=63&zoom=200,202,343&h=645",0,1
10,65,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=65&zoom=200,225,337&h=642",1,1
10,67,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=67&zoom=200,169,302&h=642",1,1
10,71,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=71&zoom=200,0,295&h=642",1,5
10,72,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=72&zoom=200,28,219&h=642",1,2
10,74,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=74&zoom=200,208,119&h=642",0,5
10,75,"https://www.worldradiohistory.com/UK/Practical-Wireless/60s/PW-1962-11.pdf#page=75&zoom=200,310,157&h=640",1,5
