doc,page,url,schematic,parts
0,1,https://qrp-labs.com/newsaug2021.html,0,3
1,1,https://qrp-labs.com/newsjul2020.html,0,2
10,1,"https://qrp-labs.com/images/qmx/manuals/schematics_rev2.pdf#page=1&zoom=200,88,170&h=595",1,7
10,2,"https://qrp-labs.com/images/qmx/manuals/schematics_rev2.pdf#page=2&zoom=200,143,469&h=595",1,3
10,3,"https://qrp-labs.com/images/qmx/manuals/schematics_rev2.pdf#page=3&zoom=200,693,208&h=595",1,1
10,4,"https://qrp-labs.com/images/qmx/manuals/schematics_rev2.pdf#page=4&zoom=200,447,31&h=595",1,3
10,5,"https://qrp-labs.com/images/qmx/manuals/schematics_rev2.pdf#page=5&zoom=200,479,151&h=595",1,9
11,1,"https://qrp-labs.com/images/qmx/manuals/schematics_rev1_a.pdf#page=1&zoom=200,93,185&h=595",1,7
11,2,"https://qrp-labs.com/images/qmx/manuals/schematics_rev1_a.pdf#page=2&zoom=200,139,470&h=595",1,3
11,3,"https://qrp-labs.com/images/qmx/manuals/schematics_rev1_a.pdf#page=3&zoom=200,688,206&h=595",1,1
11,4,"https://qrp-labs.com/images/qmx/manuals/schematics_rev1_a.pdf#page=4&zoom=200,429,31&h=595",1,3
11,5,"https://qrp-labs.com/images/qmx/manuals/schematics_rev1_a.pdf#page=5&zoom=200,477,151&h=595",1,9
12,1,"https://qrp-labs.com/images/qmx/manuals/QMX_Rev1_Searchable_Schematic_1b.pdf#page=1&zoom=200,87,172&h=540",1,7
12,2,"https://qrp-labs.com/images/qmx/manuals/QMX_Rev1_Searchable_Schematic_1b.pdf#page=2&zoom=200,128,420&h=540",1,3
12,3,"https://qrp-labs.com/images/qmx/manuals/QMX_Rev1_Searchable_Schematic_1b.pdf#page=3&zoom=200,577,208&h=540",1,1
12,4,"https://qrp-labs.com/images/qmx/manuals/QMX_Rev1_Searchable_Schematic_1b.pdf#page=4&zoom=200,371,14&h=540",1,4
12,5,"https://qrp-labs.com/images/qmx/manuals/QMX_Rev1_Searchable_Schematic_1b.pdf#page=5&zoom=200,401,141&h=540",1,10
13,3,"https://qrp-labs.com/images/qmx/manuals/QMX_Rev1_Searchable_Layout.pdf#page=3&zoom=200,626,159&h=540",1,1
14,6,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=6&zoom=200,0,649&h=842",0,1
14,44,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=44&zoom=200,0,24&h=842",0,2
14,45,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=45&zoom=200,0,181&h=842",0,2
14,62,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=62&zoom=200,0,99&h=842",0,2
14,63,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=63&zoom=200,0,203&h=842",0,1
14,70,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=70&zoom=200,36,205&h=842",0,1
14,73,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=73&zoom=200,0,533&h=842",0,1
14,84,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=84&zoom=200,36,265&h=842",0,1
14,117,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=117&zoom=200,0,120&h=842",0,1
14,121,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=121&zoom=200,0,53&h=842",0,1
14,122,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_003.pdf#page=122&zoom=200,0,212&h=842",0,1
15,6,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=6&zoom=200,0,649&h=842",0,1
15,44,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=44&zoom=200,0,24&h=842",0,2
15,45,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=45&zoom=200,0,181&h=842",0,2
15,62,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=62&zoom=200,0,99&h=842",0,2
15,63,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=63&zoom=200,0,203&h=842",0,1
15,70,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=70&zoom=200,36,205&h=842",0,1
15,73,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=73&zoom=200,0,533&h=842",0,1
15,84,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=84&zoom=200,36,265&h=842",0,1
15,117,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=117&zoom=200,0,120&h=842",0,1
15,121,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=121&zoom=200,0,53&h=842",0,1
15,122,"https://qrp-labs.com/images/qmx/manuals/operation_1_04_001.pdf#page=122&zoom=200,0,212&h=842",0,1
16,6,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=6&zoom=200,0,649&h=842",0,1
16,43,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=43&zoom=200,0,248&h=842",0,2
16,44,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=44&zoom=200,0,434&h=842",0,2
16,52,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=52&zoom=200,0,434&h=842",0,1
16,65,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=65&zoom=200,0,328&h=842",0,2
16,66,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=66&zoom=200,0,203&h=842",0,1
16,72,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=72&zoom=200,36,513&h=842",0,1
16,76,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=76&zoom=200,0,218&h=842",0,1
16,86,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=86&zoom=200,36,612&h=842",0,1
16,119,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=119&zoom=200,0,120&h=842",0,1
16,123,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=123&zoom=200,0,53&h=842",0,1
16,124,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_002.pdf#page=124&zoom=200,0,212&h=842",0,1
17,6,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=6&zoom=200,0,649&h=842",0,1
17,43,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=43&zoom=200,0,185&h=842",0,2
17,44,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=44&zoom=200,0,434&h=842",0,2
17,52,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=52&zoom=200,0,434&h=842",0,1
17,65,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=65&zoom=200,0,99&h=842",0,2
17,72,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=72&zoom=200,36,374&h=842",0,1
17,76,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=76&zoom=200,0,124&h=842",0,1
17,86,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=86&zoom=200,36,265&h=842",0,1
17,119,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=119&zoom=200,0,120&h=842",0,1
17,123,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=123&zoom=200,0,53&h=842",0,1
17,124,"https://qrp-labs.com/images/qmx/manuals/operation_1_03_000.pdf#page=124&zoom=200,0,212&h=842",0,1
18,6,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=6&zoom=200,0,680&h=842",0,1
18,42,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=42&zoom=200,0,411&h=842",0,2
18,43,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=43&zoom=200,0,581&h=842",0,2
18,51,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=51&zoom=200,0,269&h=842",0,1
18,68,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=68&zoom=200,36,374&h=842",0,1
18,72,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=72&zoom=200,0,124&h=842",0,1
18,81,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=81&zoom=200,36,265&h=842",0,1
18,114,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=114&zoom=200,0,120&h=842",0,1
18,118,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=118&zoom=200,0,53&h=842",0,1
18,119,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_006.pdf#page=119&zoom=200,0,160&h=842",0,1
19,6,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=6&zoom=200,0,680&h=842",0,1
19,41,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=41&zoom=200,0,411&h=842",0,2
19,42,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=42&zoom=200,0,581&h=842",0,2
19,50,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=50&zoom=200,0,269&h=842",0,1
19,67,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=67&zoom=200,36,374&h=842",0,1
19,71,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=71&zoom=200,0,124&h=842",0,1
19,80,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=80&zoom=200,36,265&h=842",0,1
19,113,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=113&zoom=200,0,120&h=842",0,1
19,117,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=117&zoom=200,0,53&h=842",0,1
19,118,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_005.pdf#page=118&zoom=200,0,160&h=842",0,1
1a,6,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_004.pdf#page=6&zoom=200,0,680&h=842",0,1
1a,42,"https://qrp-labs.com/images/qmx/manuals/operation_1_02_004.pdf#page=42&zoom=200,0,411&h=842",0,2
