doc,page,url,schematic,parts
0,3,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=3&zoom=200,190,395&h=609",1,2
0,4,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=4&zoom=200,0,279&h=609",0,3
0,6,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=6&zoom=200,0,184&h=609",0,4
0,13,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=13&zoom=200,8,124&h=609",0,2
0,14,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=14&zoom=200,202,500&h=609",1,1
0,16,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=16&zoom=200,0,482&h=609",0,2
0,24,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=24&zoom=200,0,360&h=609",0,4
0,29,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=29&zoom=200,226,512&h=609",1,3
0,31,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=31&zoom=200,224,425&h=609",1,4
0,35,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=35&zoom=200,209,326&h=609",0,3
0,40,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=40&zoom=200,62,152&h=609",0,1
0,43,"https://www.worldradiohistory.com/UK/Radio-Constructor/20%20Suggested%20Circuits.pdf#page=43&zoom=200,195,403&h=609",1,1
1,7,"https://www.worldradiohistory.com/UK/Radio-Constructor/40s/RC-1947-10.pdf#page=7&zoom=200,0,511&h=622",0,4
1,8,"https://www.worldradiohistory.com/UK/Radio-Constructor/40s/RC-1947-10.pdf#page=8&zoom=200,166,106&h=622",0,1
1,13,"https://www.worldradiohistory.com/UK/Radio-Constructor/40s/RC-1947-10.pdf#page=13&zoom=200,156,421&h=622",0,1
10,7,"https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-07.pdf#page=7&zoom=200,0,443&h=612",1,1
10,8,"https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-07.pdf#page=8&zoom=200,0,496&h=612",0,2
10,9,"https://www.worldradiohistory.com/UK/Radio-Constructor/50s/RC-1953-07.pdf#page=9&zoom=200,672,413&h=612",1,2
