doc,page,url,schematic,parts
0,8,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=8&zoom=200,289,464&h=671",0,1
0,11,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=11&zoom=200,267,518&h=668",0,1
0,13,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=13&zoom=200,117,574&h=670",0,1
0,15,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=15&zoom=200,7,141&h=669",0,2
0,16,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=16&zoom=200,0,551&h=671",1,6
0,17,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=17&zoom=200,117,29&h=669",0,4
0,39,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=39&zoom=200,137,351&h=671",0,1
0,40,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=40&zoom=200,94,70&h=672",0,1
0,41,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=41&zoom=200,8,22&h=670",0,1
0,46,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=46&zoom=200,203,40&h=672",1,2
0,55,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=55&zoom=200,7,206&h=670",0,2
0,58,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=58&zoom=200,7,371&h=673",0,2
0,59,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=59&zoom=200,364,471&h=671",0,1
0,60,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=60&zoom=200,6,529&h=672",0,2
0,61,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=61&zoom=200,5,172&h=668",0,2
0,67,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=67&zoom=200,210,399&h=670",0,3
0,75,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=75&zoom=200,300,341&h=670",0,7
0,78,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=78&zoom=200,6,501&h=672",0,1
0,79,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=79&zoom=200,10,4&h=667",0,2
0,87,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=87&zoom=200,287,136&h=670",0,1
0,88,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=88&zoom=200,199,357&h=673",0,1
0,89,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=89&zoom=200,211,23&h=670",0,1
0,95,"https://www.worldradiohistory.com/Archive-Radio-TV-Experimenter/Radio-Experimenter-1950-Vol-1.pdf#page=95&zoom=200,17,212&h=671",0,2
