doc,page,url,schematic,parts
0,1,"https://schematicheaven.net/fenderamps/fender_30_schem.pdf#page=1&zoom=200,343,109&h=1606",1,4
1,1,"https://schematicheaven.net/fenderamps/fender_75_schem.pdf#page=1&zoom=200,15,196&h=387",1,3
1,2,"https://schematicheaven.net/fenderamps/fender_75_schem.pdf#page=2&zoom=200,891,55&h=1609",1,3
10,1,"https://schematicheaven.net/fenderamps/champ_5c1_schem.pdf#page=1&zoom=200,480,550&h=958",0,2
10,2,"https://schematicheaven.net/fenderamps/champ_5c1_schem.pdf#page=2&zoom=200,685,358&h=982",0,1
100,1,"https://schematicheaven.net/effects/binson_pe603t_echorec.pdf#page=1&zoom=200,98,266&h=595",1,3
100,2,"https://schematicheaven.net/effects/binson_pe603t_echorec.pdf#page=2&zoom=200,551,100&h=767",1,4
100,3,"https://schematicheaven.net/effects/binson_pe603t_echorec.pdf#page=3&zoom=200,490,69&h=638",0,3
100,4,"https://schematicheaven.net/effects/binson_pe603t_echorec.pdf#page=4&zoom=200,561,65&h=642",0,2
101,1,"https://schematicheaven.net/effects/meazzi_factotum_echomatic_drum.pdf#page=1&zoom=200,171,0&h=386",1,5
101,2,"https://schematicheaven.net/effects/meazzi_factotum_echomatic_drum.pdf#page=2&zoom=200,95,229&h=524",1,3
102,1,"https://schematicheaven.net/effects/meazzi_factotum_echomatic_SS.pdf#page=1&zoom=200,156,0&h=2591",1,9
102,2,"https://schematicheaven.net/effects/meazzi_factotum_echomatic_SS.pdf#page=2&zoom=200,325,4&h=304",1,4
102,3,"https://schematicheaven.net/effects/meazzi_factotum_echomatic_SS.pdf#page=3&zoom=200,244,0&h=507",1,4
103,1,"https://schematicheaven.net/effects/meazzi_factotum_echomatic_tube.pdf#page=1&zoom=200,52,122&h=433",1,4
103,2,"https://schematicheaven.net/effects/meazzi_factotum_echomatic_tube.pdf#page=2&zoom=200,78,0&h=257",1,3
104,1,"https://schematicheaven.net/effects/meazzi_factotum_stereo_echomatic.pdf#page=1&zoom=200,146,71&h=394",1,2
