doc,page,url,schematic,parts
0,1,https://www.schmitzbits.de/ota3080.html,0,3
1,1,https://www.schmitzbits.de/rbe.html,0,8
10,1,https://www.schmitzbits.de/vtvca.png,1,5
11,1,https://www.schmitzbits.de/vtvca-small.png,1,4
12,1,https://www.schmitzbits.de/vco4.png,1,2
13,1,https://www.schmitzbits.de/vtvcf_s.png,1,4
14,1,https://www.schmitzbits.de/vco_566.png,1,3
15,1,https://www.schmitzbits.de/thyratronvco.png,1,2
16,1,https://www.schmitzbits.de/vco6.png,1,6
17,1,https://www.schmitzbits.de/vtvco.png,1,2
18,1,https://www.schmitzbits.de/4069vco1.png,1,7
19,1,https://www.schmitzbits.de/4069layo.png,1,1
1a,1,https://www.schmitzbits.de/triphase.png,1,3
1b,1,https://www.schmitzbits.de/adsr.png,1,4
1c,1,https://www.schmitzbits.de/adsr2.png,1,1
1d,1,https://www.schmitzbits.de/adsr3.png,1,3
1e,1,https://www.schmitzbits.de/micpre.png,1,1
1f,1,https://www.schmitzbits.de/vcadsr.png,1,4
1g,1,https://www.schmitzbits.de/envf.png,1,4
1h,1,https://www.schmitzbits.de/rsmoog_scaled.png,1,2
1i,1,https://www.schmitzbits.de/powersu1.png,1,5
1j,1,https://www.schmitzbits.de/powersu2.png,1,2
1k,1,https://www.schmitzbits.de/partlist.png,0,4
1l,1,https://www.schmitzbits.de/jh_5v_adsr.png,1,3
1m,1,https://www.schmitzbits.de/waspfilt.png,1,2
1n,1,https://www.schmitzbits.de/cvmidi.png,1,4
1o,1,https://www.schmitzbits.de/rs2040.png,1,3
1p,1,https://www.schmitzbits.de/noise.png,1,1
1q,1,https://www.schmitzbits.de/rs20.png,1,3
1r,1,https://www.schmitzbits.de/dronebox/dronebox_scaled.png,1,2
1s,1,https://www.schmitzbits.de/sah1.png,0,4
1t,1,https://www.schmitzbits.de/levshift.png,0,2
1u,1,https://www.schmitzbits.de/yash.png,1,3
2,1,https://www.schmitzbits.de/expo_tutorial/index.html,0,1
3,1,https://www.schmitzbits.de/news.html,0,1
4,1,https://www.schmitzbits.de/pt2399.html,0,4
5,1,https://www.schmitzbits.de/vtexpo.html,0,2
6,1,https://www.schmitzbits.de/vco3.html,0,7
7,1,https://www.schmitzbits.de/descript.txt,0,2
8,1,https://www.schmitzbits.de/vtvca.html,0,1
9,1,https://www.schmitzbits.de/vco4.html,0,1
a,1,https://www.schmitzbits.de/vtvcf.html,0,3
b,1,https://www.schmitzbits.de/vco566.html,0,1
c,1,https://www.schmitzbits.de/vtvco2.html,0,6
d,1,https://www.schmitzbits.de/vco6.html,0,3
e,1,https://www.schmitzbits.de/vco4069.html,0,5
f,1,https://www.schmitzbits.de/samples/vco4069jsb.ogg,0,12
g,1,https://www.schmitzbits.de/switch.html,0,3
h,1,https://www.schmitzbits.de/adsr.html,0,3
i,1,https://www.schmitzbits.de/micpre.html,0,1
j,1,https://www.schmitzbits.de/vcadsr.html,0,1
k,1,https://www.schmitzbits.de/vca.html,0,4
l,1,https://www.schmitzbits.de/powersup.html,0,2
m,1,https://www.schmitzbits.de/wasp.html,0,1
n,1,https://www.schmitzbits.de/mc.txt,0,2
o,1,https://www.schmitzbits.de/wasp.txt,0,3
p,1,https://www.schmitzbits.de/noise.html,0,1
q,1,https://www.schmitzbits.de/dronebox.html,0,3
r,1,https://www.schmitzbits.de/sah.html,0,2
s,1,https://www.schmitzbits.de/dronebox/drone.ogg,0,9
t,1,https://www.schmitzbits.de/dronebox/drone&delay.ogg,0,10
u,1,https://www.schmitzbits.de/vco.png,1,4
v,1,https://www.schmitzbits.de/thcomp.png,1,3
w,1,https://www.schmitzbits.de/vconeu.png,1,3
x,1,https://www.schmitzbits.de/Image4.png,1,1
y,1,https://www.schmitzbits.de/pt2399dly.png,1,2
z,1,https://www.schmitzbits.de/vtexpo_s.png,0,1
