doc,page,url,schematic,parts
0,1,https://semiconductormuseum.com/Museum_Index.htm,0,16
1,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2T76.htm,0,1
10,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N155.htm,0,3
11,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N156.htm,0,2
12,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N180.htm,0,6
13,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_CBS_1N81_GermaniumDiode.htm,0,2
14,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N697.htm,0,4
15,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N1613.htm,0,1
16,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_GE_Glass_Transistor_Prototype.htm,0,2
17,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N43.htm,0,1
18,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N107.htm,0,1
19,1,http://www.semiconductormuseum.com/MuseumStore/MuseumStore_2N107_Index.htm,0,1
1a,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N123.htm,0,1
1b,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N167.htm,0,1
1c,1,http://www.semiconductormuseum.com/MuseumStore/MuseumStore_2N167_Index.htm,0,1
1d,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N135.htm,0,3
1e,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N169.htm,0,1
1f,1,http://www.semiconductormuseum.com/MuseumStore/MuseumStore_2N169_Index.htm,0,2
1g,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N170.htm,0,2
1h,1,http://www.semiconductormuseum.com/MuseumStore/MuseumStore_2N170_Index.htm,0,2
1i,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N489.htm,0,3
1j,1,http://www.semiconductormuseum.com/MuseumStore/MuseumStore_2N489_Index.htm,0,2
1k,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N508.htm,0,1
1l,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_Motorola_XN1.htm,0,1
1m,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_Motorola_2N176.htm,0,1
1n,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_Motorola_2N311.htm,0,3
1o,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_NationalUnion_GermaniumDiodes.htm,0,4
1p,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_A01.htm,0,2
1q,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_SurfaceBarrier.htm,0,2
1r,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N501.htm,0,3
1s,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N501_Index.htm,0,1
1t,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_CK311.htm,0,1
1u,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_CK793.htm,0,1
1v,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_Raytheon_CK705_GermaniumDiode.htm,0,1
1w,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N109.htm,0,2
1x,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N404.htm,0,2
1y,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N404_Index.htm,0,2
1z,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N247.htm,0,5
2,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_Motorola_Power_Prototype.htm,0,1
20,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N35.htm,0,2
21,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N95.htm,0,2
22,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N307.htm,0,1
23,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_TIXM10.htm,0,1
24,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_TI_900_Series.htm,0,1
25,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N117.htm,0,4
26,1,http://semiconductormuseum.com/PhotoGallery/PhotoGallery_2N172.htm,0,10
27,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_TI_GermaniumRadioTransistors_Index.htm,0,16
28,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_HistoryOfTransistors_Vol1_Index.htm,0,2
29,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_HistoryOfCrystalDiodes_Vol1_Index.htm,0,2
2a,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N1072_Index.htm,0,1
2b,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_Westinghouse_2N60_2N609_Index.htm,0,1
2c,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_RCA_2N247_2N384_Index.htm,0,2
2d,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_1N3712_Index.htm,0,1
2e,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N343_Index.htm,0,2
2f,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_Tung-Sol_2N63_Index.htm,0,1
2g,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_1N34_Index.htm,0,2
2h,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N128_Index.htm,0,2
2i,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N406_2N109_Index.htm,0,2
2j,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N229_Index.htm,0,3
2k,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N1149_Index.htm,0,2
2l,1,http://semiconductormuseum.com/MuseumStore/MuseumStore_2N110_Page2.htm,0,1
2m,1,http://semiconductormuseum.com/ConstructionProjects/ConstructionProjects_CK722_50thAnniversary_Radio_Page2.htm,0,1
2n,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Amperex_Page2.htm,0,1
2o,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_CBS_Page2.htm,0,3
2p,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_CleviteTransistorProducts_Page2.htm,0,2
2q,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Delco_Page2.htm,0,6
2r,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Honeywell_Page2.htm,0,1
2s,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Mallory_Page2.htm,0,1
2t,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Motorola_Page2.htm,0,9
2u,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_PSI_Page2.htm,0,4
2v,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Philco_Page2.htm,0,2
2w,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Raytheon_Page2.htm,0,5
2x,1,http://www.semiconductormuseum.com/Transistors/LectureHall/JoeKnight/JoeKnight_EarlyPowerTransistorHistory_Sylvania_Page2.htm,0,2
2y,1,http://www.semiconductormuseum.com/Transistors/LectureHall/DAiro/DAiro_Page3.htm,0,2
