doc,page,url,schematic,parts
0,10,"http://www.synfo.nl/servicemanuals/Akai/AKAI_EWI4000S_SERVICE_MANUAL.pdf#page=10&zoom=200,86,711&h=842",0,1
0,11,"http://www.synfo.nl/servicemanuals/Akai/AKAI_EWI4000S_SERVICE_MANUAL.pdf#page=11&zoom=200,86,342&h=842",1,2
0,12,"http://www.synfo.nl/servicemanuals/Akai/AKAI_EWI4000S_SERVICE_MANUAL.pdf#page=12&zoom=200,86,658&h=842",1,2
0,15,"http://www.synfo.nl/servicemanuals/Akai/AKAI_EWI4000S_SERVICE_MANUAL.pdf#page=15&zoom=200,676,29&h=843",1,13
1,3,"http://www.synfo.nl/servicemanuals/Akai/AKAI_EWI4000S_ENGINEERING-CHANGE.pdf#page=3&zoom=200,1925,71&h=1685",1,18
10,1,"https://www.synfo.nl/servicemanuals/Boss/BOSS_BX-600_SERVICE_NOTES.pdf#page=1&zoom=200,902,71&h=841",0,5
10,2,"https://www.synfo.nl/servicemanuals/Boss/BOSS_BX-600_SERVICE_NOTES.pdf#page=2&zoom=200,0,189&h=841",1,5
11,1,"https://www.synfo.nl/servicemanuals/Boss/BOSS_CE-3_SERVICE_NOTES.pdf#page=1&zoom=200,329,583&h=851",1,7
12,2,"https://www.synfo.nl/servicemanuals/Boss/BOSS_CE-5_SERVICE_NOTES.pdf#page=2&zoom=200,39,564&h=841",1,8
12,3,"https://www.synfo.nl/servicemanuals/Boss/BOSS_CE-5_SERVICE_NOTES.pdf#page=3&zoom=200,811,240&h=841",1,6
13,1,"https://www.synfo.nl/servicemanuals/Boss/BOSS_CE-300_SCHEMATICS.pdf#page=1&zoom=200,930,1061&h=1215",1,5
14,1,"https://www.synfo.nl/servicemanuals/Boss/BOSS_CH-1_SERVICE_NOTES.pdf#page=1&zoom=200,665,304&h=841",0,8
14,2,"https://www.synfo.nl/servicemanuals/Boss/BOSS_CH-1_SERVICE_NOTES.pdf#page=2&zoom=200,706,446&h=841",1,8
