doc,page,url,schematic,parts
0,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Peavey/Peavey-Classic50-Schematic.pdf#page=1&zoom=200,534,19&h=534",1,6
0,2,"https://www.thetubestore.com/lib/thetubestore/schematics/Peavey/Peavey-Classic50-Schematic.pdf#page=2&zoom=200,0,49&h=546",1,4
1,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Super-Champ-XD-Schematic.pdf#page=1&zoom=200,676,427&h=792",1,9
10,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5A3-Schematic.pdf#page=1&zoom=200,510,397&h=612",1,4
11,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5B3-Schematic.pdf#page=1&zoom=200,478,374&h=469",1,3
11,2,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5B3-Schematic.pdf#page=2&zoom=200,59,447&h=518",1,2
12,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5C3-Schematic.pdf#page=1&zoom=200,1041,788&h=940",1,3
12,2,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5C3-Schematic.pdf#page=2&zoom=200,96,866&h=982",1,2
13,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5D3-Schematic.pdf#page=1&zoom=200,506,437&h=940",0,4
13,2,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5D3-Schematic.pdf#page=2&zoom=200,835,869&h=994",0,4
14,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5E3-Schematic.pdf#page=1&zoom=200,532,174&h=929",0,4
14,2,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Deluxe-5E3-Schematic.pdf#page=2&zoom=200,941,835&h=952",0,3
15,1,"https://www.thetubestore.com/lib/thetubestore/schematics/Fender/Fender-Harvard-5F10-Schematic.pdf#page=1&zoom=200,578,207&h=958",1,1
