doc,page,url,schematic,parts
0,1,https://www.tubecad.com/,0,97
1,1,https://www.tubecad.com/2026/09/blog0647.htm,0,1
10,6,"https://www.tubecad.com/2005/May/09May2005.pdf#page=6&zoom=200,10,518&h=792",0,1
10,7,"https://www.tubecad.com/2005/May/09May2005.pdf#page=7&zoom=200,10,6&h=792",0,1
11,6,"https://www.tubecad.com/2005/April/29Apr2005.pdf#page=6&zoom=200,10,341&h=792",0,1
11,9,"https://www.tubecad.com/2005/April/29Apr2005.pdf#page=9&zoom=200,160,629&h=792",0,2
11,10,"https://www.tubecad.com/2005/April/29Apr2005.pdf#page=10&zoom=200,10,245&h=792",0,1
11,11,"https://www.tubecad.com/2005/April/29Apr2005.pdf#page=11&zoom=200,10,19&h=792",0,1
12,1,"https://www.tubecad.com/2005/April/09Apr2005.pdf#page=1&zoom=200,10,397&h=792",0,9
12,3,"https://www.tubecad.com/2005/April/09Apr2005.pdf#page=3&zoom=200,10,593&h=792",0,1
12,6,"https://www.tubecad.com/2005/April/09Apr2005.pdf#page=6&zoom=200,10,60&h=792",0,1
12,9,"https://www.tubecad.com/2005/April/09Apr2005.pdf#page=9&zoom=200,10,661&h=792",0,2
13,2,"https://www.tubecad.com/2005/March/19Mar2005.pdf#page=2&zoom=200,10,596&h=792",0,1
14,2,"https://www.tubecad.com/2005/March/10Mar2005.pdf#page=2&zoom=200,10,555&h=792",0,3
14,4,"https://www.tubecad.com/2005/March/10Mar2005.pdf#page=4&zoom=200,10,364&h=792",0,2
15,9,"https://www.tubecad.com/2005/February/16Feb2005.pdf#page=9&zoom=200,10,588&h=792",0,4
16,1,"https://www.tubecad.com/2005/February/09Feb2005.pdf#page=1&zoom=200,14,683&h=792",0,1
16,2,"https://www.tubecad.com/2005/February/09Feb2005.pdf#page=2&zoom=200,14,626&h=792",0,4
16,3,"https://www.tubecad.com/2005/February/09Feb2005.pdf#page=3&zoom=200,14,463&h=792",0,4
16,4,"https://www.tubecad.com/2005/February/09Feb2005.pdf#page=4&zoom=200,14,350&h=792",0,2
16,5,"https://www.tubecad.com/2005/February/09Feb2005.pdf#page=5&zoom=200,14,569&h=792",0,2
16,6,"https://www.tubecad.com/2005/February/09Feb2005.pdf#page=6&zoom=200,14,541&h=792",0,4
16,7,"https://www.tubecad.com/2005/February/09Feb2005.pdf#page=7&zoom=200,14,0&h=792",0,2
17,3,"https://www.tubecad.com/2005/February/04Feb2005.pdf#page=3&zoom=200,14,582&h=864",0,2
18,5,"https://www.tubecad.com/2005/January/28Jan2005.pdf#page=5&zoom=200,14,331&h=864",0,3
18,7,"https://www.tubecad.com/2005/January/28Jan2005.pdf#page=7&zoom=200,14,319&h=864",0,1
19,1,"https://www.tubecad.com/2005/January/22Jan2005.pdf#page=1&zoom=200,14,327&h=864",0,8
19,2,"https://www.tubecad.com/2005/January/22Jan2005.pdf#page=2&zoom=200,44,98&h=864",0,1
19,8,"https://www.tubecad.com/2005/January/22Jan2005.pdf#page=8&zoom=200,97,550&h=864",1,1
1a,1,"https://www.tubecad.com/2005/January/18Jan2005.pdf#page=1&zoom=200,14,734&h=864",0,3
1a,2,"https://www.tubecad.com/2005/January/18Jan2005.pdf#page=2&zoom=200,14,242&h=864",0,1
1a,3,"https://www.tubecad.com/2005/January/18Jan2005.pdf#page=3&zoom=200,14,508&h=864",0,1
1a,4,"https://www.tubecad.com/2005/January/18Jan2005.pdf#page=4&zoom=200,14,273&h=864",0,1
1a,5,"https://www.tubecad.com/2005/January/18Jan2005.pdf#page=5&zoom=200,14,556&h=864",0,1
1a,6,"https://www.tubecad.com/2005/January/18Jan2005.pdf#page=6&zoom=200,14,0&h=864",0,2
1b,1,"https://www.tubecad.com/2005/January/16Jan2005.pdf#page=1&zoom=200,44,670&h=864",0,3
1b,2,"https://www.tubecad.com/2005/January/16Jan2005.pdf#page=2&zoom=200,44,454&h=864",0,5
1b,3,"https://www.tubecad.com/2005/January/16Jan2005.pdf#page=3&zoom=200,10,727&h=864",0,1
1b,4,"https://www.tubecad.com/2005/January/16Jan2005.pdf#page=4&zoom=200,10,272&h=864",0,7
1c,3,"https://www.tubecad.com/2005/January/10Jan2005.pdf#page=3&zoom=200,16,650&h=864",0,2
1c,4,"https://www.tubecad.com/2005/January/10Jan2005.pdf#page=4&zoom=200,16,86&h=864",0,3
1d,3,"https://www.tubecad.com/2005/January/05Jan2005.pdf#page=3&zoom=200,116,298&h=864",0,2
1d,4,"https://www.tubecad.com/2005/January/05Jan2005.pdf#page=4&zoom=200,14,503&h=864",0,6
1d,5,"https://www.tubecad.com/2005/January/05Jan2005.pdf#page=5&zoom=200,14,490&h=864",0,2
1d,6,"https://www.tubecad.com/2005/January/05Jan2005.pdf#page=6&zoom=200,17,56&h=864",0,1
1d,12,"https://www.tubecad.com/2005/January/05Jan2005.pdf#page=12&zoom=200,142,60&h=864",0,1
1d,15,"https://www.tubecad.com/2005/January/05Jan2005.pdf#page=15&zoom=200,17,443&h=864",0,3
1e,1,"https://www.tubecad.com/2005/January/04Jan2005.pdf#page=1&zoom=200,17,179&h=864",0,1
1e,7,"https://www.tubecad.com/2005/January/04Jan2005.pdf#page=7&zoom=200,142,60&h=864",0,1
1e,10,"https://www.tubecad.com/2005/January/04Jan2005.pdf#page=10&zoom=200,17,443&h=864",0,3
