doc,page,url,schematic,parts
0,1,https://www.valvewizard.co.uk/,0,1
1,1,https://www.valvewizard.co.uk/localfeedback.html,0,2
10,1,https://www.valvewizard.co.uk/valvetester.html,0,15
11,1,https://www.valvewizard.co.uk/curvetracer.html,0,3
12,1,https://www.valvewizard.co.uk/soundcardinterface.html,0,3
13,1,https://www.valvewizard.co.uk/phonopcb.html,0,8
14,1,https://www.valvewizard.co.uk/phonopcb2.html,0,6
15,1,https://www.valvewizard.co.uk/iv18clock.html,0,3
16,1,https://www.valvewizard.co.uk/index.html,0,1
17,1,https://www.valvewizard.co.uk/LoadLinePlotter.xls,0,8
18,1,https://www.valvewizard.co.uk/Valve_Models.TSC,0,31
19,1,https://www.valvewizard.co.uk/WirelessWorldIndex.xls,0,13
1a,1,https://www.valvewizard.co.uk/oppcb.html,0,3
1b,1,https://www.valvewizard.co.uk/ef86pcb.html,0,1
1c,1,https://www.valvewizard.co.uk/octalpcb.html,0,3
1d,1,https://www.valvewizard.co.uk/selfsplitpcb.html,0,2
1e,1,https://www.valvewizard.co.uk/ecl86pcb.html,0,7
1f,1,https://www.valvewizard.co.uk/Bill Of Materials For Arduino_Curve_Tracer_MkII.HTM,0,8
1g,1,https://www.valvewizard.co.uk/engineersthumb3.html,0,3
1h,1,https://www.valvewizard.co.uk/IV_18_clock.ino.ino,0,1
1i,1,https://www.valvewizard.co.uk/engineersthumb.html,0,4
1j,1,https://www.valvewizard.co.uk/engineersthumb2.html,0,3
1k,5,"https://www.valvewizard.co.uk/More_Phase_Inverters.pdf#page=5&zoom=200,19,124&h=648",0,2
1k,8,"https://www.valvewizard.co.uk/More_Phase_Inverters.pdf#page=8&zoom=200,19,250&h=648",0,4
1k,9,"https://www.valvewizard.co.uk/More_Phase_Inverters.pdf#page=9&zoom=200,19,99&h=648",0,2
1l,3,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=3&zoom=200,36,22&h=842",0,1
1l,7,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=7&zoom=200,36,595&h=842",0,1
1l,8,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=8&zoom=200,36,90&h=842",0,3
1l,9,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=9&zoom=200,36,102&h=842",0,2
1l,10,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=10&zoom=200,36,498&h=842",0,2
1l,11,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=11&zoom=200,36,672&h=842",0,1
1l,13,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=13&zoom=200,157,170&h=842",0,3
1l,14,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=14&zoom=200,36,125&h=842",0,2
1l,15,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=15&zoom=200,233,700&h=842",0,4
1l,18,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=18&zoom=200,36,33&h=842",0,2
1l,19,"https://www.valvewizard.co.uk/Pedal_Essentials.pdf#page=19&zoom=200,36,482&h=842",0,1
1m,1,https://www.valvewizard.co.uk/book4.jpg,0,1
1n,1,https://www.valvewizard.co.uk/universalpcbs1.jpg,0,1
1o,1,"https://www.valvewizard.co.uk/Triodes_at_low_voltages_Blencowe.pdf#page=1&zoom=200,30,365&h=792",0,4
1o,2,"https://www.valvewizard.co.uk/Triodes_at_low_voltages_Blencowe.pdf#page=2&zoom=200,30,394&h=792",0,4
1o,3,"https://www.valvewizard.co.uk/Triodes_at_low_voltages_Blencowe.pdf#page=3&zoom=200,30,325&h=792",0,3
