doc,page,url,schematic,parts
0,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bandmaster-5E7-Layout.pdf?5926397210715640943#page=1&zoom=200,362,350&h=460",0,4
1,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bandmaster-5E7-Schematic.pdf?5926397210715640943#page=1&zoom=200,390,133&h=472",1,4
10,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA270-Layout.pdf?5926397210715640943#page=1&zoom=200,348,351&h=516",0,2
11,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA270-Schematic.pdf?5926397210715640943#page=1&zoom=200,346,112&h=493",0,3
12,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA371-Layout.pdf?5926397210715640943#page=1&zoom=200,353,363&h=528",0,2
13,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA371-Schematic.pdf?5926397210715640943#page=1&zoom=200,347,109&h=476",1,3
14,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-Ten-70-Watt-Schematic.pdf?5926397210715640943#page=1&zoom=200,348,86&h=488",1,2
15,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-Ten-Amp-Schematic.pdf?5926397210715640943#page=1&zoom=200,353,102&h=523",1,3
16,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Super-Bassman-CFA7002-Schematic.pdf?5926397210715640943#page=1&zoom=200,321,128&h=502",1,3
17,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA864-layout.pdf?5926397210715640943#page=1&zoom=200,379,380&h=557",1,3
18,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA864-schematic.pdf?5926397210715640943#page=1&zoom=200,490,73&h=451",1,3
19,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA165-layout.pdf?5926397210715640943#page=1&zoom=200,380,375&h=570",0,2
1a,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AA165-schematic.pdf?5926397210715640943#page=1&zoom=200,383,94&h=495",1,3
1b,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AB165-layout.pdf?5926397210715640943#page=1&zoom=200,366,379&h=568",0,3
1c,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bassman-AB165-schematic.pdf?5926397210715640943#page=1&zoom=200,348,77&h=458",1,3
1d,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bronco-AA764-layout.pdf?5926397210715640943#page=1&zoom=200,475,320&h=533",0,3
1e,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bronco-AA764-Schematic.pdf?5926397210715640943#page=1&zoom=200,187,323&h=569",1,3
1f,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-5C1-Layout.pdf?5926397210715640943#page=1&zoom=200,387,204&h=533",0,2
1g,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-5C1-Schematic.pdf?5926397210715640943#page=1&zoom=200,296,330&h=549",0,2
1h,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-5E1-Layout.pdf?5926397210715640943#page=1&zoom=200,397,426&h=495",0,3
1i,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-5E1-Schematic.pdf?5926397210715640943#page=1&zoom=200,170,87&h=510",0,3
1j,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-5F1-Layout.pdf?5926397210715640943#page=1&zoom=200,407,426&h=492",1,3
1k,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-5F1-Schematic.pdf?5926397210715640943#page=1&zoom=200,171,101&h=489",0,3
1l,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-AA764-layout.pdf?5926397210715640943#page=1&zoom=200,465,357&h=572",0,3
1m,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Champ-AA764-Schematic.pdf?5926397210715640943#page=1&zoom=200,536,365&h=585",1,2
1n,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Vibro-Champ-AA764-layout.pdf?5926397210715640943#page=1&zoom=200,397,301&h=532",0,3
1o,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Vibrochamp-AA764-schematic.pdf?5926397210715640943#page=1&zoom=200,189,312&h=578",0,3
1p,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Concert-6G12-A-Layout.pdf?5926397210715640943#page=1&zoom=200,396,326&h=465",0,3
1q,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Concert-6G12-A-Schematic.pdf?5926397210715640943#page=1&zoom=200,172,166&h=449",1,3
1r,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Concert-AB763-Layout.pdf?5926397210715640943#page=1&zoom=200,322,341&h=490",0,4
1s,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Concert-AB763-Schematic.pdf?5926397210715640943#page=1&zoom=200,335,109&h=450",1,4
1t,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Concert-AA763-layout.pdf?5926397210715640943#page=1&zoom=200,352,359&h=575",1,4
1u,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Concert-AA763-schematic.pdf?5926397210715640943#page=1&zoom=200,334,98&h=505",1,4
1v,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5B3-layout.pdf?5926397210715640943#page=1&zoom=200,50,458&h=531",1,2
1w,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5B3-schematic.pdf?5926397210715640943#page=1&zoom=200,477,360&h=438",1,3
1x,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5C3-layout.pdf?5926397210715640943#page=1&zoom=200,54,434&h=510",1,2
1y,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5C3-schematic.pdf?5926397210715640943#page=1&zoom=200,493,383&h=481",1,3
1z,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5D3-layout.pdf?5926397210715640943#page=1&zoom=200,405,417&h=495",1,4
2,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Bandmaster-6G7-Layout.pdf?5926397210715640943#page=1&zoom=200,192,16&h=462",0,2
20,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5D3-schematic.pdf?5926397210715640943#page=1&zoom=200,234,223&h=467",1,4
21,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5E3-Layout.pdf?5926397210715640943#page=1&zoom=200,431,391&h=460",1,4
22,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-5E3-schematic.pdf?5926397210715640943#page=1&zoom=200,250,95&h=464",0,4
23,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-6G3-Layout.pdf?5926397210715640943#page=1&zoom=200,337,335&h=465",0,4
24,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-6G3-Schematic.pdf?5926397210715640943#page=1&zoom=200,207,71&h=476",1,3
25,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-Reverb-w-Boost-Schematic.pdf?5926397210715640943#page=1&zoom=200,363,54&h=533",1,4
26,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-AA763-layout.pdf?5926397210715640943#page=1&zoom=200,338,374&h=541",1,4
27,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-AA763-schematic.pdf?5926397210715640943#page=1&zoom=200,377,136&h=529",1,5
28,1,"https://cdn.shopify.com/s/files/1/2325/2729/files/Deluxe-AB763-layout.pdf?5926397210715640943#page=1&zoom=200,333,361&h=532",1,4
